place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJocGlekbvqhMRt5mQgXU7As8,Restaurant El Bibane,,False,153,,Restaurant El Bibane (proprietaire),https://www.google.com/maps/contrib/110942011780858454739,https://lh5.googleusercontent.com/p/AF1QipNPRc8gXGss4fU-sPM-Yi901O3lAaccvFhRF7MN=w408-h306-k-no,Restaurant,Restaurant,4.3,"12:00-16:00, 19:00-23:00",,99 242 403,"Restaurant El Bibane, Plage sonia zarzis, 4170, Zarzis","mer, poisson, prix, salade, service, proprete, vue, pates, serveurs, daurade",https://www.google.com/maps/place/Restaurant+El+Bibane/data=!4m7!3m6!1s0x13aaef467aa5c1a1:0xcf023b75819099b7!8m2!3d33.5198496!4d11.1151234!16s%2Fg%2F11lfl3_f7p!19sChIJocGlekbvqhMRt5mQgXU7As8?authuser=0&hl=fr&rclk=1
ChIJ48FJ2w7vqhMRJ3uiNcDjvic,Cafe Gourmand,,False,36,,Cafe Gourmand (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNqjyoSwSjCyK488aIZoWeCQ12uoDtve8OkVD2F=w408-h306-k-no,Cafe,Cafe,4.4,08:00-21:45,,,"Cafe Gourmand, 1e Arrondissement, Zarzis",cheese cake,https://www.google.com/maps/place/Cafe+Gourmand/data=!4m7!3m6!1s0x13aaef0edb49c1e3:0x27bee3c035a27b27!8m2!3d33.5042494!4d11.1098083!16s%2Fg%2F11c2qkll_v!19sChIJ48FJ2w7vqhMRJ3uiNcDjvic?authuser=0&hl=fr&rclk=1
ChIJod7GQqfvqhMRm8XkhHaUHdk,Restaurant le sfaxien,,False,31,,Restaurant le sfaxien (proprietaire),https://www.google.com/maps/contrib/100127958999356194256,https://lh5.googleusercontent.com/p/AF1QipMehSauyTki0t08cX14mgd515wJOxgFGddGJ6zV=w408-h305-k-no,Restauration rapide,"Restauration rapide, Restaurant",4,Ouvert 24h/24,lundi,50 846 356,"Restaurant le sfaxien, Plage le casino, Zarzis 4170","poissons, prix",https://www.google.com/maps/place/Restaurant+le+sfaxien/data=!4m7!3m6!1s0x13aaefa742c6dea1:0xd91d947684e4c59b!8m2!3d33.5028684!4d11.1172504!16s%2Fg%2F11c6nmq2qy!19sChIJod7GQqfvqhMRm8XkhHaUHdk?authuser=0&hl=fr&rclk=1
ChIJReldgEHvqhMRtP2SinvFRWk,Mowgli Burger,,False,16,,Mowgli Burger (proprietaire),https://www.google.com/maps/contrib/112920940246567492554,https://lh5.googleusercontent.com/p/AF1QipM8S8YVfOnC1LTrMM2xBRrRzowOMlsMZOp2nORS=w408-h392-k-no,Restaurant,Restaurant,5,,,+33 7 52 22 98 03,"Mowgli Burger, Route de Medenine, Zarzis",,https://www.google.com/maps/place/Mowgli+Burger/data=!4m7!3m6!1s0x13aaef41805de945:0x6945c57b8a92fdb4!8m2!3d33.4965676!4d11.0883946!16s%2Fg%2F11rqkxhwqh!19sChIJReldgEHvqhMRtP2SinvFRWk?authuser=0&hl=fr&rclk=1
ChIJD_E2YcPvqhMRciykP9WuamY,Cafe eleanor,,False,16,,Cafe eleanor (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNPi67LFuCwE4Pj9HNF1k8uvRnZwb_kAOK_wIHK=w408-h306-k-no,Cafe,Cafe,4.2,07:00-23:00,,75 738 810,"G3CW+RF8 Cafe eleanor, Zarzis",,https://www.google.com/maps/place/Caf%C3%A9+eleanor/data=!4m7!3m6!1s0x13aaefc36136f10f:0x666aaed53fa42c72!8m2!3d33.5220497!4d11.0962035!16s%2Fg%2F11ffhv3d7f!19sChIJD_E2YcPvqhMRciykP9WuamY?authuser=0&hl=fr&rclk=1
ChIJS3XeSzjvqhMROacqU_xtZFw,Restaurant el Marsa zarzis,,False,15,,Restaurant el Marsa zarzis (proprietaire),https://www.google.com/maps/contrib/102150647017543641752,https://lh5.googleusercontent.com/p/AF1QipPTLf2jXc81Lc3e2bE0y1P3x64ZfHWNrcvpjQB5=w408-h544-k-no,Restaurant,Restaurant,4,07:00-00:00,,54 126 124,"Restaurant el Marsa zarzis, Kornich sonia, Zarzis 4170",prix,https://www.google.com/maps/place/Restaurant+el+Marsa+zarzis/data=!4m7!3m6!1s0x13aaef384bde754b:0x5c646dfc532aa739!8m2!3d33.5243872!4d11.1144104!16s%2Fg%2F11kpjhmn_4!19sChIJS3XeSzjvqhMROacqU_xtZFw?authuser=0&hl=fr&rclk=1
ChIJ7bE1zw7vqhMR4_91hjT7GxY,lablabi sadok,,False,10,,lablabi sadok (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMhyMoj-wOiAgJTmCuhj7ol5DkIMavPDA9BTOg6=w408-h725-k-no,Restaurant,Restaurant,4.9,09:00-23:30,,,"G436+G43 lablabi sadok, Av. Mohamed Ali Hammi, Zarzis",,https://www.google.com/maps/place/lablabi+sadok/data=!4m7!3m6!1s0x13aaef0ecf35b1ed:0x161bfb348675ffe3!8m2!3d33.5037742!4d11.1103069!16s%2Fg%2F11f4_2w5xy!19sChIJ7bE1zw7vqhMR4_91hjT7GxY?authuser=0&hl=fr&rclk=1
ChIJw9QseAXvqhMRHLeUoxu205c,Fast Food La Palma,,False,10,,Fast Food La Palma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPL0EDS_B_QOMbqRLljJ7P3xebo_03t7FZj1aeD=w408-h306-k-no,Restaurant,Restaurant,4.1,10:00-01:00,,27 994 990,"G445+FHV Fast Food La Palma, Av. Mohamed V, Zarzis",,https://www.google.com/maps/place/Fast+Food+La+Palma/data=!4m7!3m6!1s0x13aaef05782cd4c3:0x97d3b61ba394b71c!8m2!3d33.5062256!4d11.1089255!16s%2Fg%2F11dfx6j0jc!19sChIJw9QseAXvqhMRHLeUoxu205c?authuser=0&hl=fr&rclk=1
ChIJmfaqSijpqhMRdgZFG2xeYW4,Restaurant Boubtane,,False,9,,Restaurant Boubtane (proprietaire),,,Restaurant,Restaurant,4.6,10:00-23:00,,53 027 984,"F3R9+67P Restaurant Boubtane, Zran, Zarzis",,https://www.google.com/maps/place/Restaurant+Boubtane/data=!4m7!3m6!1s0x13aae9284aaaf699:0x6e615e6c1b450676!8m2!3d33.4905931!4d11.068215!16s%2Fg%2F11f66rhv6c!19sChIJmfaqSijpqhMRdgZFG2xeYW4?authuser=0&hl=fr&rclk=1
ChIJb8XzoL3vqhMRurZ9ud4cQ9M,WY PIZZA,,False,8,,WY PIZZA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOt3A1jSz0Ixe3Fuh_hQ_Lys5kPG9aagc3S0rcO=w408-h725-k-no,Pizzeria,Pizzeria,4.3,12:00-00:00,,53 609 323,"WY PIZZA, Route de Medenine, Km 3 5 4170, Zarzis",,https://www.google.com/maps/place/WY+PIZZA/data=!4m7!3m6!1s0x13aaefbda0f3c56f:0xd3431cdeb97db6ba!8m2!3d33.4926962!4d11.0753171!16s%2Fg%2F11kpd4c34g!19sChIJb8XzoL3vqhMRurZ9ud4cQ9M?authuser=0&hl=fr&rclk=1
