place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlWKOnfcjAhMR8RlfwlNYagw,Restaurant Chez Naima,,False,80,https://www.facebook.com/Restaurant-CHEZ-NAIMA-100905351680064/,Restaurant Chez Naima (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNVOeIzwu2btvZs2xxQB2UUhH87BvztipIdSKU1=w408-h271-k-no,Restaurant,Restaurant,4.6,08:00-18:00,dimanche,93 627 617,"G339+P93 Restaurant Chez Naima, Rue Mohamed Turki, Mahdia","prix, cuisine tunisienne, poisson, touristes",https://www.google.com/maps/place/Restaurant+Chez+Naima/data=!4m7!3m6!1s0x130223f79d8e6295:0xc6a5853c25f19f1!8m2!3d35.504263!4d11.0684185!16s%2Fg%2F11dxcptwcx!19sChIJlWKOnfcjAhMR8RlfwlNYagw?authuser=0&hl=fr&rclk=1
ChIJz3Bm-ZMjAhMRVWfV1GPfnTA,El Couzina,,False,24,,El Couzina (proprietaire),https://www.google.com/maps/contrib/102027437827923298350,https://lh5.googleusercontent.com/p/AF1QipM6inJ8UxhTMEJWjJ7nf_8zRVbSLShkxiDOd-0M=w408-h306-k-no,Restaurant,Restaurant,4.8,10:00-23:00,,22 271 667,"El Couzina, Mahdia Center, Mahdia",tarif,https://www.google.com/maps/place/El+Couzina/data=!4m7!3m6!1s0x13022393f96670cf:0x309ddf63d4d56755!8m2!3d35.5053149!4d11.0643325!16s%2Fg%2F11kg_41qc8!19sChIJz3Bm-ZMjAhMRVWfV1GPfnTA?authuser=0&hl=fr&rclk=1
ChIJLwMg-CEjAhMRUss1CMzwyNo,Samir Chappati,,False,24,,Samir Chappati (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN-hs3MVMICWeI6XdZ7RUC1dHN1_Ngg2ZaI994=w426-h240-k-no,Restaurant,Restaurant,4.4,11:30-00:00,lundi,22 017 043,"G26R+J9X Samir Chappati, Unnamed Road, Mahdia",chapati,https://www.google.com/maps/place/Samir+Chappati/data=!4m7!3m6!1s0x13022321f820032f:0xdac8f0cc0835cb52!8m2!3d35.5116022!4d11.0409758!16s%2Fg%2F11hdqk0vb5!19sChIJLwMg-CEjAhMRUss1CMzwyNo?authuser=0&hl=fr&rclk=1
ChIJmZ19G9YjAhMRkM7pxwkv6Ko,Bouji Pasta Food,,False,22,,Bouji Pasta Food (proprietaire),https://www.google.com/maps/contrib/107037441324460619019,https://lh5.googleusercontent.com/p/AF1QipOLgV_WdGlaPIyLB7DesmYkCegYm4YT39PC-kjL=w408-h725-k-no,Restaurant,Restaurant,4.7,Ouvert 24h/24,,24 518 555,"Bouji Pasta Food, Av. 14 Janvier, Mahdia 5100",pizza,https://www.google.com/maps/place/Bouji+Pasta+Food/data=!4m7!3m6!1s0x130223d61b7d9d99:0xaae82f09c7e9ce90!8m2!3d35.5048174!4d11.0676802!16s%2Fg%2F11sdq1dfwx!19sChIJmZ19G9YjAhMRkM7pxwkv6Ko?authuser=0&hl=fr&rclk=1
ChIJo469YX0jAhMRMiPhHFGfqNs,kl@ zmn,,False,17,https://mobile.facebook.com/mondherbenzineb12/%3Fref%3Dbookmarks,kl@ zmn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMxF0cCmJQS-kfg36hucLZizmQQd7YJgbnKhZaT=w408-h272-k-no,Restaurant,Restaurant,4.6,09:00-23:00,dimanche,56 109 278,"G33C+P2J kl@ zmn, Unnamed Road, Mahdia",prix,https://www.google.com/maps/place/%D8%A7%D9%83%D9%84%D8%A9+%D8%B2%D9%85%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1302237d61bd8ea3:0xdba89f511ce12332!8m2!3d35.5043298!4d11.0700273!16s%2Fg%2F11hyzw6vss!19sChIJo469YX0jAhMRMiPhHFGfqNs?authuser=0&hl=fr&rclk=1
ChIJj6CHQAgkAhMRLlIm3OCpkg0,Glace Evelyne La Nicoise,,False,14,,Glace Evelyne La Nicoise (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNKLNendvNmGMMQfZ-WdD4KRdZ3VBWwj8MI-Kmc=w408-h306-k-no,Restaurant,Restaurant,4.1,10:00-22:00,,,"G33F+M2H Glace Evelyne La Nicoise, Mahdia","terrasse, glaces",https://www.google.com/maps/place/Glace+Evelyne+La+Ni%C3%A7oise/data=!4m7!3m6!1s0x130224084087a08f:0xd92a9e0dc26522e!8m2!3d35.5041918!4d11.0726235!16s%2Fg%2F11fxvgbwzr!19sChIJj6CHQAgkAhMRLlIm3OCpkg0?authuser=0&hl=fr&rclk=1
ChIJbwt4maAjAhMRepXxOIL7IjM,Kafteji Nabil,,False,13,,Kafteji Nabil (proprietaire),https://www.google.com/maps/contrib/102673698166672272586,https://lh5.googleusercontent.com/p/AF1QipMMfqfQekJ0n1s9tyvNjhV_4W7L7Uke9SG778W3=w408-h544-k-no,Restauration rapide,Restauration rapide,4.8,08:00-14:00,mercredi,24 342 335,"Kafteji Nabil, Rue de Borj Othmane, Mahdia 5100",,https://www.google.com/maps/place/Kafteji+Nabil/data=!4m7!3m6!1s0x130223a099780b6f:0x3322fb8238f1957a!8m2!3d35.5030239!4d11.0691918!16s%2Fg%2F11q58fx_73!19sChIJbwt4maAjAhMRepXxOIL7IjM?authuser=0&hl=fr&rclk=1
ChIJ23YyXW4jAhMRn-QLCgkk5o0,Restaurant chey Ali mT`m sh`by,,False,12,,Restaurant chey Ali mT`m sh`by (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNtRK78sNZHGN6mWknVScCfUV9NbJWR52GBcFZa=w408-h306-k-no,Restaurant,Restaurant,4.2,,,22 335 035,"G339+9QM Restaurant chey Ali mT`m sh`by, Rue de Borj Othmani, Mahdia","poisson, prix",https://www.google.com/maps/place/Restaurant+chey+Ali+%D9%85%D8%B7%D8%B9%D9%85+%D8%B4%D8%B9%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1302236e5d3276db:0x8de624090a0be49f!8m2!3d35.5034698!4d11.0694299!16s%2Fg%2F11jdkn6trl!19sChIJ23YyXW4jAhMRn-QLCgkk5o0?authuser=0&hl=fr&rclk=1
ChIJXeQoVlYhAhMRRxhFbzNrxJY,Pizzeria sarra,,False,12,,Pizzeria sarra (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNKtwrqJfSRzxaldSGSwsiDAdOnxBPvhnWkDk3y=w408-h408-k-no,Restaurant,Restaurant,4.9,Ouvert 24h/24,,20 633 792,"F2VR+VF2 Pizzeria sarra, Ezzahra, Mahdia",,https://www.google.com/maps/place/Pizzeria+sarra/data=!4m7!3m6!1s0x130221565628e45d:0x96c46b336f451847!8m2!3d35.4946465!4d11.0411503!16s%2Fg%2F11k8y06k4h!19sChIJXeQoVlYhAhMRRxhFbzNrxJY?authuser=0&hl=fr&rclk=1
ChIJ66o1w8IlAhMRcwkqiBit_fc,kskrwt bshyr Casse-croute Bachir,,False,9,,kskrwt bshyr Casse-croute Bachir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNbPSwUA6y8Ojmyp7R1nEhGaCX7XO5n4zI4xBHz=w408-h544-k-no,Restauration rapide,Restauration rapide,4.8,07:00-16:00,lundi,,"G34C+5MR kskrwt bshyr Casse-croute Bachir, Av. Cap Africa, Mahdia",,https://www.google.com/maps/place/%D9%83%D8%B3%D9%83%D8%B1%D9%88%D8%AA+%D8%A8%D8%B4%D9%8A%D8%B1+Casse-cro%C3%BBte+Bachir%E2%80%AD/data=!4m7!3m6!1s0x130225c2c335aaeb:0xf7fdad18882a0973!8m2!3d35.5054828!4d11.0716368!16s%2Fg%2F11lkzwqq7t!19sChIJ66o1w8IlAhMRcwkqiBit_fc?authuser=0&hl=fr&rclk=1
ChIJbS8KTMAjAhMRwgpZZ_vyyL4,CASA FOOD,,False,5,https://www.facebook.com/CASA-FOOD-358444444504234/,CASA FOOD (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMI9T3y34D4qOf-mDDTaksSCti-NWS7SsFU8Nle=w408-h725-k-no,Restaurant,Restaurant,4.4,09:00-04:00,lundi,56 069 203,"G27W+54G CASA FOOD, Hiboun",,https://www.google.com/maps/place/CASA+FOOD/data=!4m7!3m6!1s0x130223c04c0a2f6d:0xbec8f2fb67590ac2!8m2!3d35.5129497!4d11.0453172!16s%2Fg%2F11gcdfyk2d!19sChIJbS8KTMAjAhMRwgpZZ_vyyL4?authuser=0&hl=fr&rclk=1
ChIJuRSzjN0jAhMR8p-HBZKPqho,Restaurant Essouk mT`m lswq,,False,5,,Restaurant Essouk mT`m lswq (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOfC9L5hbz1PJ9LKMFFFdOz5V_YaIvVSFYL8lVQ=w408-h306-k-no,Restaurant,Restaurant,5,09:00-17:00,,58 646 235,"G22X+86W Restaurant Essouk mT`m lswq, Mahdia",,https://www.google.com/maps/place/Restaurant+Essouk+%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%B3%D9%88%D9%82%E2%80%AD/data=!4m7!3m6!1s0x130223dd8cb314b9:0x1aaa8f9205879ff2!8m2!3d35.5008742!4d11.0480644!16s%2Fg%2F11gh09mzyj!19sChIJuRSzjN0jAhMR8p-HBZKPqho?authuser=0&hl=fr&rclk=1
ChIJSZjSNAgjAhMRRn3PLGY_qxI,Chapati Venus,,False,5,,Chapati Venus (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOymbFRDTPrsMwybCJygLMQdHG55f59aSHc2kdo=w408-h544-k-no,Restaurant,Restaurant,4.2,,,,"Chapati Venus, 205 shr` lHbyb bwrqyb@, Mahdia",,https://www.google.com/maps/place/Chapati+Venus/data=!4m7!3m6!1s0x1302230834d29849:0x12ab3f662ccf7d46!8m2!3d35.506964!4d11.0582137!16s%2Fg%2F11kncrywr8!19sChIJSZjSNAgjAhMRRn3PLGY_qxI?authuser=0&hl=fr&rclk=1
