place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJX-JDfkF1AhMRseeVfnL-2SU,mHT@ llwjt,,False,190,,mHT@ llwjt (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNY2pHjdA3qsnmv352LhjjtA2w5xbRxA0bLBrFN=w408-h544-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.4,,,,"mHT@ llwjt, 1 Rue El Masjed El Aksa, Sousse 4000","prix, ticket, minibus, van, train, systeme, driver",https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%84%D9%88%D8%A7%D8%AC%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x130275417e43e25f:0x25d9fe727e95e7b1!8m2!3d35.8093704!4d10.6366586!16s%2Fg%2F11dylq5vh_!19sChIJX-JDfkF1AhMRseeVfnL-2SU?authuser=0&hl=fr&rclk=1
ChIJ12xtSHR1AhMROV1IrcfI6os,Sousse Voyageurs,,False,91,http://www.sncft.com.tn/,Sousse Voyageurs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOulolBOYyKOzbISc_6WVTvTuK_galrREM8Ktrl=w408-h306-k-no,Gare,Gare,3.6,,,,"Sousse Voyageurs, Sousse",,https://www.google.com/maps/place/Sousse+Voyageurs/data=!4m7!3m6!1s0x13027574486d6cd7:0x8beac8c7ad485d39!8m2!3d35.8304246!4d10.6380517!16s%2Fg%2F1tdv9tfs!19sChIJ12xtSHR1AhMROV1IrcfI6os?authuser=0&hl=fr&rclk=1
ChIJ8Y7geEF1AhMRx4Z7p8IVbzo,Station Louage de Sousse,,False,39,,Station Louage de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN69hrLFl_NBHvUcdUTZbbWx2O2mOrGx9_kdh0F=w408-h306-k-no,Arret de transports en commun,Arret de transports en commun,4.1,,,,"Station Louage de Sousse, 1, Sousse 4000",prix,https://www.google.com/maps/place/Station+Louage+de+Sousse/data=!4m7!3m6!1s0x1302754178e08ef1:0x3a6f15c2a77b86c7!8m2!3d35.8093997!4d10.6370762!16s%2Fg%2F1tfsv_12!19sChIJ8Y7geEF1AhMRx4Z7p8IVbzo?authuser=0&hl=fr&rclk=1
ChIJXxUwrlvF_RIRXnfetvy40p0,Station louage,,False,28,,Station louage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPoCtRQInJ7W76PNcRy3akq5FnNNIOl7E4L-xk=w426-h240-k-no,Gare routiere,Gare routiere,3.9,,,,"Station louage, Kairouan",,https://www.google.com/maps/place/Station+louage/data=!4m7!3m6!1s0x12fdc55bae30155f:0x9dd2b8fcb6de775e!8m2!3d35.679328!4d10.0885133!16s%2Fg%2F1tjh1ghh!19sChIJXxUwrlvF_RIRXnfetvy40p0?authuser=0&hl=fr&rclk=1
ChIJV0oK88GL_RIRTCqS97XCpSY,Gare kalaa kebira,,False,17,,Gare kalaa kebira (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP42AGaNU19vuzB_nt_iecIGE1WQiquIZXB48s-=w408-h306-k-no,Gare,Gare,3.8,,,,"Gare kalaa kebira, C48, Kalaa Kebira",,https://www.google.com/maps/place/Gare+kalaa+kebira/data=!4m7!3m6!1s0x12fd8bc1f30a4a57:0x26a5c2b5f7922a4c!8m2!3d35.8677562!4d10.5533257!16s%2Fg%2F1tdmxqyj!19sChIJV0oK88GL_RIRTCqS97XCpSY?authuser=0&hl=fr&rclk=1
ChIJaUPmyeZ1AhMR3Q6Ua-BUSjQ,Gare Routiere de Sousse / Souk Lahad,,False,16,,Gare Routiere de Sousse / Souk Lahad (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMeiVvc5hp5GhhYW-41Y8ey113ghuUGDSeFldrj=w426-h240-k-no,Service de transport,Service de transport,3,,,,"RJ7J+R6Q Gare Routiere de Sousse / Souk Lahad, Sousse",,https://www.google.com/maps/place/Gare+Routi%C3%A8re+de+Sousse+%2F+Souk+Lahad/data=!4m7!3m6!1s0x130275e6c9e64369:0x344a54e06b940edd!8m2!3d35.8145914!4d10.6306233!16s%2Fg%2F11hhbpd541!19sChIJaUPmyeZ1AhMR3Q6Ua-BUSjQ?authuser=0&hl=fr&rclk=1
ChIJSZXbjFE2_RIRiYDLcvQ_0eI,Shell,,False,15,https://find.shell.com/tn/fuel/TN_10044688-sortie-sud,Shell (proprietaire),https://www.google.com/maps/contrib/114535968978130607015,https://lh5.googleusercontent.com/p/AF1QipN6mifkW4Zj4uwF9rSMQLyWImmISTsDGehSDQ5W=w408-h543-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Restauration rapide, Pizzas a emporter, Restaurant, Sandwicherie",3.9,Ouvert 24h/24,,71 249 149,"Shell, Highway A1 Bir El Kassaa Sortie Sud, 2013",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd36518cdb9549:0xe2d13ff472cb8089!8m2!3d36.7335136!4d10.2246205!16s%2Fg%2F11c2klt8zk!19sChIJSZXbjFE2_RIRiYDLcvQ_0eI?authuser=0&hl=fr&rclk=1
ChIJ-1eOMZqJ_RIRxoEfpECrAZg,Station Services OLA Energy,,False,14,,Station Services OLA Energy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP1SDTTPnz0Hbtp08ch7_aJZ3caoXS384fJ8syr=w447-h240-k-no,Station-service,Station-service,4.5,Ouvert 24h/24,,28 155 155,"Station Services OLA Energy, Rte De Tunis, GP 1, Km 128 Akouda, 4022",,https://www.google.com/maps/place/Station+Services+OLA+Energy/data=!4m7!3m6!1s0x12fd899a318e57fb:0x9801ab40a41f81c6!8m2!3d35.8983734!4d10.552384!16s%2Fg%2F11hs_70w2g!19sChIJ-1eOMZqJ_RIRxoEfpECrAZg?authuser=0&hl=fr&rclk=1
ChIJ7TrB3md1AhMRjJtcuir3Z3s,Station de Transport Terrestre,,False,14,,Station de Transport Terrestre (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh56apuRNVZPBGTns4jS8mRQDW2wQF4924Tr2K=w408-h306-k-no,Gare routiere,Gare routiere,3.6,,,,"Station de Transport Terrestre, Sousse",,https://www.google.com/maps/place/Station+de+Transport+Terrestre/data=!4m7!3m6!1s0x13027567dec13aed:0x7b67f72aba5c9b8c!8m2!3d35.8143774!4d10.630389!16s%2Fg%2F1tml7lq8!19sChIJ7TrB3md1AhMRjJtcuir3Z3s?authuser=0&hl=fr&rclk=1
ChIJT2O0IIp1AhMRywNz8O4--Mk,lti El Ksar Resort & Thalasso,,False,14,http://www.lti.de/hotels/lti-el-ksar-resort-thalasso/,lti El Ksar Resort & Thalasso (proprietaire),https://www.google.com/maps/contrib/112933306762886103916,https://lh5.googleusercontent.com/p/AF1QipO3kg5IbdiZqCuimXBcGIAArKwcd_bv7shy_xQN=w768-h240-k-no,Gare,Gare,4.3,,,73 240 460,"lti El Ksar Resort & Thalasso, Sousse",hotel,https://www.google.com/maps/place/lti+El+Ksar+Resort+%26+Thalasso/data=!4m7!3m6!1s0x1302758a20b4634f:0xc9f83eeef07303cb!8m2!3d35.8514695!4d10.6214027!16s%2Fg%2F11b7xs2jjn!19sChIJT2O0IIp1AhMRywNz8O4--Mk?authuser=0&hl=fr&rclk=1
