place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJcSsXEJm04hIR9eqKRBBISkA,Sidi-Bou-Said,,False,106,,Sidi-Bou-Said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO7EVgZp0EnXnvEtGSW0bn-60U-rtA2EKTLwuFx=w408-h306-k-no,Gare,Gare,4.5,,,,"Sidi-Bou-Said, Site archeologique de Carthage","touristique, mer, cafe",https://www.google.com/maps/place/Sidi-Bou-Said/data=!4m7!3m6!1s0x12e2b49910172b71:0x404a4810448aeaf5!8m2!3d36.8704945!4d10.3421244!16s%2Fg%2F1tfdhsf3!19sChIJcSsXEJm04hIR9eqKRBBISkA?authuser=0&hl=fr&rclk=1
ChIJLTQWgt-04hIRcXPECs51JTw,Station-service Shell,,False,41,https://find.shell.com/tn/fuel/TN_10044673-gp-9,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/109129315253498262958,https://lh5.googleusercontent.com/p/AF1QipOF5APKBSqwJv9-SgFtjLlRJfFgkvPSzFybyl7r=w493-h240-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Sandwicherie",3.6,Ouvert 24h/24,,71 249 149,"Station-service Shell, P9 Gp 9 Km 10 Rte De, Marsa 2078",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12e2b4df8216342d:0x3c2575ce0ac47371!8m2!3d36.8677628!4d10.3053441!16s%2Fg%2F12qhbxv2c!19sChIJLTQWgt-04hIRcXPECs51JTw?authuser=0&hl=fr&rclk=1
ChIJPdTPJO204hIRh1T9kU9tygQ,TotalEnergies LA MARSA,,False,36,https://services.totalenergies.tn/,TotalEnergies LA MARSA (proprietaire),https://www.google.com/maps/contrib/115961062550349943869,https://lh5.googleusercontent.com/p/AF1QipM4-ueaIaW7HebELzN724K9EVuW-tiVFrannctW=w408-h306-k-no,Station-service,Station-service,3.5,Ouvert 24h/24,,71 749 298,"TotalEnergies LA MARSA, Av. Ali Balhaouene, Marsa 2070",,https://www.google.com/maps/place/TotalEnergies+LA+MARSA/data=!4m7!3m6!1s0x12e2b4ed24cfd43d:0x4ca6d4f91fd5487!8m2!3d36.8769749!4d10.3262734!16s%2Fg%2F12qgwyj27!19sChIJPdTPJO204hIRh1T9kU9tygQ?authuser=0&hl=fr&rclk=1
ChIJtYo_a7a04hIRIZL21tQ8RKc,Carthage Hannibal,,False,33,,Carthage Hannibal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9KaR_p-YrzKXwl5M69NoqzJ0wEHTmO--38Ncg=w426-h240-k-no,Gare,Gare,3.8,,,,"Carthage Hannibal, Site archeologique de Carthage",,https://www.google.com/maps/place/Carthage+Hannibal/data=!4m7!3m6!1s0x12e2b4b66b3f8ab5:0xa7443cd4d6f69221!8m2!3d36.853423!4d10.3289416!16s%2Fg%2F1tjzmtkt!19sChIJtYo_a7a04hIRIZL21tQ8RKc?authuser=0&hl=fr&rclk=1
ChIJZbqlpY604hIRYNmkbh4j4tI,"Station TGM ""La Marsa """,,False,21,,"Station TGM ""La Marsa "" (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipOZZOu-fZuAx4JtBH_is3MX6XbP1KA-V0bu4mpu=w408-h257-k-no,Station de metro,Station de metro,4.5,,,,"Station TGM ""La Marsa "", Site archeologique de Carthage",,https://www.google.com/maps/place/Station+TGM+%22La+Marsa+%22/data=!4m7!3m6!1s0x12e2b48ea5a5ba65:0xd2e2231e6ea4d960!8m2!3d36.883049!4d10.3334463!16s%2Fg%2F1hc5dmth9!19sChIJZbqlpY604hIRYNmkbh4j4tI?authuser=0&hl=fr&rclk=1
ChIJ8wff5uy04hIRsyQ3EygFtzw,OLA La Marsa,,False,21,,OLA La Marsa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP4MHOtv8vT0-rkrCMMZR1aS48PCVs2Okjr40DH=w408-h306-k-no,Station-service,Station-service,3.7,Ouvert 24h/24,,,"V8GG+C7G OLA La Marsa, P9, Site archeologique de Carthage",,https://www.google.com/maps/place/OLA+La+Marsa/data=!4m7!3m6!1s0x12e2b4ece6df07f3:0x3cb70528133724b3!8m2!3d36.8760673!4d10.3257016!16s%2Fg%2F1td3_pt6!19sChIJ8wff5uy04hIRsyQ3EygFtzw?authuser=0&hl=fr&rclk=1
ChIJowY9o5K04hIRGRtBulsS46c,Marsa Ville,,False,11,,Marsa Ville (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOEmZMcaBuS-tKKmHcTline12adtC-L2klj9PrF=w408-h306-k-no,Arret de bus,Arret de bus,4.1,,,,"Marsa Ville, Carthage",,https://www.google.com/maps/place/Marsa+Ville/data=!4m7!3m6!1s0x12e2b492a33d06a3:0xa7e3125bba411b19!8m2!3d36.8783505!4d10.328511!16s%2Fg%2F12hxp349k!19sChIJowY9o5K04hIRGRtBulsS46c?authuser=0&hl=fr&rclk=1
ChIJo8_bjZq04hIRTReiGI7X7ic,Sidi Dhrif,,False,10,,Sidi Dhrif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP9dAcdI0yOR66pXNXJ_VAZz4AS6kyxON_0TI37=w408-h306-k-no,Gare,Gare,3.9,,,,"Sidi Dhrif, Site archeologique de Carthage",,https://www.google.com/maps/place/Sidi+Dhrif/data=!4m7!3m6!1s0x12e2b49a8ddbcfa3:0x27eed78e18a2174d!8m2!3d36.8758594!4d10.3396402!16s%2Fg%2F1tf4h3hp!19sChIJo8_bjZq04hIRTReiGI7X7ic?authuser=0&hl=fr&rclk=1
ChIJW1MnEJm04hIR4LVYFLSwo1E,"Station TGM ""SIDI BOU SAID""",,False,9,,"Station TGM ""SIDI BOU SAID"" (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipMsCKDFEpyd_8g1YbObq3PW0e5HpEH6xLfLAMIW=w426-h240-k-no,Station de metro,Station de metro,3.8,,,,"Station TGM ""SIDI BOU SAID"", Site archeologique de Carthage",,https://www.google.com/maps/place/Station+TGM+%22SIDI+BOU+SAID%22/data=!4m7!3m6!1s0x12e2b4991027535b:0x51a3b0b41458b5e0!8m2!3d36.8705403!4d10.3420722!16s%2Fg%2F1tggkw7c!19sChIJW1MnEJm04hIR4LVYFLSwo1E?authuser=0&hl=fr&rclk=1
ChIJZ7w4kLu04hIRShQVHlN366k,Carthage Presidence,,False,9,,Carthage Presidence (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOdlmbRGGoCYo_p6T9_3o1zbwCk2ppfO6qW7aj2=w408-h543-k-no,Gare,Gare,3.7,,,,"Carthage Presidence, Site archeologique de Carthage",,https://www.google.com/maps/place/Carthage+Pr%C3%A9sidence/data=!4m7!3m6!1s0x12e2b4bb9038bc67:0xa9eb77531e15144a!8m2!3d36.8616659!4d10.3349402!16s%2Fg%2F1tqvx8vn!19sChIJZ7w4kLu04hIRShQVHlN366k?authuser=0&hl=fr&rclk=1
