place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJJwrApDTL4hIR5VZF5DKBwCA,Terminus Ariana,,False,96,,Terminus Ariana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6lXZI-yF13pXU5CoHe_sXx4GCDqJlXezf5z42=w408-h544-k-no,Service de transport,Service de transport,2.9,,,,"V55W+VX9 Terminus Ariana, Ariana",metro,https://www.google.com/maps/place/Terminus+Ariana/data=!4m7!3m6!1s0x12e2cb34a4c00a27:0x20c08132e44556e5!8m2!3d36.8599388!4d10.1974079!16s%2Fg%2F11c59wzyyk!19sChIJJwrApDTL4hIR5VZF5DKBwCA?authuser=0&hl=fr&rclk=1
ChIJh8pkvTTL4hIRi7rhXiP1qcs,Ariana,,False,37,,Ariana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOsEYPuSgIKqiZ2x-Ib2Nyer96wHLBM9_W69Glq=w408-h544-k-no,Station de metro,Station de metro,3.4,,,,Ariana,,https://www.google.com/maps/place/Ariana/data=!4m7!3m6!1s0x12e2cb34bd64ca87:0xcba9f5235ee1ba8b!8m2!3d36.8596907!4d10.1975119!16s%2Fg%2F1tgmmm03!19sChIJh8pkvTTL4hIRi7rhXiP1qcs?authuser=0&hl=fr&rclk=1
ChIJr33CYuYy_RIRedFrxd40XeY,Intilaka,,False,32,,Intilaka (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPLeK7DrCfg4wIsIyGPRXskanSK6K59eDs_0noI=w493-h240-k-no,Station de metro,Station de metro,3.6,,,,"Intilaka, Tunis",,https://www.google.com/maps/place/Intilaka/data=!4m7!3m6!1s0x12fd32e662c27daf:0xe65d34dec56bd179!8m2!3d36.8395838!4d10.1169626!16s%2Fg%2F1th840zv!19sChIJr33CYuYy_RIRedFrxd40XeY?authuser=0&hl=fr&rclk=1
ChIJARPaPUkz_RIRDxZYiEY8ajI,Ennasr 2,,False,26,,Ennasr 2 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMY9v8txqf7EOS9uy5bZ8VCpA33gHafDflkpC4V=w426-h240-k-no,Arret de bus,Arret de bus,4,,,,"Ennasr 2, Ariana",,https://www.google.com/maps/place/Ennasr+2/data=!4m7!3m6!1s0x12fd33493dda1301:0x326a3c468858160f!8m2!3d36.8552697!4d10.152247!16s%2Fg%2F1tg2glnz!19sChIJARPaPUkz_RIRDxZYiEY8ajI?authuser=0&hl=fr&rclk=1
ChIJcXqv8hQ1_RIRjCwssvZ7Mbg,station metro l'independance,,False,12,,station metro l'independance (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YE3k1wHTi4t9LjPWfakvFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.84587&pitch=0&thumbfov=100,Service de transport,Service de transport,3.8,,,,"V53W+M8X station metro l'independance, Ariana",,https://www.google.com/maps/place/station+m%C3%A9tro+l%27ind%C3%A9pendance/data=!4m7!3m6!1s0x12fd3514f2af7a71:0xb8317bf6b22c2c8c!8m2!3d36.854247!4d10.1958473!16s%2Fg%2F11plhkwgh9!19sChIJcXqv8hQ1_RIRjCwssvZ7Mbg?authuser=0&hl=fr&rclk=1
ChIJI7ZfQyg1_RIRRVGN1H8aazk,SNT 635,,False,9,,SNT 635 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNVa-bG-gZmkaaZ5mQUy7PqUOexzxSrksSO2sT7=w408-h306-k-no,Arret de bus,Arret de bus,3.8,,,,"SNT 635, Tunis",,https://www.google.com/maps/place/SNT+635/data=!4m7!3m6!1s0x12fd3528435fb623:0x396b1a7fd48d5145!8m2!3d36.8476911!4d10.2171779!16s%2Fg%2F1vx70nqr!19sChIJI7ZfQyg1_RIRRVGN1H8aazk?authuser=0&hl=fr&rclk=1
ChIJIXW82lLL4hIRuF6DaOL_0ZU,6B Bus Stop,,False,8,,6B Bus Stop (proprietaire),,,Arret de bus,Arret de bus,3.6,,,,"6B Bus Stop, Ariana",,https://www.google.com/maps/place/6B+Bus+Stop/data=!4m7!3m6!1s0x12e2cb52dabc7521:0x95d1ffe268835eb8!8m2!3d36.8606735!4d10.1793641!16s%2Fg%2F11h1kyjp4!19sChIJIXW82lLL4hIRuF6DaOL_0ZU?authuser=0&hl=fr&rclk=1
ChIJJW68TUvL4hIRcku2MOAEe-U,Terminus Taxi Collectif Ariana Raoued,,False,8,,Terminus Taxi Collectif Ariana Raoued (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNVQ42emPhXke8H8TH-Lc5aNwVW2K7koFZWUS06=w408-h544-k-no,Arret de bus,Arret de bus,2.6,,,,"Terminus Taxi Collectif Ariana Raoued, Ariana",,https://www.google.com/maps/place/Terminus+Taxi+Collectif+Ariana+Raoued/data=!4m7!3m6!1s0x12e2cb4b4dbc6e25:0xe57b04e030b64b72!8m2!3d36.8594846!4d10.187904!16s%2Fg%2F11b6b38g1y!19sChIJJW68TUvL4hIRcku2MOAEe-U?authuser=0&hl=fr&rclk=1
ChIJ3zgMzKzM4hIRc4GNErSvLGU,51A,,False,8,,51A (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOnEtv-flQLNZXGXs6RTCoITj1xWu1WH6BD8pRT=w408-h244-k-no,Arret de bus,Arret de bus,2.5,,,,"51A, Ariana",,https://www.google.com/maps/place/51A/data=!4m7!3m6!1s0x12e2ccaccc0c38df:0x652cafb4128d8173!8m2!3d36.8616307!4d10.1629436!16s%2Fg%2F1td22nmz!19sChIJ3zgMzKzM4hIRc4GNErSvLGU?authuser=0&hl=fr&rclk=1
ChIJkw_3xzTL4hIRtugIcoWZrkw,"Terminus Taxi Collectif (514, 515)",,False,8,,"Terminus Taxi Collectif (514, 515) (proprietaire)",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dBdqCAIHp1KboJPUJg5Luw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=328.20428&pitch=0&thumbfov=100,Station de taxis,Station de taxis,3.3,,,,"V55W+MQ7 Terminus Taxi Collectif (514, 515), Av. Taieb Mhiri, Ariana",,"https://www.google.com/maps/place/Terminus+Taxi+Collectif+%28514,+515%29/data=!4m7!3m6!1s0x12e2cb34c7f70f93:0x4cae99857208e8b6!8m2!3d36.8591508!4d10.1969287!16s%2Fg%2F11bbwppdv4!19sChIJkw_3xzTL4hIRtugIcoWZrkw?authuser=0&hl=fr&rclk=1"
