place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVzhpG4BY-xIR2N1G8MoS3UI,AGIL Beja,,False,16,http://www.agil.com.tn/,AGIL Beja (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOEwc2PNlyMxItxbvufhQXkmg61tUgsqkpOJRZx=w408-h306-k-no,Station-service,Station-service,3.9,Ouvert 24h/24,,,"P5GQ+QR4 AGIL Beja, Beja",,https://www.google.com/maps/place/AGIL+B%C3%A9ja/data=!4m7!3m6!1s0x12fb58801b693857:0x42dd12caf046ddd8!8m2!3d36.7268893!4d9.1895726!16s%2Fg%2F1hc39zb1h!19sChIJVzhpG4BY-xIR2N1G8MoS3UI?authuser=0&hl=fr&rclk=1
ChIJlRoeOp2n_BIRrSFoVHRMmV8,TOTAL - BEJA twtl,,False,11,http://www.total.tn/,TOTAL - BEJA twtl (proprietaire),,,Station-service,Station-service,3.8,,,78 450 100,"P6H2+8M9 TOTAL - BEJA twtl, Beja",,https://www.google.com/maps/place/TOTAL+-+BEJA+%D8%AA%D9%88%D8%AA%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x12fca79d3a1e1a95:0x5f994c74546821ad!8m2!3d36.7282995!4d9.2017418!16s%2Fg%2F1thndt69!19sChIJlRoeOp2n_BIRrSFoVHRMmV8?authuser=0&hl=fr&rclk=1
ChIJPVUNm56n_BIRD0Anq7TZJeY,OLA,,False,8,,OLA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO0mvv8w3eyzoK5ctmjaooTaB8vPwCfNOy55xU2=w408-h245-k-no,Station-service,Station-service,3.6,,,,"P6H4+VQG OLA, Beja",,https://www.google.com/maps/place/OLA/data=!4m7!3m6!1s0x12fca79e9b0d553d:0xe625d9b4ab27400f!8m2!3d36.7296883!4d9.2069533!16s%2Fg%2F1tzfvbfz!19sChIJPVUNm56n_BIRD0Anq7TZJeY?authuser=0&hl=fr&rclk=1
ChIJZaG_i4BY-xIRHlJwmQSuAbE,Station louage Tunis,,False,6,,Station louage Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNME5tQZ9LtDwFKx1JWAqRI35IEhkVwhUp_hvc5=w408-h306-k-no,Parking,Parking,3.8,Ouvert 24h/24,,,"P5GP+MQC Station louage Tunis, Beja",,https://www.google.com/maps/place/Station+louage+Tunis/data=!4m7!3m6!1s0x12fb58808bbfa165:0xb101ae049970521e!8m2!3d36.7266878!4d9.1868864!16s%2Fg%2F11cp5vk64p!19sChIJZaG_i4BY-xIRHlJwmQSuAbE?authuser=0&hl=fr&rclk=1
ChIJx21v_XdY-xIRGuDRCo_7Jmg,Beja Marchandises,,False,6,,Beja Marchandises (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNOiu0X8AW5oFKjxV4WC-ewrLTNtfHk3PUfvSxS=w408-h306-k-no,Arret de transports en commun,Arret de transports en commun,4.2,,,,"Beja Marchandises, Beja",,https://www.google.com/maps/place/Beja+Marchandises/data=!4m7!3m6!1s0x12fb5877fd6f6dc7:0x6826fb8f0ad1e01a!8m2!3d36.7387942!4d9.1898576!16s%2Fg%2F11c0rvkx32!19sChIJx21v_XdY-xIRGuDRCo_7Jmg?authuser=0&hl=fr&rclk=1
ChIJHw_Hv4-n_BIRnNmooMKyM00,SHELL,,False,5,,SHELL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPe-V97VlMBF02RYZQw1RO0B5-Ed-ze-tQMfXVL=w427-h240-k-no,Station-service,Station-service,3.8,Ouvert 24h/24,,,"P5QX+HQ9 SHELL, Beja",,https://www.google.com/maps/place/SHELL/data=!4m7!3m6!1s0x12fca78fbfc70f1f:0x4d33b2c2a0a8d99c!8m2!3d36.7389037!4d9.1994796!16s%2Fg%2F11c53rkzr1!19sChIJHw_Hv4-n_BIRnNmooMKyM00?authuser=0&hl=fr&rclk=1
ChIJUw8f5Xan_BIR1x4EWKzYB5c,Staroil Beja Ceinture,,False,4,,Staroil Beja Ceinture (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMaHw0oODWqW9qgHBo01lCDTsEYwubCOLHsdGTK=w408-h306-k-no,Station-service,Station-service,3.3,Ouvert 24h/24,,,"P6F3+5PV Staroil Beja Ceinture, Beja",,https://www.google.com/maps/place/Staroil+B%C3%A9ja+Ceinture/data=!4m7!3m6!1s0x12fca776e51f0f53:0x9707d8ac58041ed7!8m2!3d36.722998!4d9.2042823!16s%2Fg%2F11c1l5y6lg!19sChIJUw8f5Xan_BIR1x4EWKzYB5c?authuser=0&hl=fr&rclk=1
ChIJe41oDO9Z-xIRVZDHJlVGSSg,bjaoui Key,,False,4,http://www.facebook.com/kais.bjaoui.96,bjaoui Key (proprietaire),https://www.google.com/maps/contrib/110206436024514070858,https://lh5.googleusercontent.com/p/AF1QipPqDCuAteFkSeF9nIpNsdix4aLQQj9JtlhPjO01=w408-h306-k-no,Station-service,Station-service,5,07:00-18:00,dimanche,98 331 911,"bjaoui Key, 32 rue habib haddad, Beja 9000",,https://www.google.com/maps/place/bjaoui+Key/data=!4m7!3m6!1s0x12fb59ef0c688d7b:0x2849465526c79055!8m2!3d36.7258153!4d9.1862962!16s%2Fg%2F11gyytnb64!19sChIJe41oDO9Z-xIRVZDHJlVGSSg?authuser=0&hl=fr&rclk=1
ChIJbyo3ZYKn_BIRz_3iJDT-1wQ,Shell,,False,3,https://find.shell.com/tn/fuel/TN_10044804-beja-iii,Shell (proprietaire),https://www.google.com/maps/contrib/116151628311250331072,https://lh5.googleusercontent.com/p/AF1QipOURpS_vTmH6csklLT5B2ned8jHKN8KR-0HjO5H=w408-h306-k-no,Station-service,"Station-service, Station de lavage automobile, Superette, Sandwicherie",3.7,Ouvert 24h/24,,71 249 149,"Shell, Avenue de l'Environnement Beja Iii Rte De Tunis, Gp6, Beja 9000",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fca78265372a6f:0x4d7fe3424e2fdcf!8m2!3d36.7276207!4d9.1977561!16s%2Fg%2F1td8dpkn!19sChIJbyo3ZYKn_BIRz_3iJDT-1wQ?authuser=0&hl=fr&rclk=1
ChIJleIHOIBY-xIRLlP0WrZQZYM,Shell,,False,3,https://find.shell.com/tn/fuel/TN_10044798-beja-ville,Shell (proprietaire),https://www.google.com/maps/contrib/118004138949506318692,https://lh5.googleusercontent.com/p/AF1QipNSS4trEyTFkQvvp9sVf2mA3cxFyV-G-ZkHVsCm=w408-h544-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",4,Ouvert 24h/24,,71 249 149,"Shell, Avenue Habib Bourguiba Beja Ville, Av Habib Thameur, Beja 9000",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fb58803807e295:0x836550b65af4532e!8m2!3d36.7256895!4d9.1885282!16s%2Fg%2F1w2gs7y3!19sChIJleIHOIBY-xIRLlP0WrZQZYM?authuser=0&hl=fr&rclk=1
