place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJLQbgw_c2_RIRIRWaq2ME310,OiLibya,,False,35,,OiLibya (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYnANbmB7VlFRSY29oDIiwsNnvO7y_s-oKZ4Eb=w426-h240-k-no,Station-service,Station-service,3.5,Ouvert 24h/24,,70 015 500,"P6R7+GJP OiLibya, A1, bn",,https://www.google.com/maps/place/OiLibya/data=!4m7!3m6!1s0x12fd36f7c3e0062d:0x5ddf0463ab9a1521!8m2!3d36.7413408!4d10.214063!16s%2Fg%2F1tdj69yg!19sChIJLQbgw_c2_RIRIRWaq2ME310?authuser=0&hl=fr&rclk=1
ChIJMWytlgk2_RIR0tzQMHLT8sc,Sidi Rezig,,False,32,,Sidi Rezig (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN4rUH1nArbBtJB441Xa0NsUFu122CAAeE9adtW=w408-h545-k-no,Gare,Gare,4.2,,,,"Sidi Rezig, Megrine",,https://www.google.com/maps/place/Sidi+Rezig/data=!4m7!3m6!1s0x12fd360996ad6c31:0xc7f2d37230d0dcd2!8m2!3d36.7673336!4d10.2445454!16s%2Fg%2F1tg7p6pr!19sChIJMWytlgk2_RIR0tzQMHLT8sc?authuser=0&hl=fr&rclk=1
ChIJ_RCNhHU2_RIRY0GRju7GC5c,Station-service TotalEnergies MEGRINE COTEAUX,,False,21,https://services.totalenergies.tn/,Station-service TotalEnergies MEGRINE COTEAUX (proprietaire),https://www.google.com/maps/contrib/118053057060537076241,https://lh5.googleusercontent.com/p/AF1QipP1ST1tAKNRVVCDwnHpVc5cY-NDPkDv5jRPPslx=w408-h306-k-no,Station-service,Station-service,4.2,Ouvert 24h/24,,71 295 046,"Station-service TotalEnergies MEGRINE COTEAUX, Rue du 1er Juin 1958, Av H Bourguiba, Megrine 2033",,https://www.google.com/maps/place/Station-service+TotalEnergies+MEGRINE+COTEAUX/data=!4m7!3m6!1s0x12fd3675848d10fd:0x970bc6ee8e914163!8m2!3d36.7694221!4d10.2343309!16s%2Fg%2F11ddxyplsy!19sChIJ_RCNhHU2_RIRY0GRju7GC5c?authuser=0&hl=fr&rclk=1
ChIJC7uQ4gE3_RIRn_s68ZXhseU,AGIL,,False,21,http://www.agil.com.tn/,AGIL (proprietaire),https://www.google.com/maps/contrib/105894638632706234686,https://lh5.googleusercontent.com/p/AF1QipOKWHjfyUMhIHq7NR7bEvuIii5eCXdDSYy1k-o=w426-h240-k-no,Station-service,Station-service,4.3,Ouvert 24h/24,,22 884 883,"AGIL, El Mourouj 2074",,https://www.google.com/maps/place/AGIL/data=!4m7!3m6!1s0x12fd3701e290bb0b:0xe5b1e195f13afb9f!8m2!3d36.7293271!4d10.2104911!16s%2Fg%2F1tlz8kgp!19sChIJC7uQ4gE3_RIRn_s68ZXhseU?authuser=0&hl=fr&rclk=1
ChIJaXv8CjE2_RIRjNg6Eev8Jy0,Station-service TotalEnergies BORJ GHORBAL,,False,18,https://services.totalenergies.tn/,Station-service TotalEnergies BORJ GHORBAL (proprietaire),https://www.google.com/maps/contrib/111972469751469057707,https://lh5.googleusercontent.com/p/AF1QipOZcEmuw70ndTBIn_iL7gpJRyB5vgvpAqL0fvM=w408-h306-k-no,Station-service,Station-service,3.1,Ouvert 24h/24,,79 328 740,"Station-service TotalEnergies BORJ GHORBAL, C35, Ben Arous 2013",,https://www.google.com/maps/place/Station-service+TotalEnergies+BORJ+GHORBAL/data=!4m7!3m6!1s0x12fd36310afc7b69:0x2d27fceb113ad88c!8m2!3d36.7331083!4d10.2458829!16s%2Fg%2F12ll9m5t2!19sChIJaXv8CjE2_RIRjNg6Eev8Jy0?authuser=0&hl=fr&rclk=1
ChIJwe0D8_42_RIRRRHcYFkOFBQ,OLA Energy,,False,17,,OLA Energy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMvKqZzd4zvaoCNbSIQ9Q6Mo5XIwjImx9pgpJw=w408-h544-k-no,Station-service,Station-service,3.8,Ouvert 24h/24,,71 363 240,"P6J6+XCQ OLA Energy, El Mourouj",,https://www.google.com/maps/place/OLA+Energy/data=!4m7!3m6!1s0x12fd36fef303edc1:0x14140e5960dc1145!8m2!3d36.7324533!4d10.2111027!16s%2Fg%2F11cs1khgv2!19sChIJwe0D8_42_RIRRRHcYFkOFBQ?authuser=0&hl=fr&rclk=1
ChIJif5Dp3A2_RIRk1b-UZos5HQ,Station-service MEGRINE GP1,,False,17,https://services.totalenergies.tn/,Station-service MEGRINE GP1 (proprietaire),https://www.google.com/maps/contrib/110108073050825423813,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iSrwZ_hQtphYZfHCRT7vZQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=30.432465&pitch=0&thumbfov=100,Station-service,Station-service,4.1,Ouvert 24h/24,,71 295 635,"Station-service MEGRINE GP1, N1 Route de Sousse GP1 Megrine, 2033",,https://www.google.com/maps/place/Station-service+MEGRINE+GP1/data=!4m7!3m6!1s0x12fd3670a743fe89:0x74e42c9a51fe5693!8m2!3d36.7642946!4d10.2264376!16s%2Fg%2F11cfh1fsd!19sChIJif5Dp3A2_RIRk1b-UZos5HQ?authuser=0&hl=fr&rclk=1
ChIJN2Un6jc3_RIRrI1XRTb5iqM,Station Total,,False,16,https://services.totalenergies.tn/,Station Total (proprietaire),https://www.google.com/maps/contrib/107954884206909384706,https://lh5.googleusercontent.com/p/AF1QipNNWfRhneSE7S4Yo390cqMy1jot6u_FJcFXnbM=w426-h240-k-no,Station-service,Station-service,3.1,Ouvert 24h/24,,71 409 325,"Station Total, Rue de Belgique Km 9 Fouchana, 2082",,https://www.google.com/maps/place/Station+Total/data=!4m7!3m6!1s0x12fd3737ea276537:0xa38af93645578dac!8m2!3d36.7117385!4d10.1803645!16s%2Fg%2F11ddy0__7y!19sChIJN2Un6jc3_RIRrI1XRTb5iqM?authuser=0&hl=fr&rclk=1
ChIJhQoj_mM2_RIRcXdr2A75ZkA,Ben Arous,,False,15,https://www.transtu.tn/fr/,Ben Arous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMhRd1t7VpGRQUFJC5QcSW6ppyhFALpJOb55GKm=w408-h544-k-no,Station de metro,Station de metro,4.4,,,,Ben Arous,,https://www.google.com/maps/place/Ben+Arous/data=!4m7!3m6!1s0x12fd3663fe230a85:0x4066f90ed86b7771!8m2!3d36.7551877!4d10.2205165!16s%2Fg%2F1tf4b7bb!19sChIJhQoj_mM2_RIRcXdr2A75ZkA?authuser=0&hl=fr&rclk=1
ChIJSZXbjFE2_RIRiYDLcvQ_0eI,Shell,,False,15,https://find.shell.com/tn/fuel/TN_10044688-sortie-sud,Shell (proprietaire),https://www.google.com/maps/contrib/114535968978130607015,https://lh5.googleusercontent.com/p/AF1QipN6mifkW4Zj4uwF9rSMQLyWImmISTsDGehSDQ5W=w408-h543-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Restauration rapide, Pizzas a emporter, Restaurant, Sandwicherie",3.9,Ouvert 24h/24,,71 249 149,"Shell, Highway A1 Bir El Kassaa Sortie Sud, 2013",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd36518cdb9549:0xe2d13ff472cb8089!8m2!3d36.7335136!4d10.2246205!16s%2Fg%2F11c2klt8zk!19sChIJSZXbjFE2_RIRiYDLcvQ_0eI?authuser=0&hl=fr&rclk=1
ChIJ5Y8qTDg2_RIR-3it7lO4DSk,AGIL,,False,13,,AGIL (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nQjF5KZcNlR9iBO73iIzRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=222.4438&pitch=0&thumbfov=100,Station-service,Station-service,3.8,Ouvert 24h/24,,,"AGIL, C35, Ben Arous 2096",,https://www.google.com/maps/place/AGIL/data=!4m7!3m6!1s0x12fd36384c2a8fe5:0x290db853eead78fb!8m2!3d36.7392947!4d10.2400383!16s%2Fg%2F11b6_vflc6!19sChIJ5Y8qTDg2_RIR-3it7lO4DSk?authuser=0&hl=fr&rclk=1
ChIJN3Wia95J_RIRYacUD9iDAgY,Shell,,False,12,https://find.shell.com/tn/fuel/TN_10044692-cite-sportive,Shell (proprietaire),https://www.google.com/maps/contrib/109999212892975620853,https://lh5.googleusercontent.com/p/AF1QipNTuKNDVoxTd24c1UhKuIezNyjlrdz2rQxKSwh9=w408-h544-k-no,Station-service,"Station-service, Distributeur de billets, Superette",3.8,Ouvert 24h/24,,71 249 149,"Shell, N1, Rades 2018",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd49de6ba27537:0x60283d80f14a761!8m2!3d36.7445119!4d10.2644674!16s%2Fg%2F1tfs81hw!19sChIJN3Wia95J_RIRYacUD9iDAgY?authuser=0&hl=fr&rclk=1
ChIJUyOuHUU2_RIRW1ia811Hyv8,Bir Kassaa,,False,11,,Bir Kassaa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPOrzSicnWx6eazfMHLfTfQxGcuZcXYceEyGs1Q=w408-h544-k-no,Gare,Gare,3.6,,,,"Bir Kassaa, Ben Arous",,https://www.google.com/maps/place/Bir+Kassaa/data=!4m7!3m6!1s0x12fd36451dae2353:0xffca475df39a585b!8m2!3d36.7410163!4d10.2282554!16s%2Fg%2F1xtdzs_l!19sChIJUyOuHUU2_RIRW1ia811Hyv8?authuser=0&hl=fr&rclk=1
ChIJBV8_5gE3_RIR-8uYIxP-PlE,El Mourouj 3,,False,10,,El Mourouj 3 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMB7JtWVQERJNMrgC2YLGetj3FlfnD_nXGcXBPO=w408-h272-k-no,Station de metro,Station de metro,4.8,,,,"El Mourouj 3, El Mourouj 2074",,https://www.google.com/maps/place/El+Mourouj+3/data=!4m7!3m6!1s0x12fd3701e63f5f05:0x513efe132398cbfb!8m2!3d36.7287141!4d10.2107801!16s%2Fg%2F1tf04wrl!19sChIJBV8_5gE3_RIR-8uYIxP-PlE?authuser=0&hl=fr&rclk=1
ChIJIeD2oxE2_RIRQZ4U7MKEd94,OLA,,False,9,,OLA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN11SKQA1y5mXlzqo9651dPaa-bOZdAUI3jyc0=w426-h240-k-no,Station-service,Station-service,3.3,Ouvert 24h/24,,,"Q64W+F23 OLA, RN1, Megrine",,https://www.google.com/maps/place/OLA/data=!4m7!3m6!1s0x12fd3611a3f6e021:0xde7784c2ec149e41!8m2!3d36.7561454!4d10.2450608!16s%2Fg%2F11cfcrcd5!19sChIJIeD2oxE2_RIRQZ4U7MKEd94?authuser=0&hl=fr&rclk=1
ChIJbRnuLCw2_RIRGH2GalOMSTI,Shell,,False,9,https://find.shell.com/tn/fuel/TN_10090437-ezzahra-ii,Shell (proprietaire),https://www.google.com/maps/contrib/109305157895514922137,https://lh5.googleusercontent.com/p/AF1QipOD4ncrrWc2Mgk6r74pV44tjmUXfG1hOd-mJ55E=w408-h306-k-no,Station-service,"Station-service, Superette, Borne de recharge de vehicules electriques",3.9,Ouvert 24h/24,,71 249 149,"Shell, C35 A 22 Route Nationale Mc 39, Ben A Arous, 2034",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd362c2cee196d:0x32498c536a867d18!8m2!3d36.7305652!4d10.251152!16s%2Fg%2F1pp2vb8hz!19sChIJbRnuLCw2_RIRGH2GalOMSTI?authuser=0&hl=fr&rclk=1
ChIJlTurTGxK_RIR5TqShugHZ2w,OLA,,False,9,,OLA (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uEVDJu9PhD51-7Ened5ilw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.80582&pitch=0&thumbfov=100,Station-service,Station-service,3.2,Ouvert 24h/24,,71 449 290,"Q7RF+HJP OLA, Ben Arous",,https://www.google.com/maps/place/OLA/data=!4m7!3m6!1s0x12fd4a6c4cab3b95:0x6c6707e886923ae5!8m2!3d36.7914689!4d10.2740662!16s%2Fg%2F11ddx1sr7g!19sChIJlTurTGxK_RIR5TqShugHZ2w?authuser=0&hl=fr&rclk=1
ChIJjbnxFtg1_RIR22oIfUZJnVM,Bus 19 Station,,False,7,,Bus 19 Station (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ddqs13kR0fEuHyqCiWdysg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=63.576992&pitch=0&thumbfov=100,Gare routiere,Gare routiere,3.9,,,,"Bus 19 Station, Megrine",,https://www.google.com/maps/place/Bus+19+Station/data=!4m7!3m6!1s0x12fd35d816f1b98d:0x539d49467d086adb!8m2!3d36.7716948!4d10.2273032!16s%2Fg%2F12hv1myv_!19sChIJjbnxFtg1_RIR22oIfUZJnVM?authuser=0&hl=fr&rclk=1
ChIJf80G9lc3_RIRYjUzIrE39Wk,Station service Shell B AMOR,,False,7,,Station service Shell B AMOR (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMB2x5peG2wITpX1hsvGtIfl885Ld0z0k1SrgrE=w532-h240-k-no,Station-service,Station-service,4.4,Ouvert 24h/24,,50 635 921,"Q57W+G94 Station service Shell B AMOR, Tunis",,https://www.google.com/maps/place/Station+service+Shell+B+AMOR/data=!4m7!3m6!1s0x12fd3757f606cd7f:0x69f537b122333562!8m2!3d36.7637701!4d10.1959462!16s%2Fg%2F11p0zmj1_4!19sChIJf80G9lc3_RIRYjUzIrE39Wk?authuser=0&hl=fr&rclk=1
ChIJ-160FhI2_RIRawlT92DwzMs,Station-service TotalEnergies FOUNDOUK CHOUCHA,,False,7,https://services.totalenergies.tn/,Station-service TotalEnergies FOUNDOUK CHOUCHA (proprietaire),https://www.google.com/maps/contrib/115542693880503545736,https://lh5.googleusercontent.com/p/AF1QipPYXnUiaJzjVH63BPKSzDnkFAMF1i57quuvMkc=w408-h306-k-no,Station-service,Station-service,4.4,Ouvert 24h/24,,71 297 821,"Station-service TotalEnergies FOUNDOUK CHOUCHA, N1 Route de Sousse km 6,5 Megrine, 2033",,https://www.google.com/maps/place/Station-service+TotalEnergies+FOUNDOUK+CHOUCHA/data=!4m7!3m6!1s0x12fd361216b45efb:0xcbccf060f753096b!8m2!3d36.7577337!4d10.2420735!16s%2Fg%2F11c2plxlf4!19sChIJ-160FhI2_RIRawlT92DwzMs?authuser=0&hl=fr&rclk=1
ChIJEVmXMHo2_RIRjjG8d6VJ_xk,AGIL,,False,6,,AGIL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPWu46mShwockHv3_fkv7qT2WP2UkqkduBNMNTU=w408-h306-k-no,Station-service,Station-service,4,,,,"Q67F+RMX AGIL, Ben Arous",,https://www.google.com/maps/place/AGIL/data=!4m7!3m6!1s0x12fd367a30975911:0x19ff49a577bc318e!8m2!3d36.7646003!4d10.2242224!16s%2Fg%2F11gbxb3p46!19sChIJEVmXMHo2_RIRjjG8d6VJ_xk?authuser=0&hl=fr&rclk=1
ChIJr0RCN6w3_RIR279dD0CrxEk,Station service Agil Bir el Kasaa,,False,6,,Station service Agil Bir el Kasaa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPaIswMXL2yHzphFEOVaKpS-btvJP8XzWyuZps=w408-h306-k-no,Station-service,Station-service,3.5,Ouvert 24h/24,,,"P6FF+J78 Station service Agil Bir el Kasaa, C36, El Mourouj",,https://www.google.com/maps/place/Station+service+Agil+Bir+el+Kasaa/data=!4m7!3m6!1s0x12fd37ac374244af:0x49c4ab400f5dbfdb!8m2!3d36.7241055!4d10.2230408!16s%2Fg%2F1v68p1zs!19sChIJr0RCN6w3_RIR279dD0CrxEk?authuser=0&hl=fr&rclk=1
ChIJm94J5IM2_RIR4ONS9bBkrtk,Shell Sidi Fathallah,,False,6,https://find.shell.com/tn/fuel/TN_10044666-sidi-fathallah,Shell Sidi Fathallah (proprietaire),https://www.google.com/maps/contrib/104439311172376457915,https://lh5.googleusercontent.com/p/AF1QipNFIpFItYCdkcZbGoxEfsKBwQcUtzim69crxeMv=w408-h544-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",4.2,Ouvert 24h/24,,71 249 149,"Shell Sidi Fathallah, C35 Sidi Fathallah Jbal Jeloud Tunis, 2023",,https://www.google.com/maps/place/Shell+Sidi+Fathallah/data=!4m7!3m6!1s0x12fd3683e409de9b:0xd9ae64b0f552e3e0!8m2!3d36.7678855!4d10.2091004!16s%2Fg%2F11c7szxnm0!19sChIJm94J5IM2_RIR4ONS9bBkrtk?authuser=0&hl=fr&rclk=1
ChIJFbFO8GY2_RIRcFoNhsdv_oM,Benarous2,,False,5,,Benarous2 (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MooPxe0R07b_HtwEjbgQGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=257.69128&pitch=0&thumbfov=100,Arret de bus,Arret de bus,3.2,,,,"Benarous2, Av. Habib Bourguiba, Ben Arous",,https://www.google.com/maps/place/Benarous2/data=!4m7!3m6!1s0x12fd3666f04eb115:0x83fe6fc7860d5a70!8m2!3d36.7530863!4d10.2229768!16s%2Fg%2F11h0cq2mn!19sChIJFbFO8GY2_RIRcFoNhsdv_oM?authuser=0&hl=fr&rclk=1
ChIJcT3GEYI2_RIRwF7Fs6UxyrY,Station-service Shell,,False,4,https://find.shell.com/tn/fuel/TN_10044657-jbel-jelloud,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/114961341875688981625,https://lh5.googleusercontent.com/p/AF1QipMQvVzaW3dj1kI1XpI6YN8KJgOprTatdnInVIi_=w426-h240-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",4.5,Ouvert 24h/24,,71 249 149,"Station-service Shell, 31 B, N1, Av De La Republique, Megrine 2033",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12fd368211c63d71:0xb6ca31a5b3c55ec0!8m2!3d36.7711604!4d10.2088912!16s%2Fg%2F11g7cxf753!19sChIJcT3GEYI2_RIRwF7Fs6UxyrY?authuser=0&hl=fr&rclk=1
