place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ0YjqewMf4xIRp62nJrAB_dw,Agence Technique des Transport Terrestres Bizerte,,False,47,http://attt.com.tn/,Agence Technique des Transport Terrestres Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOayB76OBkTcPBvetJwWkhpO9pg5hDRfhk5Qb0Q=w493-h240-k-no,Centre de controle technique,Centre de controle technique,3.3,07:30-14:30,dimanche,72 534 160,"7R8X+784 Agence Technique des Transport Terrestres Bizerte, Bizerte 7000",,https://www.google.com/maps/place/Agence+Technique+des+Transport+Terrestres+Bizerte/data=!4m7!3m6!1s0x12e31f037bea88d1:0xdcfd01b026a7ada7!8m2!3d37.2656341!4d9.8483322!16s%2Fg%2F1hdzc14bd!19sChIJ0YjqewMf4xIRp62nJrAB_dw?authuser=0&hl=fr&rclk=1
ChIJ7V2lYawf4xIRbPQxUD2BP_k,Bizerte,,False,26,,Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPx9nhsrwbpKDJYJd7lqFaQvUioXiLExPG3fq0K=w408-h725-k-no,Gare,Gare,4.1,,,,"Bizerte, Banzart",,https://www.google.com/maps/place/Bizerte/data=!4m7!3m6!1s0x12e31fac61a55ded:0xf93f813d5031f46c!8m2!3d37.267308!4d9.8682295!16s%2Fg%2F1hc64l2_q!19sChIJ7V2lYawf4xIRbPQxUD2BP_k?authuser=0&hl=fr&rclk=1
ChIJp2_rU8wf4xIRtPR0GpC3oSU,Gare routere de Bizerte,,False,22,http://www.srtbizerte.com.tn/,Gare routere de Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO0ghqEdL0qR59ULEgJeWMLGepq2Davn3hSgAIx=w408-h544-k-no,Arret de bus,Arret de bus,2.8,,,,"Gare routere de Bizerte, P8, Zarzouna 7000",aeroport,https://www.google.com/maps/place/Gare+rout%C3%A8re+de+Bizerte/data=!4m7!3m6!1s0x12e31fcc53eb6fa7:0x25a1b7901a74f4b4!8m2!3d37.2649599!4d9.8864293!16s%2Fg%2F1tfljn90!19sChIJp2_rU8wf4xIRtPR0GpC3oSU?authuser=0&hl=fr&rclk=1
ChIJrVsuzscf4xIRUzeVWIsuBf4,Gare routiere de Bizerte,,False,11,http://www.srtbizerte.com.tn/,Gare routiere de Bizerte (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOzMZrg0qVXiZc2u-3R9WhNlbEu_DrrsI_2dgcT=w408-h306-k-no,Service de transport,Service de transport,3.3,,,99 645 758,"7V9F+J2G Gare routiere de Bizerte, Rue Ler Jule 1956, Bizerte 7000",,https://www.google.com/maps/place/Gare+routi%C3%A8re+de+Bizerte/data=!4m7!3m6!1s0x12e31fc7ce2e5bad:0xfe052e8b58953753!8m2!3d37.2690662!4d9.8725834!16s%2Fg%2F11j997nc10!19sChIJrVsuzscf4xIRUzeVWIsuBf4?authuser=0&hl=fr&rclk=1
ChIJ8dZ0svUe4xIRUFR78UTVx0w,"station bus 15,et taxis",,False,8,,"station bus 15,et taxis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipNkCxZSADc3S9-0-cUQjH3QXBxC06PGwiaUqE_E=w408-h306-k-no,Station de taxis,Station de taxis,4.4,,,,"7VQ3+4RX station bus 15,et taxis, Bizerte",,"https://www.google.com/maps/place/station+bus+15,et+taxis/data=!4m7!3m6!1s0x12e31ef5b274d6f1:0x4cc7d544f17b5450!8m2!3d37.287863!4d9.8546103!16s%2Fg%2F1vq89fw8!19sChIJ8dZ0svUe4xIRUFR78UTVx0w?authuser=0&hl=fr&rclk=1"
ChIJmf6_t0we4xIR0Ym1GswFBHI,Station Tarek Ibn Zied,,False,4,http://www.srtbizerte.com.tn/,Station Tarek Ibn Zied (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP6p4lWLRZYIqIbi4u8JZsnscBVyVNg3tkFzJhT=w408-h544-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,72 432 278,"7V9F+J2G Station Tarek Ibn Zied, Rue Ler Jule 1956, Bizerte 7000",,https://www.google.com/maps/place/Station+Tarek+Ibn+Zied/data=!4m7!3m6!1s0x12e31e4cb7bffe99:0x720405cc1ab589d1!8m2!3d37.2690662!4d9.8725833!16s%2Fg%2F11cs1w7sk2!19sChIJmf6_t0we4xIR0Ym1GswFBHI?authuser=0&hl=fr&rclk=1
ChIJ49Qdm8wf4xIRZOO7A75ZyqY,Station louage Bizerte-Tunis,,False,4,,Station louage Bizerte-Tunis (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YrpUYvkE5KCQtutj_TymLQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=30.61538&pitch=0&thumbfov=100,Station de taxis,Station de taxis,5,,,,"7V8P+3G4 Station louage Bizerte-Tunis, Zarzouna",,https://www.google.com/maps/place/Station+louage+Bizerte-Tunis/data=!4m7!3m6!1s0x12e31fcc9b1dd4e3:0xa6ca59be03bbe364!8m2!3d37.2651464!4d9.8863163!16s%2Fg%2F11kpznj1sk!19sChIJ49Qdm8wf4xIRZOO7A75ZyqY?authuser=0&hl=fr&rclk=1
ChIJkVtWHAIf4xIRIDOqUNMKTUk,mHT@ Hflt,,False,3,,mHT@ Hflt (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMhwSviITAo-MGGLSpnqpe3-RDqno9TDfFM-7kj=w408-h260-k-no,Station de taxis,Station de taxis,3.7,,,,"7VG9+CWH mHT@ Hflt, Bizerte",,https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%AD%D8%A7%D9%81%D9%84%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x12e31f021c565b91:0x494d0ad350aa3320!8m2!3d37.2760723!4d9.8698703!16s%2Fg%2F11j8lfg_bn!19sChIJkVtWHAIf4xIRIDOqUNMKTUk?authuser=0&hl=fr&rclk=1
ChIJ1bLMJ8cf4xIRvrKR6MwV9uo,Station bus 2000,,False,1,,Station bus 2000 (proprietaire),,,Service de bus scolaires,Service de bus scolaires,5,,,,"7VM2+V45 Station bus 2000, Unnamed Road, Bizerte",,https://www.google.com/maps/place/Station+bus+2000/data=!4m7!3m6!1s0x12e31fc727ccb2d5:0xeaf615cce891b2be!8m2!3d37.2845833!4d9.8502537!16s%2Fg%2F11v0rd_fdf!19sChIJ1bLMJ8cf4xIRvrKR6MwV9uo?authuser=0&hl=fr&rclk=1
ChIJi08cwecf4xIRBqqlfH8p8t4,Station louage bizerte,,False,1,,Station louage bizerte (proprietaire),,,Station-service,Station-service,5,,,,"7V9C+MWV Station louage bizerte, Quai Nord du Canal de, Bizerte",,https://www.google.com/maps/place/Station+louage+bizerte/data=!4m7!3m6!1s0x12e31fe7c11c4f8b:0xdef2297f7ca5aa06!8m2!3d37.2691385!4d9.8722565!16s%2Fg%2F11tfg4p5yf!19sChIJi08cwecf4xIRBqqlfH8p8t4?authuser=0&hl=fr&rclk=1
