place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJ0ed9RQ00_RIRV5gf6J31_hs,Gare de Tunis,,False,216,http://sncft.com.tn/fr/serv_en_ligne/horaire_live/,Gare de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOlt2AgH3W3wCAndKzcufFLzzS_ushHhEh13uEm=w408-h306-k-no,Gare,Gare,3,,,,"Gare de Tunis, Rue Ali Darghouth, Tunis","voyage, service, sud, confort, catastrophe, securite, pays, nombre, systeme, distance",https://www.google.com/maps/place/Gare+de+Tunis/data=!4m7!3m6!1s0x12fd340d457de7d1:0x1bfef59de81f9857!8m2!3d36.7949275!4d10.180481!16s%2Fm%2F0134cycg!19sChIJ0ed9RQ00_RIRV5gf6J31_hs?authuser=0&hl=fr&rclk=1
ChIJeRkiIA40_RIRMStBFkXFpuo,Station Louage Bab Aliwa,,False,128,,Station Louage Bab Aliwa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOYDKCIYmBOIeTdeBF_OsyltH_pCnpE1kFCpu0q=w426-h240-k-no,Service de transport,Service de transport,3.4,,,54 638 266,"Q5QJ+MH8 Station Louage Bab Aliwa, Tunis","espace, bus, prix",https://www.google.com/maps/place/Station+Louage+Bab+Aliwa/data=!4m7!3m6!1s0x12fd340e20221979:0xeaa6c54516412b31!8m2!3d36.7891592!4d10.1814398!16s%2Fg%2F11dxfdg5rf!19sChIJeRkiIA40_RIRMStBFkXFpuo?authuser=0&hl=fr&rclk=1
ChIJcSsXEJm04hIR9eqKRBBISkA,Sidi-Bou-Said,,False,106,,Sidi-Bou-Said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO7EVgZp0EnXnvEtGSW0bn-60U-rtA2EKTLwuFx=w408-h306-k-no,Gare,Gare,4.5,,,,"Sidi-Bou-Said, Site archeologique de Carthage","touristique, mer, cafe",https://www.google.com/maps/place/Sidi-Bou-Said/data=!4m7!3m6!1s0x12e2b49910172b71:0x404a4810448aeaf5!8m2!3d36.8704945!4d10.3421244!16s%2Fg%2F1tfdhsf3!19sChIJcSsXEJm04hIR9eqKRBBISkA?authuser=0&hl=fr&rclk=1
ChIJGQGiCRQ0_RIRnfDrcbeAkDQ,"Station Louage Moncef Bey, Tunis",,False,71,,"Station Louage Moncef Bey, Tunis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipP8zCOzis99rbCXBMI02K2L49Dj7GqBW6Sin3-q=w408-h306-k-no,Gare routiere,Gare routiere,3.2,,,,"Station Louage Moncef Bey, Tunis, Av. Hammouda Pacha, Tunis","prix, hygiene, voyage","https://www.google.com/maps/place/Station+Louage+Moncef+Bey,+Tunis/data=!4m7!3m6!1s0x12fd341409a20119:0x349080b771ebf09d!8m2!3d36.7911746!4d10.1873102!16s%2Fg%2F1q62jyn4j!19sChIJGQGiCRQ0_RIRnfDrcbeAkDQ?authuser=0&hl=fr&rclk=1"
ChIJtx5DsQ80_RIRTpdxQy4sDOc,Gare Routiere Sud,,False,51,,Gare Routiere Sud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMUzyQ0ECiP3lQiq9JJbJJ73zTYAoZYSFptbJFB=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Gare Routiere Sud, P1, Tunis",,https://www.google.com/maps/place/Gare+Routiere+Sud/data=!4m7!3m6!1s0x12fd340fb1431eb7:0xe70c2c2e4371974e!8m2!3d36.7875077!4d10.1796055!16s%2Fg%2F1trzscbd!19sChIJtx5DsQ80_RIRTpdxQy4sDOc?authuser=0&hl=fr&rclk=1
ChIJtYo_a7a04hIRIZL21tQ8RKc,Carthage Hannibal,,False,33,,Carthage Hannibal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9KaR_p-YrzKXwl5M69NoqzJ0wEHTmO--38Ncg=w426-h240-k-no,Gare,Gare,3.8,,,,"Carthage Hannibal, Site archeologique de Carthage",,https://www.google.com/maps/place/Carthage+Hannibal/data=!4m7!3m6!1s0x12e2b4b66b3f8ab5:0xa7443cd4d6f69221!8m2!3d36.853423!4d10.3289416!16s%2Fg%2F1tjzmtkt!19sChIJtYo_a7a04hIRIZL21tQ8RKc?authuser=0&hl=fr&rclk=1
ChIJoXTd82k0_RIRwhAjSwFgkDs,Tunis Marine,,False,22,,Tunis Marine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNospeS0Q6Wfnr_lX8XzPhr0C2_n608xqUwtDOa=w408-h543-k-no,Station de transit,Station de transit,4.2,,,,"Tunis Marine, Tunis",,https://www.google.com/maps/place/Tunis+Marine/data=!4m7!3m6!1s0x12fd3469f3dd74a1:0x3b9060014b2310c2!8m2!3d36.8007146!4d10.191654!16s%2Fm%2F0134d2hg!19sChIJoXTd82k0_RIRwhAjSwFgkDs?authuser=0&hl=fr&rclk=1
ChIJZbqlpY604hIRYNmkbh4j4tI,"Station TGM ""La Marsa """,,False,21,,"Station TGM ""La Marsa "" (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipOZZOu-fZuAx4JtBH_is3MX6XbP1KA-V0bu4mpu=w408-h257-k-no,Station de metro,Station de metro,4.5,,,,"Station TGM ""La Marsa "", Site archeologique de Carthage",,https://www.google.com/maps/place/Station+TGM+%22La+Marsa+%22/data=!4m7!3m6!1s0x12e2b48ea5a5ba65:0xd2e2231e6ea4d960!8m2!3d36.883049!4d10.3334463!16s%2Fg%2F1hc5dmth9!19sChIJZbqlpY604hIRYNmkbh4j4tI?authuser=0&hl=fr&rclk=1
ChIJlWpHcZm04hIRxAuG6eyKyPY,AGIL,,False,15,,AGIL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipONeGnIGssz3p0Y8-fkpnx_6PYwS1h9eoeannGy=w408-h544-k-no,Station-service,Station-service,4.3,06:30-22:00,,,"V8CR+JP6 AGIL, Site archeologique de Carthage",,https://www.google.com/maps/place/AGIL/data=!4m7!3m6!1s0x12e2b49971476a95:0xf6c88aece9860bc4!8m2!3d36.8715381!4d10.3417799!16s%2Fg%2F11gzp1371!19sChIJlWpHcZm04hIRxAuG6eyKyPY?authuser=0&hl=fr&rclk=1
