place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzV8nJbmYAhMRlIGxWMDt_-w,Societe Regionale de Transport du Gouvernorat de Nabeul,,False,45,,Societe Regionale de Transport du Gouvernorat de Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNwVraAcekaile9gXDnY9cdKCCwCH0Hm7qw0gG3=w408-h306-k-no,Societe de transport en bus et autocar,"Societe de transport en bus et autocar, Service de transport",3.6,,,72 287 000,"FP3G+358 Societe Regionale de Transport du Gouvernorat de Nabeul, Nabeul",confort,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+R%C3%A9gionale+de+Transport+du+Gouvernorat+de+Nabeul/data=!4m7!3m6!1s0x130298b925275fcd:0xecffedc058b18194!8m2!3d36.4526533!4d10.725463!16s%2Fg%2F1tdtylrm!19sChIJzV8nJbmYAhMRlIGxWMDt_-w?authuser=0&hl=fr&rclk=1
ChIJx2MIQvmeAhMR5EA0an1Lceo,TotalEnergies EL MREZKA,,False,32,https://services.totalenergies.tn/,TotalEnergies EL MREZKA (proprietaire),https://www.google.com/maps/contrib/114242432125929917370,https://lh5.googleusercontent.com/p/AF1QipPx5iygAiV52hj6LV1bVZ4BAld3RVe8IuRVEGw=w408-h306-k-no,Station-service,Station-service,3.7,Ouvert 24h/24,,72 262 270,"TotalEnergies EL MREZKA, Avenue Mrezga MC 28 Rte de Hammamet El Mrezka El Mrezka, 8000",,https://www.google.com/maps/place/TotalEnergies+EL+MREZKA/data=!4m7!3m6!1s0x13029ef9420863c7:0xea714b7d6a3440e4!8m2!3d36.425737!4d10.6693444!16s%2Fg%2F11xk4gxzc!19sChIJx2MIQvmeAhMR5EA0an1Lceo?authuser=0&hl=fr&rclk=1
ChIJjTY-rAeiAhMR8EWs-F08_Tk,TotalEnergies - NABEUL,,False,30,https://services.totalenergies.tn/,TotalEnergies - NABEUL (proprietaire),https://www.google.com/maps/contrib/108125090607641723985,https://lh5.googleusercontent.com/p/AF1QipPdfkQFmTXuF-BBto87_TGCuf41LUKDXcKEnycU=w408-h305-k-no,Station-service,Station-service,4.3,Ouvert 24h/24,,,"TotalEnergies - NABEUL, Rte Periph. Nabeul - Hammamet, Nabeul 8000",,https://www.google.com/maps/place/TotalEnergies+-+NABEUL/data=!4m7!3m6!1s0x1302a207ac3e368d:0x39fd3c5df8ac45f0!8m2!3d36.4733697!4d10.7187745!16s%2Fg%2F11ddy0fv0d!19sChIJjTY-rAeiAhMR8EWs-F08_Tk?authuser=0&hl=fr&rclk=1
ChIJeWX-fvyeAhMRwHnSLMHvTqU,Agil,,False,27,,Agil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO7vUkZaB7UOF7nnsHp2cM9FZAjxobs0fPcjJkf=w426-h240-k-no,Station-service,Station-service,3.9,,,,"CMGF+R52 Agil, RR28, Mrezga",lavage,https://www.google.com/maps/place/Agil/data=!4m7!3m6!1s0x13029efc7efe6579:0xa54eefc12cd279c0!8m2!3d36.4269748!4d10.6730475!16s%2Fg%2F12qg8dxqx!19sChIJeWX-fvyeAhMRwHnSLMHvTqU?authuser=0&hl=fr&rclk=1
ChIJFcufK7-YAhMRpQccV-bvaUQ,Station Louage Nabeul,,False,26,,Station Louage Nabeul (proprietaire),,,Service de transport,Service de transport,3.8,,,,"FP2H+GXC Station Louage Nabeul, Av. Habib Thameur, Nabeul",,https://www.google.com/maps/place/Station+Louage+Nabeul/data=!4m7!3m6!1s0x130298bf2b9fcb15:0x4469efe6571c07a5!8m2!3d36.4513108!4d10.7298939!16s%2Fg%2F11g6_6q6d8!19sChIJFcufK7-YAhMRpQccV-bvaUQ?authuser=0&hl=fr&rclk=1
ChIJ2ejHrJWYAhMRWRFPi5pA6BA,Nabeul Voyageurs,,False,22,,Nabeul Voyageurs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCd8cl6HBqhsN_gXTvAcOFfXInsYFjr_TlpjhL=w408-h271-k-no,Gare,Gare,4,,,,"Nabeul Voyageurs, Nabeul",,https://www.google.com/maps/place/Nabeul+Voyageurs/data=!4m7!3m6!1s0x13029895acc7e8d9:0x10e8409a8b4f1159!8m2!3d36.450946!4d10.7353029!16s%2Fg%2F1tnkhzk0!19sChIJ2ejHrJWYAhMRWRFPi5pA6BA?authuser=0&hl=fr&rclk=1
ChIJqdqHTnyYAhMRw_0hH_qbdHw,Shell Dar Chaabane,,False,18,,Shell Dar Chaabane (proprietaire),https://www.google.com/maps/contrib/100731857259212855993,https://lh5.googleusercontent.com/p/AF1QipPa7oQlo-ZggJ2XAJPy4I_8dyRZd0GKEHMdAlIc=w408-h884-k-no,Station-service,Station-service,4.1,Ouvert 24h/24,,,"Shell Dar Chaabane, Bd de l'Environnement, Nabeul",,https://www.google.com/maps/place/Shell+Dar+Chaabane/data=!4m7!3m6!1s0x1302987c4e87daa9:0x7c749bfa1f21fdc3!8m2!3d36.4599636!4d10.7580876!16s%2Fg%2F11c55k5c01!19sChIJqdqHTnyYAhMRw_0hH_qbdHw?authuser=0&hl=fr&rclk=1
ChIJn8EaU76YAhMR6YehVEnlPQI,Bus Station,,False,18,,Bus Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPYkb9sAYDtFydfC9pNjnCWfUTFo5NWZ-O--1L_=w408-h306-k-no,Gare routiere,Gare routiere,4.1,,,,"Bus Station, Nabeul",,https://www.google.com/maps/place/Bus+Station/data=!4m7!3m6!1s0x130298be531ac19f:0x23de54954a187e9!8m2!3d36.4515643!4d10.7296467!16s%2Fg%2F1tc_ypqj!19sChIJn8EaU76YAhMR6YehVEnlPQI?authuser=0&hl=fr&rclk=1
ChIJv2TyFL2YAhMRCSTMwTuq63A,Kiosque Agil Nabeul,,False,18,,Kiosque Agil Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNSWZLnltLgZBQkswH6lEPwXZpDSrwo97OujTkh=w507-h240-k-no,Station-service,Station-service,4,Ouvert 24h/24,,50 107 955,"FP4J+X8F Kiosque Agil Nabeul, C27, Nabeul",,https://www.google.com/maps/place/Kiosque+Agil+Nabeul/data=!4m7!3m6!1s0x130298bd14f264bf:0x70ebaa3bc1cc2409!8m2!3d36.4574472!4d10.7307887!16s%2Fg%2F1thjq2h_!19sChIJv2TyFL2YAhMRCSTMwTuq63A?authuser=0&hl=fr&rclk=1
ChIJJ8L00OOeAhMRfeDnZw0V0xE,Mrezka,,False,13,,Mrezka (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNv8IrDddnB3mtButVtnDA_38vw-5a0UXWm5pV8=w408-h544-k-no,Gare,Gare,3.8,,,,"Mrezka, Route Touristique, Nabeul",,https://www.google.com/maps/place/Mrezka/data=!4m7!3m6!1s0x13029ee3d0f4c227:0x11d3150d67e7e07d!8m2!3d36.428165!4d10.6810981!16s%2Fg%2F1thknxtc!19sChIJJ8L00OOeAhMRfeDnZw0V0xE?authuser=0&hl=fr&rclk=1
