place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJ_RgQ2KNb_RIRXZ-Z2gjBFLg,Shell,,False,157,https://find.shell.com/tn/fuel/TN_10044818-pk-28,Shell (proprietaire),https://www.google.com/maps/contrib/100720574353965219446,https://lh5.googleusercontent.com/p/AF1QipN99iy3-xt07eItZUtqJtBO69IUU12Jqtb2nXo=w408-h544-k-no,Station-service,"Station-service, Station essence de carburants alternatifs, Distributeur de billets, Superette, Borne de recharge de vehicules electriques, Pizzas a emporter, Restaurant, Sandwicherie",3.8,Ouvert 24h/24,,71 249 149,"Shell, PK 28, A1, Grombalia 8030","toilettes, snack, cafe",https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd5ba3d81018fd:0xb814c108da999f5d!8m2!3d36.5800816!4d10.4949883!16s%2Fg%2F11j38pkvcx!19sChIJ_RgQ2KNb_RIRXZ-Z2gjBFLg?authuser=0&hl=fr&rclk=1
ChIJGQGiCRQ0_RIRnfDrcbeAkDQ,"Station Louage Moncef Bey, Tunis",,False,71,,"Station Louage Moncef Bey, Tunis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipP8zCOzis99rbCXBMI02K2L49Dj7GqBW6Sin3-q=w408-h306-k-no,Gare routiere,Gare routiere,3.2,,,,"Station Louage Moncef Bey, Tunis, Av. Hammouda Pacha, Tunis","prix, hygiene, voyage","https://www.google.com/maps/place/Station+Louage+Moncef+Bey,+Tunis/data=!4m7!3m6!1s0x12fd341409a20119:0x349080b771ebf09d!8m2!3d36.7911746!4d10.1873102!16s%2Fg%2F1q62jyn4j!19sChIJGQGiCRQ0_RIRnfDrcbeAkDQ?authuser=0&hl=fr&rclk=1"
ChIJnTcOhoA1_RIR9wsPhGCvoFM,Gare Barcelone mHTW@ brshlwn@,,False,64,,Gare Barcelone mHTW@ brshlwn@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMgnvRxmON0P8wAb0bjeyJdk5cV08H7oXw56kEE=w408-h544-k-no,Guichet de gare,Guichet de gare,3.3,,,,"Q5WJ+466 Gare Barcelone mHTW@ brshlwn@, Gare de Tunis, Rue Ali Darghouth, Tunis",,https://www.google.com/maps/place/Gare+Barcelone+%D9%85%D8%AD%D8%B7%D9%91%D8%A9+%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd3580860e379d:0x53a0af60840f0bf7!8m2!3d36.7952755!4d10.1805121!16s%2Fg%2F11rd29phg_!19sChIJnTcOhoA1_RIR9wsPhGCvoFM?authuser=0&hl=fr&rclk=1
ChIJtx5DsQ80_RIRTpdxQy4sDOc,Gare Routiere Sud,,False,51,,Gare Routiere Sud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMUzyQ0ECiP3lQiq9JJbJJ73zTYAoZYSFptbJFB=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Gare Routiere Sud, P1, Tunis",,https://www.google.com/maps/place/Gare+Routiere+Sud/data=!4m7!3m6!1s0x12fd340fb1431eb7:0xe70c2c2e4371974e!8m2!3d36.7875077!4d10.1796055!16s%2Fg%2F1trzscbd!19sChIJtx5DsQ80_RIRTpdxQy4sDOc?authuser=0&hl=fr&rclk=1
ChIJLTQWgt-04hIRcXPECs51JTw,Station-service Shell,,False,41,https://find.shell.com/tn/fuel/TN_10044673-gp-9,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/109129315253498262958,https://lh5.googleusercontent.com/p/AF1QipOF5APKBSqwJv9-SgFtjLlRJfFgkvPSzFybyl7r=w493-h240-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Sandwicherie",3.6,Ouvert 24h/24,,71 249 149,"Station-service Shell, P9 Gp 9 Km 10 Rte De, Marsa 2078",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12e2b4df8216342d:0x3c2575ce0ac47371!8m2!3d36.8677628!4d10.3053441!16s%2Fg%2F12qhbxv2c!19sChIJLTQWgt-04hIRcXPECs51JTw?authuser=0&hl=fr&rclk=1
ChIJOSsoZ3c0_RIRj30JiDO359U,Station Bus Ali Balhouene,,False,17,,Station Bus Ali Balhouene (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFCA6Eare0U9s7ehifb4MsRxBDBPL0NgZi9tOs=w408-h306-k-no,Gare routiere,Gare routiere,2.8,,,,"Station Bus Ali Balhouene, Rue Bab El Khadra, Tunis",,https://www.google.com/maps/place/Station+Bus+Ali+Balhouene/data=!4m7!3m6!1s0x12fd347767282b39:0xd5e7b73388097d8f!8m2!3d36.8066135!4d10.1743527!16s%2Fg%2F1hc1l8dlf!19sChIJOSsoZ3c0_RIRj30JiDO359U?authuser=0&hl=fr&rclk=1
ChIJSZXbjFE2_RIRiYDLcvQ_0eI,Shell,,False,15,https://find.shell.com/tn/fuel/TN_10044688-sortie-sud,Shell (proprietaire),https://www.google.com/maps/contrib/114535968978130607015,https://lh5.googleusercontent.com/p/AF1QipN6mifkW4Zj4uwF9rSMQLyWImmISTsDGehSDQ5W=w408-h543-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Restauration rapide, Pizzas a emporter, Restaurant, Sandwicherie",3.9,Ouvert 24h/24,,71 249 149,"Shell, Highway A1 Bir El Kassaa Sortie Sud, 2013",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd36518cdb9549:0xe2d13ff472cb8089!8m2!3d36.7335136!4d10.2246205!16s%2Fg%2F11c2klt8zk!19sChIJSZXbjFE2_RIRiYDLcvQ_0eI?authuser=0&hl=fr&rclk=1
ChIJk5x1aN8z_RIReGJjWAe6Q40,Station Meftah Saadallah,,False,9,https://www.transtu.tn/ar/,Station Meftah Saadallah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO-dk6stO7mnAJROv34vluMAMU4v25BgIckjHzE=w408-h306-k-no,Service de transport,Service de transport,2.3,,,,"R574+6FG Station Meftah Saadallah, Rue Meftah Saadallah, Tunis",,https://www.google.com/maps/place/Station+Meftah+Saadallah/data=!4m7!3m6!1s0x12fd33df68759c93:0x8d43ba0758636278!8m2!3d36.8130622!4d10.1562147!16s%2Fg%2F11ffmn0xsw!19sChIJk5x1aN8z_RIReGJjWAe6Q40?authuser=0&hl=fr&rclk=1
ChIJbRnuLCw2_RIRGH2GalOMSTI,Shell,,False,9,https://find.shell.com/tn/fuel/TN_10090437-ezzahra-ii,Shell (proprietaire),https://www.google.com/maps/contrib/109305157895514922137,https://lh5.googleusercontent.com/p/AF1QipOD4ncrrWc2Mgk6r74pV44tjmUXfG1hOd-mJ55E=w408-h306-k-no,Station-service,"Station-service, Superette, Borne de recharge de vehicules electriques",3.9,Ouvert 24h/24,,71 249 149,"Shell, C35 A 22 Route Nationale Mc 39, Ben A Arous, 2034",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd362c2cee196d:0x32498c536a867d18!8m2!3d36.7305652!4d10.251152!16s%2Fg%2F1pp2vb8hz!19sChIJbRnuLCw2_RIRGH2GalOMSTI?authuser=0&hl=fr&rclk=1
ChIJnf0Al2w1_RIRTXPuYExkM7o,Station Bab El Khadra,,False,9,https://www.transtu.tn/ar/,Station Bab El Khadra (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPYgNhk2c-d5i65kcjZDXdtwlqsH3X7KzgccVJE=w426-h240-k-no,Service de transport,Service de transport,2.4,,,,"Station Bab El Khadra, 11 Avenue Bechir Sfar, Tunis",,https://www.google.com/maps/place/Station+Bab+El+Khadra/data=!4m7!3m6!1s0x12fd356c9700fd9d:0xba33644c60ee734d!8m2!3d36.8103289!4d10.1724416!16s%2Fg%2F11sfk68hqz!19sChIJnf0Al2w1_RIRTXPuYExkM7o?authuser=0&hl=fr&rclk=1
ChIJXextZPIy_RIRUuorrsfgUv4,Terminus de 3D,,False,8,,Terminus de 3D (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP_GYf3EjdHmkkczZ81YFVs-pYqHY2Pl4lc4rrB=w408-h544-k-no,Arret de bus,Arret de bus,3.9,,,,"Terminus de 3D, Tunis 2041",,https://www.google.com/maps/place/Terminus+de+3D/data=!4m7!3m6!1s0x12fd32f2646dec5d:0xfe52e0c7ae2bea52!8m2!3d36.8333648!4d10.1063168!16s%2Fg%2F1tf5yh_r!19sChIJXextZPIy_RIRUuorrsfgUv4?authuser=0&hl=fr&rclk=1
ChIJQ49IpE2k-xIRT6L0si9U9A4,Station de Transport Louage,,False,7,,Station de Transport Louage (proprietaire),,,Service de transport,Service de transport,4.1,,,,"5PG4+4WJ Station de Transport Louage, Av. Mongi Slim, Le Kef",,https://www.google.com/maps/place/Station+de+Transport+Louage/data=!4m7!3m6!1s0x12fba44da4488f43:0xef4542fb2f4a24f!8m2!3d36.1753351!4d8.7072693!16s%2Fg%2F11gb40s9f8!19sChIJQ49IpE2k-xIRT6L0si9U9A4?authuser=0&hl=fr&rclk=1
ChIJV30CYS3o4hIRNU8aZ41TCvU,Station Taxi Matline,,False,6,,Station Taxi Matline (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNKzxlawQMw0w51E2GveZIAqrTBjMQT-UvK503Z=w408-h544-k-no,Station de taxis,Station de taxis,3.5,,,,"647F+V7R Station Taxi Matline, Ras Jebel 7070",,https://www.google.com/maps/place/Station+Taxi+Matline/data=!4m7!3m6!1s0x12e2e82d61027d57:0xf50a538d671a4f35!8m2!3d37.2147433!4d10.123145!16s%2Fg%2F1tf04wp9!19sChIJV30CYS3o4hIRNU8aZ41TCvU?authuser=0&hl=fr&rclk=1
ChIJmRwMOWsy_RIRnlOFxedQ-vM,Station Transport en Commun La Manouba,,False,5,,Station Transport en Commun La Manouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNhohJYkg-EVbj-xv4oIYRQYb8NTMGdMVWc0TwU=w408-h726-k-no,Gare routiere,Gare routiere,4,,,,"Station Transport en Commun La Manouba, Manouba 2010",,https://www.google.com/maps/place/Station+Transport+en+Commun+La+Manouba/data=!4m7!3m6!1s0x12fd326b390c1c99:0xf3fa50e7c585539e!8m2!3d36.8037112!4d10.0994464!16s%2Fg%2F1tf4h3kw!19sChIJmRwMOWsy_RIRnlOFxedQ-vM?authuser=0&hl=fr&rclk=1
