place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ4-wS_SFwVRIRHCclpsQpViM,TotalEnergies - GABES,,False,33,https://services.totalenergies.tn/,TotalEnergies - GABES (proprietaire),https://www.google.com/maps/contrib/107991346568461954402,https://lh5.googleusercontent.com/p/AF1QipOstuUqv-2ds6Xy2HPvRpsAwcr0TATT8HbANfFM=w408-h306-k-no,Station-service,Station-service,4,Ouvert 24h/24,,75 350 017,"TotalEnergies - GABES, Route de Tunis, Chenini Nahal",,https://www.google.com/maps/place/TotalEnergies+-+GABES/data=!4m7!3m6!1s0x12557021fd12ece3:0x235629c4a625271c!8m2!3d33.8953499!4d10.0756326!16s%2Fg%2F11g_93l82!19sChIJ4-wS_SFwVRIRHCclpsQpViM?authuser=0&hl=fr&rclk=1
ChIJq1mmnr6bVRIRAAoaU2G6mLo,Station Service TotalEnergies EL HAMMA,,False,12,https://services.totalenergies.tn/,Station Service TotalEnergies EL HAMMA (proprietaire),https://www.google.com/maps/contrib/108087641348003361303,https://lh5.googleusercontent.com/p/AF1QipMVQONxFs1h3a_CZInCTI4DxKnlbFQd4N8AXfhm=w408-h544-k-no,Station-service,Station-service,3.5,Ouvert 24h/24,,75 331 905,"VQHP+QJ7 Station Service TotalEnergies EL HAMMA, P16 El Guitna - route Kebilli, P16, El Hamma 6020",,https://www.google.com/maps/place/Station+Service+TotalEnergies+EL+HAMMA/data=!4m7!3m6!1s0x12559bbe9ea659ab:0xba98ba61531a0a00!8m2!3d33.8798154!4d9.7862736!16s%2Fg%2F11c2pl4sgz!19sChIJq1mmnr6bVRIRAAoaU2G6mLo?authuser=0&hl=fr&rclk=1
ChIJF92SiAudVRIRMBhIzwF8Two,STATION THERMALE CHAIBI. lmHT@ lstshfy'y@ lshyby,,False,11,,STATION THERMALE CHAIBI. lmHT@ lstshfy'y@ lshyby (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPGHCqFYyK-nELb9SoSWafJxZh0767Az5W3rCmz=w426-h240-k-no,Complexe hotelier,"Complexe hotelier, Institut de massages",3.6,,,98 549 738,"VVVG+R6R STATION THERMALE CHAIBI. lmHT@ lstshfy'y@ lshyby, CHENCHOU, El Hamma",,https://www.google.com/maps/place/STATION+THERMALE+CHAIBI.+%D8%A7%D9%84%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D8%A5%D8%B3%D8%AA%D8%B4%D9%81%D8%A7%D8%A6%D9%8A%D8%A9+%D8%A7%D9%84%D8%B4%D8%A7%D9%8A%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12559d0b8892dd17:0xa4f7c01cf481830!8m2!3d33.8946231!4d9.8755181!16s%2Fg%2F11c5rvpj91!19sChIJF92SiAudVRIRMBhIzwF8Two?authuser=0&hl=fr&rclk=1
ChIJ-0qLMH16VRIRmyHiwBx_fFQ,Shell,,False,9,https://find.shell.com/tn/fuel/TN_10090459-ghannouch,Shell (proprietaire),https://www.google.com/maps/contrib/111762364512626680123,https://lh5.googleusercontent.com/p/AF1QipPPRbE24pqIUOBKpjRA8Terohj_x6LykCRh6bHo=w408-h544-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",2.7,Ouvert 24h/24,,71 249 149,"Shell, P1 Av Farhat Hached, Ghannouch 6021",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12557a7d308b4afb:0x547c7f1cc0e2219b!8m2!3d33.931264!4d10.0339987!16s%2Fg%2F11c1q8rx5m!19sChIJ-0qLMH16VRIRmyHiwBx_fFQ?authuser=0&hl=fr&rclk=1
ChIJx7GRP8N7VRIR0CyNqkOCXaM,Gare Aouinet,,False,7,,Gare Aouinet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOLupTKIF_YqariDIzZVVSoaRyvgnnBHBiFLMyw=w408-h306-k-no,Gare,Gare,2.1,,,,Gare Aouinet,,https://www.google.com/maps/place/Gare+Aouinet/data=!4m7!3m6!1s0x12557bc33f91b1c7:0xa35d8243aa8d2cd0!8m2!3d33.9853708!4d10.0039132!16s%2Fg%2F1vyr7vxg!19sChIJx7GRP8N7VRIR0CyNqkOCXaM?authuser=0&hl=fr&rclk=1
ChIJGyUC1CZ_VRIRSb6H1MF9378,Station Essence MBK,,False,6,,Station Essence MBK (proprietaire),,,Station essence de carburants alternatifs,Station essence de carburants alternatifs,5,Ouvert 24h/24,,28 082 460,"Station Essence MBK, P15",,https://www.google.com/maps/place/Station+Essence+MBK/data=!4m7!3m6!1s0x12557f26d402251b:0xbfdf7dc1d487be49!8m2!3d34.0250085!4d9.9247195!16s%2Fg%2F11rwqq6ff7!19sChIJGyUC1CZ_VRIRSb6H1MF9378?authuser=0&hl=fr&rclk=1
ChIJjXzqv3-bVRIRcUWyBJf639g,Agil El Hamma,,False,5,,Agil El Hamma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPHX-1Bgs6wYaL30EDtsezRMhF18txTr5QRPzkP=w408-h240-k-no-pi-0-ya169.08002-ro-0-fo100,Station-service,Station-service,5,Ouvert 24h/24,,,"VRW6+FCR Agil El Hamma, P16, El Hamma",,https://www.google.com/maps/place/Agil+El+Hamma/data=!4m7!3m6!1s0x12559b7fbfea7c8d:0xd8dffa9704b24571!8m2!3d33.8962386!4d9.8110136!16s%2Fg%2F11b6_nfw9v!19sChIJjXzqv3-bVRIRcUWyBJf639g?authuser=0&hl=fr&rclk=1
ChIJFbfwlCBwVRIRhrfKK0-lcbc,Staroil Gabes,,False,4,,Staroil Gabes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPwnW2METSKqEZyKUgVQMrqAHxOXS4sAUhAlP1_=w408-h544-k-no,Station-service,Station-service,5,,,,"V3RH+FQ9 Staroil Gabes, Chenini Nahal",,https://www.google.com/maps/place/Staroil+Gabes/data=!4m7!3m6!1s0x1255702094f0b715:0xb771a54f2bcab786!8m2!3d33.8911632!4d10.0794813!16s%2Fg%2F11f53yrjp0!19sChIJFbfwlCBwVRIRhrfKK0-lcbc?authuser=0&hl=fr&rclk=1
ChIJo9_mJgB5VRIRxbnTKwDSm7o,station service STAROIL OUEDHREF,,False,4,,station service STAROIL OUEDHREF (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwfb4yXXtCBhRtC4PQXBuZtsMLMoflDUt1bdGh=w408-h544-k-no,Station-service,Station-service,5,,,,"XXGH+WR7 station service STAROIL OUEDHREF, P15, Oudhref",,https://www.google.com/maps/place/station+service+STAROIL+OUEDHREF/data=!4m7!3m6!1s0x1255790026e6dfa3:0xba9bd2002bd3b9c5!8m2!3d33.9772769!4d9.9795537!16s%2Fg%2F11vjz2yt01!19sChIJo9_mJgB5VRIRxbnTKwDSm7o?authuser=0&hl=fr&rclk=1
ChIJuVCMRJubVRIRGiTkZi89y8s,station des louages,,False,3,,station des louages (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrkThMmMO2cGMkrI_HJptIJYRcCn03Wsv9LuUF=w408-h544-k-no,Gare routiere,Gare routiere,4.3,,,,"station des louages, P16, El Hamma",,https://www.google.com/maps/place/station+des+louages/data=!4m7!3m6!1s0x12559b9b448c50b9:0xcbcb3d2f66e4241a!8m2!3d33.8893324!4d9.8003762!16s%2Fg%2F12xq2074j!19sChIJuVCMRJubVRIRGiTkZi89y8s?authuser=0&hl=fr&rclk=1
