place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJjTtuRMZvVRIRwt7h8ct04nQ,Gare de Gabes,,False,81,http://www.sncft.com.tn/.,Gare de Gabes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM-BJzGAne75wmT4kmg12Q28zdPeN9W254O6zuX=w408-h306-k-no,Guichet de gare,Guichet de gare,3.2,Ouvert 24h/24,,75 274 248,"V3MX+MPW Gare de Gabes, Avenue Mongi Slim, Gabes",,https://www.google.com/maps/place/Gare+de+Gabes/data=!4m7!3m6!1s0x12556fc6446e3b8d:0x74e274cbf1e1dec2!8m2!3d33.8842474!4d10.0993189!16s%2Fg%2F11cr_hrmz4!19sChIJjTtuRMZvVRIRwt7h8ct04nQ?authuser=0&hl=fr&rclk=1
ChIJx9vYStdvVRIRtaYXiU60VWk,Station Bus Gabes,,False,28,,Station Bus Gabes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMqLUMYz6-sMfD4SycAu2nQdp0xLzrLYZg-2IT0=w426-h240-k-no,Societe de transport routier,Societe de transport routier,2.8,,,,"V3JP+WG2 Station Bus Gabes, Av.de la Republique - shr` ljumhwryW@, Gabes",,https://www.google.com/maps/place/Station+Bus+Gabes/data=!4m7!3m6!1s0x12556fd74ad8dbc7:0x6955b44e8917a6b5!8m2!3d33.8822654!4d10.0862649!16s%2Fg%2F11dx9dhz94!19sChIJx9vYStdvVRIRtaYXiU60VWk?authuser=0&hl=fr&rclk=1
ChIJgxHCccZvVRIR7nq9BwvQPao,Gabes,,False,25,,Gabes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPdVbiFMWFZGnjXPIQcAa0x3L2QwJkvWsX4lddp=w408-h259-k-no,Gare,Gare,3.1,,,,"Gabes, Avenue Mongi Slim, Gabes",,https://www.google.com/maps/place/Gabes/data=!4m7!3m6!1s0x12556fc671c21183:0xaa3dd00b07bd7aee!8m2!3d33.8843785!4d10.0993771!16s%2Fg%2F1tz7qyyh!19sChIJgxHCccZvVRIR7nq9BwvQPao?authuser=0&hl=fr&rclk=1
ChIJv2ILstBvVRIRlGd-oEPDBBM,station de lowage et bus GABES,,False,24,,station de lowage et bus GABES (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP3ytjA6DL926m6IuW7W5QDtkhW4pd5RwadC9Me=w426-h240-k-no,Gare routiere,Gare routiere,2.8,,,,"station de lowage et bus GABES, Av.de la Republique - shr` ljumhwryW@, Gabes",,https://www.google.com/maps/place/station+de+lowage+et+bus+GABES/data=!4m7!3m6!1s0x12556fd0b20b62bf:0x1304c343a07e6794!8m2!3d33.8828662!4d10.0864143!16s%2Fg%2F1tvtw04m!19sChIJv2ILstBvVRIRlGd-oEPDBBM?authuser=0&hl=fr&rclk=1
ChIJvaHQ-NlvVRIRsyoxzn8o9Yk,AGIL,,False,19,,AGIL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNu1nvp18RfBXfSL_d4GAgeb2OENL3iwcxTuPPc=w408-h544-k-no,Station-service,Station-service,4,,,,"V3MP+HCG AGIL, Gabes",,https://www.google.com/maps/place/AGIL/data=!4m7!3m6!1s0x12556fd9f8d0a1bd:0x89f5287fce312ab3!8m2!3d33.8839304!4d10.0860645!16s%2Fg%2F1hm43dcp2!19sChIJvaHQ-NlvVRIRsyoxzn8o9Yk?authuser=0&hl=fr&rclk=1
ChIJSfkum8RvVRIRM7vFCWYuGaM,Station service Agil GABES VILLE,,False,10,,Station service Agil GABES VILLE (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XcsqEVTw_OfmMhCDzyZaYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=328.1869&pitch=0&thumbfov=100,Station-service,Station-service,4.1,,,,"V3QV+5H5 Station service Agil GABES VILLE, Rue El Hbib Chagra, Gabes 6000",,https://www.google.com/maps/place/Station+service+Agil+GABES+VILLE/data=!4m7!3m6!1s0x12556fc49b2ef949:0xa3192e6609c5bb33!8m2!3d33.8878815!4d10.0939921!16s%2Fg%2F11b74gzmx4!19sChIJSfkum8RvVRIRM7vFCWYuGaM?authuser=0&hl=fr&rclk=1
ChIJpRlowdpvVRIRaz3C1CK3LXs,Station de louage Matmata,,False,7,,Station de louage Matmata (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN_X5zUESHAamNsXoQE6vT_3pyyes4T6GQEFFGL=w534-h240-k-no,Station-service,Station-service,3,06:00-17:00,,,"V3MR+W87 Station de louage Matmata, Gabes",,https://www.google.com/maps/place/Station+de+louage+Matmata/data=!4m7!3m6!1s0x12556fdac16819a5:0x7b2db722d4c23d6b!8m2!3d33.8847882!4d10.0907851!16s%2Fg%2F11dzgpz4jh!19sChIJpRlowdpvVRIRaz3C1CK3LXs?authuser=0&hl=fr&rclk=1
ChIJqQZEXSFvVRIRZfAXMERJQ6c,Shell,,False,6,https://find.shell.com/tn/fuel/TN_10044755-gabes-ville,Shell (proprietaire),https://www.google.com/maps/contrib/111988552791818369681,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EcclFPjMoaKjMXZ6UQK2nQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.04955&pitch=0&thumbfov=100,Station-service,"Station-service, Station de lavage automobile, Superette",3.2,Ouvert 24h/24,,71 249 149,"Shell, Gabes Ville, Jardin Public avenue Farhat Hached, Av. Farhat Hachad - shr` frHt Hshd, Gabes 6000",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12556f215d4406a9:0xa74349443017f065!8m2!3d33.8866495!4d10.1057518!16s%2Fg%2F11hf8st5x2!19sChIJqQZEXSFvVRIRZfAXMERJQ6c?authuser=0&hl=fr&rclk=1
ChIJhbjUHc5vVRIR5fqgkfa5qBo,Station Bus 1 et 6,,False,4,,Station Bus 1 et 6 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN4698cSo7sRdeRsISr4xfEezKrhPp7sG4LD5Jz=w408-h306-k-no,Gare routiere,Gare routiere,2.8,,,,"Station Bus 1 et 6, Gabes",,https://www.google.com/maps/place/Station+Bus+1+et+6/data=!4m7!3m6!1s0x12556fce1dd4b885:0x1aa8b9f691a0fae5!8m2!3d33.8784993!4d10.0920957!16s%2Fg%2F1q5gm4bf1!19sChIJhbjUHc5vVRIR5fqgkfa5qBo?authuser=0&hl=fr&rclk=1
ChIJFbfwlCBwVRIRhrfKK0-lcbc,Staroil Gabes,,False,4,,Staroil Gabes (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPwnW2METSKqEZyKUgVQMrqAHxOXS4sAUhAlP1_=w408-h544-k-no,Station-service,Station-service,5,,,,"V3RH+FQ9 Staroil Gabes, Chenini Nahal",,https://www.google.com/maps/place/Staroil+Gabes/data=!4m7!3m6!1s0x1255702094f0b715:0xb771a54f2bcab786!8m2!3d33.8911632!4d10.0794813!16s%2Fg%2F11f53yrjp0!19sChIJFbfwlCBwVRIRhrfKK0-lcbc?authuser=0&hl=fr&rclk=1
