place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJcS3OnryX-BIREq1E1A_iGp0,Gare ferroviaire Gafsa El Ksar mHT@ lqTr qfS@ lqSr,,False,26,,Gare ferroviaire Gafsa El Ksar mHT@ lqTr qfS@ lqSr (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNobhVhGY_tKd3AWHupBkPB2H-OOaDA11m6qGUf=w408-h544-k-no,Gare,Gare,3.7,,,,"Gare ferroviaire Gafsa El Ksar mHT@ lqTr qfS@ lqSr, P15, Gafsa Gare",,https://www.google.com/maps/place/Gare+ferroviaire+Gafsa+El+Ksar+%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%82%D8%B7%D8%A7%D8%B1+%D9%82%D9%81%D8%B5%D8%A9+%D8%A7%D9%84%D9%82%D8%B5%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x12f897bc9ece2d71:0x9d1ae20fd444ad12!8m2!3d34.3949346!4d8.8037717!16s%2Fg%2F1wb443nh!19sChIJcS3OnryX-BIREq1E1A_iGp0?authuser=0&hl=fr&rclk=1
ChIJP2E8T9yW-BIR6c7kt7t7QGo,Station service TOTAL,,False,16,,Station service TOTAL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPiL7nuw47yD4HoyaRDG_HdIj4FuP2HJmnspw07=w408-h544-k-no,Station-service,Station-service,3.8,,,,"CQF8+2PM Station service TOTAL, Gafsa 2100",,https://www.google.com/maps/place/Station+service+TOTAL/data=!4m7!3m6!1s0x12f896dc4f3c613f:0x6a407bbbb7e4cee9!8m2!3d34.422577!4d8.76679!16s%2Fg%2F1hhgz0nvj!19sChIJP2E8T9yW-BIR6c7kt7t7QGo?authuser=0&hl=fr&rclk=1
ChIJDwN1uduW-BIRqwf43FJ3Py0,Station service AGIL GAFSA ROUTE DE TOZEUR,,False,15,,Station service AGIL GAFSA ROUTE DE TOZEUR (proprietaire),,,Station-service,Station-service,4.1,,,76 229 243,"CQF7+34J Station service AGIL GAFSA ROUTE DE TOZEUR, P3, Gafsa",,https://www.google.com/maps/place/Station+service+AGIL+GAFSA+ROUTE+DE+TOZEUR/data=!4m7!3m6!1s0x12f896dbb975030f:0x2d3f7752dcf807ab!8m2!3d34.4227042!4d8.7627554!16s%2Fg%2F11b6_bc6kr!19sChIJDwN1uduW-BIRqwf43FJ3Py0?authuser=0&hl=fr&rclk=1
ChIJrSG2YVWW-BIR_BZecsEKMRc,Station Agil,,False,10,,Station Agil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrNW4oIdmlP6cdvWQ60YE4ztBZq6Cx3ipUqbpn=w408-h306-k-no,Station-service,Station-service,4.3,,,,"CQ8R+2WC Station Agil, P15, Gafsa",,https://www.google.com/maps/place/Station+Agil/data=!4m7!3m6!1s0x12f8965561b621ad:0x17310ac1725e16fc!8m2!3d34.4150673!4d8.7922697!16s%2Fg%2F1hhvskr1p!19sChIJrSG2YVWW-BIR_BZecsEKMRc?authuser=0&hl=fr&rclk=1
ChIJaa0xAf-W-BIRc4PwhyxAoes,station de bus Al Kawafil,,False,6,,station de bus Al Kawafil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfo7GFEGkXxyqLbliKta9CVjVPJVshUcN8ygFx=w408-h306-k-no,Arret de transports en commun,Arret de transports en commun,4,,,,"station de bus Al Kawafil, Gafsa 2100",,https://www.google.com/maps/place/station+de+bus+Al+Kawafil/data=!4m7!3m6!1s0x12f896ff0131ad69:0xeba1402c87f08373!8m2!3d34.4164574!4d8.7896869!16s%2Fg%2F1tlk3qqc!19sChIJaa0xAf-W-BIRc4PwhyxAoes?authuser=0&hl=fr&rclk=1
ChIJSy-jCP-W-BIRVbPywePxwnU,station de transport terrestre Gafsa,,False,6,,station de transport terrestre Gafsa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOQl0vefvGc0rh-8M6kkgbxZ5O30r_6m_Mu6g7W=w408-h544-k-no,Service de transport,Service de transport,2.7,,,,"CQ8R+J3V station de transport terrestre Gafsa, Ctre, Gafsa",,https://www.google.com/maps/place/station+de+transport+terrestre+Gafsa/data=!4m7!3m6!1s0x12f896ff08a32f4b:0x75c2f1e3c1f2b355!8m2!3d34.4166075!4d8.790158!16s%2Fg%2F11g6nb15dd!19sChIJSy-jCP-W-BIRVbPywePxwnU?authuser=0&hl=fr&rclk=1
ChIJm-a8AP-W-BIRwOijmdBgc_U,Station de bus SRTG,,False,5,,Station de bus SRTG (proprietaire),,,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.8,,,53 007 814,"CQ8Q+HV8 Station de bus SRTG, Gafsa",,https://www.google.com/maps/place/Station+de+bus+SRTG/data=!4m7!3m6!1s0x12f896ff00bce69b:0xf57360d099a3e8c0!8m2!3d34.4164201!4d8.7896995!16s%2Fg%2F11cr_hb9m1!19sChIJm-a8AP-W-BIRwOijmdBgc_U?authuser=0&hl=fr&rclk=1
ChIJLyQ0PvmW-BIRRsddlDckBt4,Station de Taxis Gafsa II,,False,3,,Station de Taxis Gafsa II (proprietaire),,,Station de taxis,Station de taxis,3.3,,,,"CQCQ+679 Station de Taxis Gafsa II, Ctre, Gafsa",,https://www.google.com/maps/place/Station+de+Taxis+Gafsa+II/data=!4m7!3m6!1s0x12f896f93e34242f:0xde062437945dc746!8m2!3d34.4205312!4d8.7882434!16s%2Fg%2F11crzjjsxc!19sChIJLyQ0PvmW-BIRRsddlDckBt4?authuser=0&hl=fr&rclk=1
ChIJHTzkNVWW-BIRhNsPXjI4Twc,Station Shell,,False,3,https://find.shell.com/tn/fuel/TN_10044770-gafsa-iii,Station Shell (proprietaire),https://www.google.com/maps/contrib/106144598345810097992,,Station-service,"Station-service, Station de lavage automobile, Superette",4.7,Ouvert 24h/24,,71 249 149,"Station Shell, P15 Iii Rte Gp11 Gafsa, 2100",,https://www.google.com/maps/place/Station+Shell/data=!4m7!3m6!1s0x12f8965535e43c1d:0x74f38325e0fdb84!8m2!3d34.4136429!4d8.7935861!16s%2Fg%2F11c2q657bs!19sChIJHTzkNVWW-BIRhNsPXjI4Twc?authuser=0&hl=fr&rclk=1
ChIJkXMbY1WW-BIRmznEyxMbUwY,Station de Bus,,False,2,,Station de Bus (proprietaire),,,Arret de transports en commun,Arret de transports en commun,4,,,,"Station de Bus, Gafsa",,https://www.google.com/maps/place/Station+de+Bus/data=!4m7!3m6!1s0x12f89655631b7391:0x6531b13cbc4399b!8m2!3d34.415382!4d8.7923773!16s%2Fg%2F1v2g9zrf!19sChIJkXMbY1WW-BIRmznEyxMbUwY?authuser=0&hl=fr&rclk=1
ChIJm7fD4S2X-BIR1rb4GLD9PfE,Station de Taxis Gafsa 3,,False,1,,Station de Taxis Gafsa 3 (proprietaire),,,Station-service,Station-service,4,,,,"CQCQ+222 Station de Taxis Gafsa 3, Ctre, Gafsa",,https://www.google.com/maps/place/Station+de+Taxis+Gafsa+3/data=!4m7!3m6!1s0x12f8972de1c3b79b:0xf13dfdb018f8b6d6!8m2!3d34.420009!4d8.7875269!16s%2Fg%2F11q1ghxk81!19sChIJm7fD4S2X-BIR1rb4GLD9PfE?authuser=0&hl=fr&rclk=1
