place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJ0ed9RQ00_RIRV5gf6J31_hs,Gare de Tunis,,False,216,http://sncft.com.tn/fr/serv_en_ligne/horaire_live/,Gare de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOlt2AgH3W3wCAndKzcufFLzzS_ushHhEh13uEm=w408-h306-k-no,Gare,Gare,3,,,,"Gare de Tunis, Rue Ali Darghouth, Tunis","voyage, service, sud, confort, catastrophe, securite, pays, nombre, systeme, distance",https://www.google.com/maps/place/Gare+de+Tunis/data=!4m7!3m6!1s0x12fd340d457de7d1:0x1bfef59de81f9857!8m2!3d36.7949275!4d10.180481!16s%2Fm%2F0134cycg!19sChIJ0ed9RQ00_RIRV5gf6J31_hs?authuser=0&hl=fr&rclk=1
ChIJX-JDfkF1AhMRseeVfnL-2SU,mHT@ llwjt,,False,190,,mHT@ llwjt (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNY2pHjdA3qsnmv352LhjjtA2w5xbRxA0bLBrFN=w408-h544-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.4,,,,"mHT@ llwjt, 1 Rue El Masjed El Aksa, Sousse 4000","prix, ticket, minibus, van, train, systeme, driver",https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%84%D9%88%D8%A7%D8%AC%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x130275417e43e25f:0x25d9fe727e95e7b1!8m2!3d35.8093704!4d10.6366586!16s%2Fg%2F11dylq5vh_!19sChIJX-JDfkF1AhMRseeVfnL-2SU?authuser=0&hl=fr&rclk=1
ChIJ9a3CQ-EjAhMR_Qe97U1x63w,Station Louage Mahdia,,False,86,,Station Louage Mahdia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP0J2OTqpjiysa1MuZn_pSsQyoW-x8Jjq0Sh0CV=w493-h240-k-no,Societe de transport routier,Societe de transport routier,3.1,Ouvert 24h/24,,,"F3X3+577 Station Louage Mahdia, Mahdia",,https://www.google.com/maps/place/Station+Louage+Mahdia/data=!4m7!3m6!1s0x130223e143c2adf5:0x7ceb714dedbd07fd!8m2!3d35.4979073!4d11.0531716!16s%2Fg%2F11c1nc3tcz!19sChIJ9a3CQ-EjAhMR_Qe97U1x63w?authuser=0&hl=fr&rclk=1
ChIJnTcOhoA1_RIR9wsPhGCvoFM,Gare Barcelone mHTW@ brshlwn@,,False,64,,Gare Barcelone mHTW@ brshlwn@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMgnvRxmON0P8wAb0bjeyJdk5cV08H7oXw56kEE=w408-h544-k-no,Guichet de gare,Guichet de gare,3.3,,,,"Q5WJ+466 Gare Barcelone mHTW@ brshlwn@, Gare de Tunis, Rue Ali Darghouth, Tunis",,https://www.google.com/maps/place/Gare+Barcelone+%D9%85%D8%AD%D8%B7%D9%91%D8%A9+%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd3580860e379d:0x53a0af60840f0bf7!8m2!3d36.7952755!4d10.1805121!16s%2Fg%2F11rd29phg_!19sChIJnTcOhoA1_RIR9wsPhGCvoFM?authuser=0&hl=fr&rclk=1
ChIJ8Y7geEF1AhMRx4Z7p8IVbzo,Station Louage de Sousse,,False,39,,Station Louage de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN69hrLFl_NBHvUcdUTZbbWx2O2mOrGx9_kdh0F=w408-h306-k-no,Arret de transports en commun,Arret de transports en commun,4.1,,,,"Station Louage de Sousse, 1, Sousse 4000",prix,https://www.google.com/maps/place/Station+Louage+de+Sousse/data=!4m7!3m6!1s0x1302754178e08ef1:0x3a6f15c2a77b86c7!8m2!3d35.8093997!4d10.6370762!16s%2Fg%2F1tfsv_12!19sChIJ8Y7geEF1AhMRx4Z7p8IVbzo?authuser=0&hl=fr&rclk=1
ChIJ1Zu_v9csABMR5hICLH3kCiE,Gare Routiere Louages Sfax,,False,31,,Gare Routiere Louages Sfax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6WQGs6rSDyJgUrniOiAx1Dni9fYoyVBUFp13m=w408-h306-k-no,Arret de bus,Arret de bus,2.9,,,,"Gare Routiere Louages Sfax, Sfax",,https://www.google.com/maps/place/Gare+Routi%C3%A8re+Louages+Sfax/data=!4m7!3m6!1s0x13002cd7bfbf9bd5:0x210ae47d2c0212e6!8m2!3d34.7285921!4d10.7533783!16s%2Fg%2F1vs310h8!19sChIJ1Zu_v9csABMR5hICLH3kCiE?authuser=0&hl=fr&rclk=1
ChIJXxUwrlvF_RIRXnfetvy40p0,Station louage,,False,28,,Station louage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPoCtRQInJ7W76PNcRy3akq5FnNNIOl7E4L-xk=w426-h240-k-no,Gare routiere,Gare routiere,3.9,,,,"Station louage, Kairouan",,https://www.google.com/maps/place/Station+louage/data=!4m7!3m6!1s0x12fdc55bae30155f:0x9dd2b8fcb6de775e!8m2!3d35.679328!4d10.0885133!16s%2Fg%2F1tjh1ghh!19sChIJXxUwrlvF_RIRXnfetvy40p0?authuser=0&hl=fr&rclk=1
ChIJx4uxNqul-xIRS1QGmxq-p6w,KEF,,False,27,,KEF (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNL7ipF0V3Bz2pfy5vbrJCYhOZCyKXxOY9kkUSt=w408-h522-k-no,Gare,Gare,3.7,,,,"KEF, Le Kef",,https://www.google.com/maps/place/KEF/data=!4m7!3m6!1s0x12fba5ab36b18bc7:0xaca7be1a9b06544b!8m2!3d36.1669062!4d8.7032471!16s%2Fg%2F12lkp_z9f!19sChIJx4uxNqul-xIRS1QGmxq-p6w?authuser=0&hl=fr&rclk=1
ChIJV0oK88GL_RIRTCqS97XCpSY,Gare kalaa kebira,,False,17,,Gare kalaa kebira (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP42AGaNU19vuzB_nt_iecIGE1WQiquIZXB48s-=w408-h306-k-no,Gare,Gare,3.8,,,,"Gare kalaa kebira, C48, Kalaa Kebira",,https://www.google.com/maps/place/Gare+kalaa+kebira/data=!4m7!3m6!1s0x12fd8bc1f30a4a57:0x26a5c2b5f7922a4c!8m2!3d35.8677562!4d10.5533257!16s%2Fg%2F1tdmxqyj!19sChIJV0oK88GL_RIRTCqS97XCpSY?authuser=0&hl=fr&rclk=1
