place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJW1Rhr9Rp-xIRtS-r7-RicUU,Bou Salem,,False,29,,Bou Salem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6sc_42VWBnrzfhtdv03TcFJkwjnBzY802HS7J=w408-h306-k-no,Gare,Gare,3.7,,,,Bou Salem,,https://www.google.com/maps/place/Bou+Salem/data=!4m7!3m6!1s0x12fb69d4af61545b:0x457162e4efab2fb5!8m2!3d36.6112381!4d8.9688798!16s%2Fg%2F1jky1x8p7!19sChIJW1Rhr9Rp-xIRtS-r7-RicUU?authuser=0&hl=fr&rclk=1
ChIJx4uxNqul-xIRS1QGmxq-p6w,KEF,,False,27,,KEF (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNL7ipF0V3Bz2pfy5vbrJCYhOZCyKXxOY9kkUSt=w408-h522-k-no,Gare,Gare,3.7,,,,"KEF, Le Kef",,https://www.google.com/maps/place/KEF/data=!4m7!3m6!1s0x12fba5ab36b18bc7:0xaca7be1a9b06544b!8m2!3d36.1669062!4d8.7032471!16s%2Fg%2F12lkp_z9f!19sChIJx4uxNqul-xIRS1QGmxq-p6w?authuser=0&hl=fr&rclk=1
ChIJc1Pmzst1-hIRruUpZQh40SM,M'Daourouch Railway Station,,False,20,,M'Daourouch Railway Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMxaB8l0oi0QB6qgux7369zEh5v04uf-RKGiZpe=w408-h544-k-no,Gare,Gare,4.3,,,,"M'Daourouch Railway Station, N16, M'Daourouch, Algerie",,https://www.google.com/maps/place/M%27Daourouch+Railway+Station/data=!4m7!3m6!1s0x12fa75cbcee65373:0x23d178086529e5ae!8m2!3d36.0759044!4d7.8240905!16s%2Fg%2F1thknxsv!19sChIJc1Pmzst1-hIRruUpZQh40SM?authuser=0&hl=fr&rclk=1
ChIJkYJBwEwS-xIRgvzYsaqRMcc,Gare Ferroviaire de Jendouba,,False,19,,Gare Ferroviaire de Jendouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPY_jOlWrub_6kJa3jiIBwPm4TBoo93MJ2Oz-MN=w408-h555-k-no,Gare,Gare,3.2,,,,"Gare Ferroviaire de Jendouba, P17, Jendouba",,https://www.google.com/maps/place/Gare+Ferroviaire+de+Jendouba/data=!4m7!3m6!1s0x12fb124cc0418291:0xc73191aab1d8fc82!8m2!3d36.5009704!4d8.7775482!16s%2Fg%2F1td81dbt!19sChIJkYJBwEwS-xIRgvzYsaqRMcc?authuser=0&hl=fr&rclk=1
ChIJZRMUTvz8-hIR848X2uzALGc,Ghardimaou,,False,14,,Ghardimaou (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTmREXMKZWa5BcJ6t7qEcq8Z_eRJ9AgjIOdZij=w408-h306-k-no,Gare,Gare,4.4,,,,Ghardimaou,,https://www.google.com/maps/place/Ghardimaou/data=!4m7!3m6!1s0x12fafcfc4e141365:0x672cc0ecda178ff3!8m2!3d36.4477123!4d8.4374779!16s%2Fg%2F1hhxpx39b!19sChIJZRMUTvz8-hIR848X2uzALGc?authuser=0&hl=fr&rclk=1
ChIJU_Zc5-eP-xIRjU0fkyuXz5U,Le Sers,,False,12,,Le Sers (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRbdyxevTtZo0LElX6KVQeEb8JJZhEmldfs75g=w408-h306-k-no,Gare,Gare,3.8,,,,Le Sers,,https://www.google.com/maps/place/Le+Sers/data=!4m7!3m6!1s0x12fb8fe7e75cf653:0x95cf972b931f4d8d!8m2!3d36.0758584!4d9.0233079!16s%2Fg%2F11bw41p2j3!19sChIJU_Zc5-eP-xIRjU0fkyuXz5U?authuser=0&hl=fr&rclk=1
ChIJkwYBCkak-xIRlfSkZsPyT34,Station de services Shell Kef,,False,11,,Station de services Shell Kef (proprietaire),https://www.google.com/maps/contrib/113289031866402936600,https://lh5.googleusercontent.com/p/AF1QipOH_BSgCq_J6hIqZ8PCqO-J6IIoXSRl3Omfkrc9=w408-h255-k-no,Station-service,"Station-service, Service de chauffeur prive, Station de lavage automobile, Cafe, Service de vidange d'huile",4.5,Ouvert 24h/24,,78 205 894,"Station de services Shell Kef, 71 Av. habib bourguiba, Le Kef 7100",,https://www.google.com/maps/place/Station+de+services+Shell+Kef/data=!4m7!3m6!1s0x12fba4460a010693:0x7e4ff2c366a4f495!8m2!3d36.1782603!4d8.7160269!16s%2Fg%2F1pp2v022g!19sChIJkwYBCkak-xIRlfSkZsPyT34?authuser=0&hl=fr&rclk=1
ChIJk1732558-hIREepQ2BStrjA,Gare routiere principale,,False,11,,Gare routiere principale (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOSbBpgnT5CiaZxsriOzuDUJP6O-MR7IjnEsW2u=w408-h306-k-no,Gare routiere,Gare routiere,3.5,,,,"Gare routiere principale, Souk-Ahras, Algerie",,https://www.google.com/maps/place/Gare+routi%C3%A8re+principale/data=!4m7!3m6!1s0x12fa7c9edbf75e93:0x30aead14d850ea11!8m2!3d36.2641165!4d7.9344309!16s%2Fg%2F12hlp0vgd!19sChIJk1732558-hIREepQ2BStrjA?authuser=0&hl=fr&rclk=1
ChIJ-U7-DgCl-xIR76iSTlJ-QUI,Gare Regionale Routiere,,False,10,,Gare Regionale Routiere (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTafKjChjdh_0mokBy03JATFstqZ6pXIX7x47g=w426-h240-k-no,Arret de bus,Arret de bus,3.6,,,,"Gare Regionale Routiere, Le Kef",,https://www.google.com/maps/place/Gare+Regionale+Routiere/data=!4m7!3m6!1s0x12fba5000efe4ef9:0x42417e524e92a8ef!8m2!3d36.1626169!4d8.703205!16s%2Fg%2F12ll54xmc!19sChIJ-U7-DgCl-xIR76iSTlJ-QUI?authuser=0&hl=fr&rclk=1
ChIJzfbv4erL-xIR5xBruF0-TQU,gare routiere,,False,8,,gare routiere (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOnoKJ8YSMmd5YlN5lnxlIE8RLFUSxTFEdkrpod=w1081-h240-k-no,Gare routiere,Gare routiere,3.5,,,,"gare routiere, Tajerouine",,https://www.google.com/maps/place/gare+routi%C3%A8re/data=!4m7!3m6!1s0x12fbcbeae1eff6cd:0x54d3e5db86b10e7!8m2!3d35.8906356!4d8.5516302!16s%2Fg%2F12hl0fnq1!19sChIJzfbv4erL-xIR5xBruF0-TQU?authuser=0&hl=fr&rclk=1
