place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJuS_KljItABMR3yCK9EeyQTo,Sfax,,False,77,,Sfax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPgZThxFPOlLJAUXQp7zhrDD4rOj-QGHVNiwcwO=w426-h240-k-no,Gare,Gare,3.1,,,,Sfax,service,https://www.google.com/maps/place/Sfax/data=!4m7!3m6!1s0x13002d3296ca2fb9:0x3a41b247f48a20df!8m2!3d34.7348158!4d10.7666006!16s%2Fg%2F1vrtx1g7!19sChIJuS_KljItABMR3yCK9EeyQTo?authuser=0&hl=fr&rclk=1
ChIJ1Zu_v9csABMR5hICLH3kCiE,Gare Routiere Louages Sfax,,False,31,,Gare Routiere Louages Sfax (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6WQGs6rSDyJgUrniOiAx1Dni9fYoyVBUFp13m=w408-h306-k-no,Arret de bus,Arret de bus,2.9,,,,"Gare Routiere Louages Sfax, Sfax",,https://www.google.com/maps/place/Gare+Routi%C3%A8re+Louages+Sfax/data=!4m7!3m6!1s0x13002cd7bfbf9bd5:0x210ae47d2c0212e6!8m2!3d34.7285921!4d10.7533783!16s%2Fg%2F1vs310h8!19sChIJ1Zu_v9csABMR5hICLH3kCiE?authuser=0&hl=fr&rclk=1
ChIJT4g2dyctABMRvZXvyB-H3Yw,Station Bus Grande Ligne,,False,9,,Station Bus Grande Ligne (proprietaire),,,Gare routiere,Gare routiere,2.6,,,,"Station Bus Grande Ligne, Rue Raed el bjaoui, Sfax 3065",,https://www.google.com/maps/place/Station+Bus+Grande+Ligne/data=!4m7!3m6!1s0x13002d277736884f:0x8cdd871fc8ef95bd!8m2!3d34.7238364!4d10.7559423!16s%2Fg%2F1hjgtcw1h!19sChIJT4g2dyctABMRvZXvyB-H3Yw?authuser=0&hl=fr&rclk=1
ChIJ8x6tDPwtABMRIVcUwZK3mYI,lwj Sfqs,,False,8,,lwj Sfqs (proprietaire),,,Service de transport,Service de transport,4,,,74 220 907,"PQH3+79M lwj Sfqs, Gare Routiere Louages, Sfax",,https://www.google.com/maps/place/%D9%84%D9%88%D8%A7%D8%AC+%D8%B5%D9%81%D8%A7%D9%82%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x13002dfc0cad1ef3:0x8299b792c1145721!8m2!3d34.7282225!4d10.7534244!16s%2Fg%2F11tj9p062r!19sChIJ8x6tDPwtABMRIVcUwZK3mYI?authuser=0&hl=fr&rclk=1
ChIJPzgIKystABMR7I8cYNitLhs,Station des Bus BEB DJEBLI,,False,7,http://www.soretras.tn/,Station des Bus BEB DJEBLI (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM4cCl_EiBn-NOol1h3zqt-eUirwnMTGtzqfuRj=w408-h816-k-no,Arret de transports en commun,Arret de transports en commun,4,,,,"Station des Bus BEB DJEBLI, Av. des Martyrs, Sfax 3047",,https://www.google.com/maps/place/Station+des+Bus+BEB+DJEBLI/data=!4m7!3m6!1s0x13002d2b2b08383f:0x1b2eadd8601c8fec!8m2!3d34.7371491!4d10.7578806!16s%2Fg%2F1tpb861j!19sChIJPzgIKystABMR7I8cYNitLhs?authuser=0&hl=fr&rclk=1
ChIJY26s8kktABMRNoxKMVF7LfA,Station Sfax Djerba,,False,7,,Station Sfax Djerba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPYKW4ghDNAeZLS4m_-gc9m7h_K5hW786P6v4aO=w408-h306-k-no,Service de transport,Service de transport,3,,,74 212 579,"PQHH+MP9 Station Sfax Djerba, Ctre Ville, Sfax",,https://www.google.com/maps/place/Station+Sfax+Djerba/data=!4m7!3m6!1s0x13002d49f2ac6e63:0xf02d7b51314a8c36!8m2!3d34.7291701!4d10.7793559!16s%2Fg%2F11f3wtks59!19sChIJY26s8kktABMRNoxKMVF7LfA?authuser=0&hl=fr&rclk=1
ChIJd1c2LSstABMRB2wlca6WAkY,Terminus de bus El Ain 12,,False,6,,Terminus de bus El Ain 12 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMOMyHSbnyI_3CPW_pWawd-vbnDS-vE32qVy2YR=w426-h240-k-no,Arret de bus,Arret de bus,2,,,,"Terminus de bus El Ain 12, stationnement Bus, Sfax",,https://www.google.com/maps/place/Terminus+de+bus+El+A%C3%AFn+12/data=!4m7!3m6!1s0x13002d2b2d365777:0x460296ae71256c07!8m2!3d34.7375933!4d10.7583109!16s%2Fg%2F11b6yljkfm!19sChIJd1c2LSstABMRB2wlca6WAkY?authuser=0&hl=fr&rclk=1
ChIJvTLpzCstABMRKVPpx6KDQoE,Station de Bus Mharza,,False,5,http://www.soretras.tn/,Station de Bus Mharza (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LFO5KJrHxBXT_FzvyqCr8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.03574&pitch=0&thumbfov=100,Gare routiere,Gare routiere,2.2,,,,"Station de Bus Mharza, Bd Farhat Hached, Sfax",,https://www.google.com/maps/place/Station+de+Bus+Mharza/data=!4m7!3m6!1s0x13002d2bcce932bd:0x814283a2c7e95329!8m2!3d34.7331119!4d10.7577963!16s%2Fg%2F1hjh8xqqy!19sChIJvTLpzCstABMRKVPpx6KDQoE?authuser=0&hl=fr&rclk=1
ChIJPU8od401ABMRHBEEYmO3Q5M,Terminus Sidi Youssef,,False,5,,Terminus Sidi Youssef (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPMYsfJsc-KMrm9F_mQUDXrMfBBjwqg0f_j9CQR=w408-h306-k-no,Gare routiere,Gare routiere,3.8,,,,Terminus Sidi Youssef,,https://www.google.com/maps/place/Terminus+Sidi+Youssef/data=!4m7!3m6!1s0x1300358d77284f3d:0x9343b7636204111c!8m2!3d34.6554625!4d10.9702357!16s%2Fg%2F1hjhdszt9!19sChIJPU8od401ABMRHBEEYmO3Q5M?authuser=0&hl=fr&rclk=1
ChIJwR7BJrgsABMR6wG2pzDG_fk,station soukra 4 amrar,,False,5,,station soukra 4 amrar (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N1qdE-A7LmjKXZMwCP4JtA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.20097&pitch=0&thumbfov=100,Gare routiere,Gare routiere,4.4,,,,"station soukra 4 amrar, Sfax",,https://www.google.com/maps/place/station+soukra+4+amrar/data=!4m7!3m6!1s0x13002cb826c11ec1:0xf9fdc630a7b601eb!8m2!3d34.728925!4d10.730499!16s%2Fg%2F1tv57xxg!19sChIJwR7BJrgsABMR6wG2pzDG_fk?authuser=0&hl=fr&rclk=1
