place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ3bmGLTtJ_RIRX40B6HlnUmc,Gare Hammam Lif,,False,36,,Gare Hammam Lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNfnxY_XgcVGh4gxx0g0xRE67lOaoeQFUnwmLA0=w426-h240-k-no,Gare,Gare,3.6,,,,"Gare Hammam Lif, Hammam-Lif",,https://www.google.com/maps/place/Gare+Hammam+Lif/data=!4m7!3m6!1s0x12fd493b2d86b9dd:0x67526779e8018d5f!8m2!3d36.7293916!4d10.3350717!16s%2Fg%2F1tf90ptm!19sChIJ3bmGLTtJ_RIRX40B6HlnUmc?authuser=0&hl=fr&rclk=1
ChIJgXmW8xJJ_RIRBGJD8Su5rvw,Ezzahra Lycee,,False,33,,Ezzahra Lycee (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRdDjUr-iU2lUuieHFPsXVtTxIaB6Xq1nXBar2=w408-h544-k-no,Gare,Gare,3.9,,,,"Ezzahra Lycee, Ez Zahra",,https://www.google.com/maps/place/Ezzahra+Lyc%C3%A9e/data=!4m7!3m6!1s0x12fd4912f3967981:0xfcaeb92bf1436204!8m2!3d36.739112!4d10.3177768!16s%2Fg%2F1ttthym3!19sChIJgXmW8xJJ_RIRBGJD8Su5rvw?authuser=0&hl=fr&rclk=1
ChIJX0tviqhP_RIROlJJ4N0qo74,Gare Borj Cedria,,False,29,,Gare Borj Cedria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMPkpPglb5U9QTmFViBo4KWe2phxxbGsG075enB=w408-h541-k-no,Gare,Gare,3.7,,,,"Gare Borj Cedria, P1, Borj Cedria",,https://www.google.com/maps/place/Gare+Borj+Cedria/data=!4m7!3m6!1s0x12fd4fa88a6f4b5f:0xbea32adde049523a!8m2!3d36.7036553!4d10.3976718!16s%2Fg%2F1thpb2r7!19sChIJX0tviqhP_RIROlJJ4N0qo74?authuser=0&hl=fr&rclk=1
ChIJHwsEkBZJ_RIRAYo34c54Tvc,Boukornine,,False,24,,Boukornine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPnsp7dbcQlRw04wSIw0G51aFxhXeqinGekon4a=w408-h544-k-no,Gare,Gare,4.2,,,,"Boukornine, Hammam-Lif",,https://www.google.com/maps/place/Boukornine/data=!4m7!3m6!1s0x12fd491690040b1f:0xf74e78cee1378a01!8m2!3d36.7348259!4d10.3238064!16s%2Fg%2F1tlwhrt9!19sChIJHwsEkBZJ_RIRAYo34c54Tvc?authuser=0&hl=fr&rclk=1
ChIJF2tk6tdO_RIR6hHubdx2Jpg,Tahar Sfar,,False,22,,Tahar Sfar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMLNwkfFNJv0EN5AAw59m2E297Ce1xQqp1emaKJ=w408-h269-k-no,Gare,Gare,3.7,,,,"Tahar Sfar, Hammam-Lif",,https://www.google.com/maps/place/Tahar+Sfar/data=!4m7!3m6!1s0x12fd4ed7ea646b17:0x982676dc6dee11ea!8m2!3d36.7175239!4d10.3596742!16s%2Fg%2F1tg0h3fg!19sChIJF2tk6tdO_RIR6hHubdx2Jpg?authuser=0&hl=fr&rclk=1
ChIJ8QNEkSxJ_RIROgxSS4FiIFA,Arret du Stade,,False,21,,Arret du Stade (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPPdGX9ZEKm5DyBpvbH0tWyUpVCdjUwUZmS4KQV=w408-h725-k-no,Gare,Gare,3.6,,,,"Arret du Stade, RN1, Hammam-Lif",,https://www.google.com/maps/place/Arr%C3%AAt+du+Stade/data=!4m7!3m6!1s0x12fd492c914403f1:0x502062814b520c3a!8m2!3d36.7237162!4d10.3479946!16s%2Fg%2F1tj54psr!19sChIJ8QNEkSxJ_RIROgxSS4FiIFA?authuser=0&hl=fr&rclk=1
ChIJT7AMqCRJ_RIR1RE-3GgFG8I,TotalEnergies HAMMAM LIF,,False,15,https://services.totalenergies.tn/,TotalEnergies HAMMAM LIF (proprietaire),https://www.google.com/maps/contrib/109023604183464244815,https://lh5.googleusercontent.com/p/AF1QipPk5_jypfvdSoLZnGf9KdZkhc76kjO8zNhHDgV8=w408-h300-k-no,Station-service,Station-service,4,Ouvert 24h/24,,71 290 355,"TotalEnergies HAMMAM LIF, N1 59 Av la Republique, Hammam-Lif 2050",,https://www.google.com/maps/place/TotalEnergies+HAMMAM+LIF/data=!4m7!3m6!1s0x12fd4924a80cb04f:0xc21b0568dc3e11d5!8m2!3d36.7287464!4d10.3330404!16s%2Fg%2F1x5cwmy8!19sChIJT7AMqCRJ_RIR1RE-3GgFG8I?authuser=0&hl=fr&rclk=1
ChIJdTIAERxP_RIRCyJxgFwXZ3U,by'r lby,,False,13,,by'r lby (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPgfrDodNdARCXyhJDuVfDyE8c3iDU49-9Lssc9=w408-h306-k-no,Gare,Gare,3.1,,,,"by'r lby, P1, Hammam-Lif",,https://www.google.com/maps/place/%D8%A8%D8%A6%D8%B1+%D8%A7%D9%84%D8%A8%D8%A7%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fd4f1c11003275:0x7567175c8071220b!8m2!3d36.7102676!4d10.3787702!16s%2Fg%2F1tcth_pz!19sChIJdTIAERxP_RIRCyJxgFwXZ3U?authuser=0&hl=fr&rclk=1
ChIJv4mUZj1J_RIR0_f5rS3i69k,OLA ENERGY HAMMAM LIF,,False,8,,OLA ENERGY HAMMAM LIF (proprietaire),https://www.google.com/maps/contrib/111878409273128231144,https://lh5.googleusercontent.com/p/AF1QipOgZaTpsc1vSFC0tGfJA2vsAsVSwsQ57OPmlnbB=w408-h410-k-no,Station-service,"Station-service, Magasin d'accessoires automobiles, Service de vidange d'huile",4,Ouvert 24h/24,,27 258 208,"OLA ENERGY HAMMAM LIF, GP1 Avenue de la republic hammem lif, Hmm 'nf 2050, RN1, Hammam-Lif 2050",,https://www.google.com/maps/place/OLA+ENERGY+HAMMAM+LIF/data=!4m7!3m6!1s0x12fd493d669489bf:0xd9ebe22dadf9f7d3!8m2!3d36.7315293!4d10.3277871!16s%2Fg%2F1hf08lrr1!19sChIJv4mUZj1J_RIR0_f5rS3i69k?authuser=0&hl=fr&rclk=1
ChIJhXPKtrxb_RIRkFC877kjAKg,Station de transport vers Tunis_Hammam Lif,,False,3,,Station de transport vers Tunis_Hammam Lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnVC5VAqNiLBDPUZYjtjf06ZurztXLjKff0QKC=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Station de transport vers Tunis_Hammam Lif, P1, Grombalia",,https://www.google.com/maps/place/Station+de+transport+vers+Tunis_Hammam+Lif/data=!4m7!3m6!1s0x12fd5bbcb6ca7385:0xa80023b9efbc5090!8m2!3d36.6019038!4d10.4962632!16s%2Fg%2F1tm9dd75!19sChIJhXPKtrxb_RIRkFC877kjAKg?authuser=0&hl=fr&rclk=1
