place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJSzL6DeJ1AhMRRMgiJNEYwV8,Gare de Sousse,,False,82,http://www.sncft.com.tn/,Gare de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNOjS7gRrJFe9TBB1_IojPkFg0hb2D_VLSUl6iq=w408-h306-k-no,,,3.3,,,73 224 955,"RJJQ+87J Gare de Sousse, Sousse","toilettes, informations",https://www.google.com/maps/place/Gare+de+Sousse/data=!4m7!3m6!1s0x130275e20dfa324b:0x5fc118d12422c844!8m2!3d35.8306849!4d10.638342!16s%2Fg%2F11hy9jndgc!19sChIJSzL6DeJ1AhMRRMgiJNEYwV8?authuser=0&hl=fr&rclk=1
ChIJ8Y7geEF1AhMRx4Z7p8IVbzo,Station Louage de Sousse,,False,39,,Station Louage de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN69hrLFl_NBHvUcdUTZbbWx2O2mOrGx9_kdh0F=w408-h306-k-no,Arret de transports en commun,Arret de transports en commun,4.1,,,,"Station Louage de Sousse, 1, Sousse 4000",prix,https://www.google.com/maps/place/Station+Louage+de+Sousse/data=!4m7!3m6!1s0x1302754178e08ef1:0x3a6f15c2a77b86c7!8m2!3d35.8093997!4d10.6370762!16s%2Fg%2F1tfsv_12!19sChIJ8Y7geEF1AhMRx4Z7p8IVbzo?authuser=0&hl=fr&rclk=1
ChIJDXqo04B1AhMRmff_M4M0V3s,Station Service TotalEnergies SOUSSE 1,,False,34,https://services.totalenergies.tn/,Station Service TotalEnergies SOUSSE 1 (proprietaire),https://www.google.com/maps/contrib/105694759701178210118,https://lh5.googleusercontent.com/p/AF1QipP0KM3H5IvotJANN4XmC9vZgg2sgqoWT1n8iy3y=w408-h306-k-no,Station-service,Station-service,4.2,Ouvert 24h/24,,73 219 533,"Station Service TotalEnergies SOUSSE 1, GP 1 Tunis Rd, Route de la Corniche, Sousse 4000",,https://www.google.com/maps/place/Station+Service+TotalEnergies+SOUSSE+1/data=!4m7!3m6!1s0x13027580d3a87a0d:0x7b57348333fff799!8m2!3d35.8404129!4d10.6221768!16s%2Fg%2F1ptz_2kgk!19sChIJDXqo04B1AhMRmff_M4M0V3s?authuser=0&hl=fr&rclk=1
ChIJAxTKQLCI_RIRuNIeVtEsgUI,Station Service STAROIL CHATT MERIEM,,False,30,,Station Service STAROIL CHATT MERIEM (proprietaire),https://www.google.com/maps/contrib/109609955550124808054,https://lh5.googleusercontent.com/p/AF1QipNtovZ03h8XyF9dA3QEvLVyCG2h6u4cFLrNq_mn=w408-h306-k-no,Station-service,"Station-service, Cafe, Cafeteria, Station de lavage automobile, Kiosque, Magasin, Bureau de tabac",4.3,Ouvert 24h/24,,53 958 793,"Station Service STAROIL CHATT MERIEM, CHATT MERIEM, Sousse 4042",,https://www.google.com/maps/place/Station+Service+STAROIL+CHATT+MERIEM/data=!4m7!3m6!1s0x12fd88b040ca1403:0x42812cd1561ed2b8!8m2!3d35.959629!4d10.539122!16s%2Fg%2F11b70hkd7m!19sChIJAxTKQLCI_RIRuNIeVtEsgUI?authuser=0&hl=fr&rclk=1
ChIJjyf8EuuK_RIRO2C4Md7rcLY,Station Shell,,False,27,https://find.shell.com/tn/fuel/TN_10044725-sahloul,Station Shell (proprietaire),https://www.google.com/maps/contrib/109040407098202887846,https://lh5.googleusercontent.com/p/AF1QipPr7hYNp6b88knlkwkG6D7XvAXkDh8vGbRxCjPU=w408-h271-k-no,Station-service,"Station-service, Station de lavage automobile, Superette, Restaurant, Sandwicherie",4.1,Ouvert 24h/24,,71 249 149,"Station Shell, Station de Service Sahloul Rte De, Gp1, Sousse 4054",cafe,https://www.google.com/maps/place/Station+Shell/data=!4m7!3m6!1s0x12fd8aeb12fc278f:0xb670ebde31b8603b!8m2!3d35.8198916!4d10.5952211!16s%2Fg%2F1w44h9lc!19sChIJjyf8EuuK_RIRO2C4Md7rcLY?authuser=0&hl=fr&rclk=1
ChIJX41EQf-K_RIRGe2ENpeKb6M,Kiosque Shell Sahloul,,False,19,https://find.shell.com/tn/fuel/TN_10090457-sahloul-ii,Kiosque Shell Sahloul (proprietaire),https://www.google.com/maps/contrib/117399525866137112689,https://lh5.googleusercontent.com/p/AF1QipMiMR3iE8MoLC82zjW49kgN2Sjf-7_TewG63MuO=w426-h240-k-no,Station-service,"Station-service, Station de lavage automobile, Superette, Restaurant",3.8,Ouvert 24h/24,,71 249 149,"Kiosque Shell Sahloul, Route De Sousse De Gp1, Rue El Fell, Sousse 4054",,https://www.google.com/maps/place/Kiosque+Shell+Sahloul/data=!4m7!3m6!1s0x12fd8aff41448d5f:0xa36f8a973684ed19!8m2!3d35.8379895!4d10.5790261!16s%2Fg%2F11dylyhq8p!19sChIJX41EQf-K_RIRGe2ENpeKb6M?authuser=0&hl=fr&rclk=1
ChIJC-AZsIyJ_RIR_LPFRJfMDPE,Station service Agil GPL KANTAOUI,,False,16,,Station service Agil GPL KANTAOUI (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcKiN5s0wY7XMzW9B7___uQfGv4vealXD9V_aU=w408-h267-k-no,Station-service,Station-service,3.9,,,,"VHPW+MJ6 Station service Agil GPL KANTAOUI, Rue de la Tourterelle, Hammam Sousse",,https://www.google.com/maps/place/Station+service+Agil+GPL+KANTAOUI/data=!4m7!3m6!1s0x12fd898cb019e00b:0xf10ccc9744c5b3fc!8m2!3d35.8866706!4d10.5965039!16s%2Fg%2F11b7b3k6zp!19sChIJC-AZsIyJ_RIR_LPFRJfMDPE?authuser=0&hl=fr&rclk=1
ChIJn4yTyGqK_RIRL-PcPa19pPw,Arret de Bus Hammam-Sousse Menchia,,False,14,,Arret de Bus Hammam-Sousse Menchia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO32oE3QCrhtJcwrLbyfwrq4jeThh44ew4i27OU=w408-h306-k-no,Arret de bus,Arret de bus,2.9,,,,"Arret de Bus Hammam-Sousse Menchia, Hammam Sousse",,https://www.google.com/maps/place/Arr%C3%AAt+de+Bus+Hammam-Sousse+Menchia/data=!4m7!3m6!1s0x12fd8a6ac8938c9f:0xfca47dad3ddce32f!8m2!3d35.8585918!4d10.5981508!16s%2Fg%2F11g_rk637!19sChIJn4yTyGqK_RIRL-PcPa19pPw?authuser=0&hl=fr&rclk=1
ChIJ7TrB3md1AhMRjJtcuir3Z3s,Station de Transport Terrestre,,False,14,,Station de Transport Terrestre (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh56apuRNVZPBGTns4jS8mRQDW2wQF4924Tr2K=w408-h306-k-no,Gare routiere,Gare routiere,3.6,,,,"Station de Transport Terrestre, Sousse",,https://www.google.com/maps/place/Station+de+Transport+Terrestre/data=!4m7!3m6!1s0x13027567dec13aed:0x7b67f72aba5c9b8c!8m2!3d35.8143774!4d10.630389!16s%2Fg%2F1tml7lq8!19sChIJ7TrB3md1AhMRjJtcuir3Z3s?authuser=0&hl=fr&rclk=1
ChIJT2O0IIp1AhMRywNz8O4--Mk,lti El Ksar Resort & Thalasso,,False,14,http://www.lti.de/hotels/lti-el-ksar-resort-thalasso/,lti El Ksar Resort & Thalasso (proprietaire),https://www.google.com/maps/contrib/112933306762886103916,https://lh5.googleusercontent.com/p/AF1QipO3kg5IbdiZqCuimXBcGIAArKwcd_bv7shy_xQN=w768-h240-k-no,Gare,Gare,4.3,,,73 240 460,"lti El Ksar Resort & Thalasso, Sousse",hotel,https://www.google.com/maps/place/lti+El+Ksar+Resort+%26+Thalasso/data=!4m7!3m6!1s0x1302758a20b4634f:0xc9f83eeef07303cb!8m2!3d35.8514695!4d10.6214027!16s%2Fg%2F11b7xs2jjn!19sChIJT2O0IIp1AhMRywNz8O4--Mk?authuser=0&hl=fr&rclk=1
