place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJn8EaU76YAhMR6YehVEnlPQI,Bus Station,,False,18,,Bus Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPYkb9sAYDtFydfC9pNjnCWfUTFo5NWZ-O--1L_=w408-h306-k-no,Gare routiere,Gare routiere,4.1,,,,"Bus Station, Nabeul",,https://www.google.com/maps/place/Bus+Station/data=!4m7!3m6!1s0x130298be531ac19f:0x23de54954a187e9!8m2!3d36.4515643!4d10.7296467!16s%2Fg%2F1tc_ypqj!19sChIJn8EaU76YAhMR6YehVEnlPQI?authuser=0&hl=fr&rclk=1
ChIJy1Evryph_RIRa80xy9YcoSQ,Bus Station Hammamet ville,,False,15,https://www.google.com/url?sa=t&source=web&rct=j&url=http://www.srtgn.com.tn/site/ar/template.php%3Fcode%3D22&ved=2ahUKEwjuwqz1wN_jAhWB3OAKHTgUDFgQFjAAegQIARAB&usg=AOvVaw0T_zgV2atfr5_JR1CHnKKX,Bus Station Hammamet ville (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOAU9MbI14rBpyAwL6x0uvcTZRGQklnbRSAUHkX=w426-h240-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.3,,,72 233 200,"Bus Station Hammamet ville, 22-30 Ave. de la Republique, Hammamet",,https://www.google.com/maps/place/Bus+Station+Hammamet+ville/data=!4m7!3m6!1s0x12fd612aaf2f51cb:0x24a11cd6cb31cd6b!8m2!3d36.3967174!4d10.6145115!16s%2Fg%2F11hzmsws4v!19sChIJy1Evryph_RIRa80xy9YcoSQ?authuser=0&hl=fr&rclk=1
ChIJg0vIsO4zHRMRPIy4VqkZBU4,SRTGN (station Kelibia),,False,14,,SRTGN (station Kelibia) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh8JqdogZf669jaTy_5WJfAxuzmfh4nmBeD2N3=w408-h544-k-no,Gare routiere,Gare routiere,3.4,,,,"SRTGN (station Kelibia), C27, Kelibia",,https://www.google.com/maps/place/SRTGN+%28station+K%C3%A9libia%29/data=!4m7!3m6!1s0x131d33eeb0c84b83:0x4e0519a956b88c3c!8m2!3d36.8482343!4d11.0875747!16s%2Fg%2F1ydpk1bkr!19sChIJg0vIsO4zHRMRPIy4VqkZBU4?authuser=0&hl=fr&rclk=1
ChIJe-7SHbu7AhMRtIdFePKdB3I,Agil Korba,,False,11,,Agil Korba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNWCOVV-7lHcxDAVqzGvC4HUlmM-EPlZrH0Ag7M=w425-h240-k-no,Station-service,Station-service,4.3,Ouvert 24h/24,,,"HVF5+47J Agil Korba, Korba",,https://www.google.com/maps/place/Agil+Korba/data=!4m7!3m6!1s0x1302bbbb1dd2ee7b:0x72079df2784587b4!8m2!3d36.5728434!4d10.8581535!16s%2Fg%2F11cfg_h9m!19sChIJe-7SHbu7AhMRtIdFePKdB3I?authuser=0&hl=fr&rclk=1
ChIJ7Sft7rq7AhMRr_Ayjjm80UM,mHT@ ltksy qrb@ Station De Taxi,,False,5,,mHT@ ltksy qrb@ Station De Taxi (proprietaire),,,Station de taxis,Station de taxis,3,,,,"HVF5+G8W mHT@ ltksy qrb@ Station De Taxi, Korba",,https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D8%AA%D8%A7%D9%83%D8%B3%D9%8A+%D9%82%D8%B1%D8%A8%D8%A9+Station+De+Taxi%E2%80%AD/data=!4m7!3m6!1s0x1302bbbaeeed27ed:0x43d1bc398e32f0af!8m2!3d36.5738601!4d10.858321!16s%2Fg%2F11g6qt554v!19sChIJ7Sft7rq7AhMRr_Ayjjm80UM?authuser=0&hl=fr&rclk=1
ChIJzTVYYqa7AhMR1_ayaYu6cWY,OLA KORBA,,False,4,,OLA KORBA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9vJ4RYirxMO2z6QN2lqvt2dKPkaiBwUTgONKK=w408-h725-k-no,Station-service,Station-service,5,,,56 338 779,"HRFX+GXJ OLA KORBA, RR44, Korba",,https://www.google.com/maps/place/OLA+KORBA/data=!4m7!3m6!1s0x1302bba6625835cd:0x6671ba8b69b2f6d7!8m2!3d36.5738388!4d10.8498992!16s%2Fg%2F11g9sy_w0d!19sChIJzTVYYqa7AhMR1_ayaYu6cWY?authuser=0&hl=fr&rclk=1
ChIJhXPKtrxb_RIRkFC877kjAKg,Station de transport vers Tunis_Hammam Lif,,False,3,,Station de transport vers Tunis_Hammam Lif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnVC5VAqNiLBDPUZYjtjf06ZurztXLjKff0QKC=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Station de transport vers Tunis_Hammam Lif, P1, Grombalia",,https://www.google.com/maps/place/Station+de+transport+vers+Tunis_Hammam+Lif/data=!4m7!3m6!1s0x12fd5bbcb6ca7385:0xa80023b9efbc5090!8m2!3d36.6019038!4d10.4962632!16s%2Fg%2F1tm9dd75!19sChIJhXPKtrxb_RIRkFC877kjAKg?authuser=0&hl=fr&rclk=1
ChIJee_U8ERb_RIR_ZRyYFuwCGo,Station Grombalia - Tunis,,False,2,,Station Grombalia - Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPb_JvxV0MNYWDeD9wYmKoq93Z_06QtCfFMhb2h=w408-h544-k-no,Service de transport,Service de transport,4.5,Ouvert 24h/24,,,"HFXW+2VV Station Grombalia - Tunis, Grombalia",,https://www.google.com/maps/place/Station+Grombalia+-+Tunis/data=!4m7!3m6!1s0x12fd5b44f0d4ef79:0x6a08b05b607294fd!8m2!3d36.5976063!4d10.4971705!16s%2Fg%2F11t9jzr9p1!19sChIJee_U8ERb_RIR_ZRyYFuwCGo?authuser=0&hl=fr&rclk=1
ChIJoXIuGmKZAhMR7zusFRnG_XM,Taxi and bus station,,False,1,,Taxi and bus station (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dwFHHDbwNfw7XrqeaRsV-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=316.763&pitch=0&thumbfov=100,Service de transport,Service de transport,4,,,,"FP8X+997 Taxi and bus station, Dar Chaabane Al Fehri",,https://www.google.com/maps/place/Taxi+and+bus+station/data=!4m7!3m6!1s0x130299621a2e72a1:0x73fdc61915ac3bef!8m2!3d36.4658445!4d10.7483552!16s%2Fg%2F11q969_hq6!19sChIJoXIuGmKZAhMR7zusFRnG_XM?authuser=0&hl=fr&rclk=1
ChIJX9T1m2qZAhMRI3IrEtfcHhE,STATION LOUAGE NABEUL KLIBIA,,False,1,,STATION LOUAGE NABEUL KLIBIA (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Qt6kmgrV3kNyB9VOBE3MA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=312.56622&pitch=0&thumbfov=100,Service de transport,Service de transport,4,,,,"FP4R+P7Q STATION LOUAGE NABEUL KLIBIA, Nabeul",,https://www.google.com/maps/place/STATION+LOUAGE+NABEUL+KLIBIA/data=!4m7!3m6!1s0x1302996a9bf5d45f:0x111edcd7122b7223!8m2!3d36.4568814!4d10.7407565!16s%2Fg%2F11pv3p4kzc!19sChIJX9T1m2qZAhMRI3IrEtfcHhE?authuser=0&hl=fr&rclk=1
