place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJ0ed9RQ00_RIRV5gf6J31_hs,Gare de Tunis,,False,216,http://sncft.com.tn/fr/serv_en_ligne/horaire_live/,Gare de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOlt2AgH3W3wCAndKzcufFLzzS_ushHhEh13uEm=w408-h306-k-no,Gare,Gare,3,,,,"Gare de Tunis, Rue Ali Darghouth, Tunis","voyage, service, sud, confort, catastrophe, securite, pays, nombre, systeme, distance",https://www.google.com/maps/place/Gare+de+Tunis/data=!4m7!3m6!1s0x12fd340d457de7d1:0x1bfef59de81f9857!8m2!3d36.7949275!4d10.180481!16s%2Fm%2F0134cycg!19sChIJ0ed9RQ00_RIRV5gf6J31_hs?authuser=0&hl=fr&rclk=1
ChIJ3fdVHP5K_RIRq4LZhLirQmE,Port La Goulette,,False,150,,Port La Goulette (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPecgWKcpxLCrLc07TkFOwRPk1epDDUWS-UVB_e=w408-h306-k-no,Port maritime,Port maritime,3.4,,,,"Port La Goulette, Av. Habib Bourghuiba, La Goulette","douaniers, police, tourisme, voleurs, pays, organisation, argent, employes, prix",https://www.google.com/maps/place/Port+La+Goulette/data=!4m7!3m6!1s0x12fd4afe1c55f7dd:0x6142abb884d982ab!8m2!3d36.8105759!4d10.303487!16s%2Fg%2F11_q3k7bn!19sChIJ3fdVHP5K_RIRq4LZhLirQmE?authuser=0&hl=fr&rclk=1
ChIJ6yhJPZoz_RIRr74Y7VUEauk,Station de Louage Bab Saadoun,,False,123,,Station de Louage Bab Saadoun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkFglsDMn-eF_JZw_oCZMmX1206lY7bDehGB5g=w408-h306-k-no,Station de taxis,Station de taxis,3.1,,,55 336 525,"R563+3PR Station de Louage Bab Saadoun, Tunis",bus,https://www.google.com/maps/place/Station+de+Louage+Bab+Saadoun/data=!4m7!3m6!1s0x12fd339a3d4928eb:0xe96a0455ed18beaf!8m2!3d36.8102387!4d10.1542516!16s%2Fg%2F11c1s1vt3p!19sChIJ6yhJPZoz_RIRr74Y7VUEauk?authuser=0&hl=fr&rclk=1
ChIJGQGiCRQ0_RIRnfDrcbeAkDQ,"Station Louage Moncef Bey, Tunis",,False,71,,"Station Louage Moncef Bey, Tunis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipP8zCOzis99rbCXBMI02K2L49Dj7GqBW6Sin3-q=w408-h306-k-no,Gare routiere,Gare routiere,3.2,,,,"Station Louage Moncef Bey, Tunis, Av. Hammouda Pacha, Tunis","prix, hygiene, voyage","https://www.google.com/maps/place/Station+Louage+Moncef+Bey,+Tunis/data=!4m7!3m6!1s0x12fd341409a20119:0x349080b771ebf09d!8m2!3d36.7911746!4d10.1873102!16s%2Fg%2F1q62jyn4j!19sChIJGQGiCRQ0_RIRnfDrcbeAkDQ?authuser=0&hl=fr&rclk=1"
ChIJtYo_a7a04hIRIZL21tQ8RKc,Carthage Hannibal,,False,33,,Carthage Hannibal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9KaR_p-YrzKXwl5M69NoqzJ0wEHTmO--38Ncg=w426-h240-k-no,Gare,Gare,3.8,,,,"Carthage Hannibal, Site archeologique de Carthage",,https://www.google.com/maps/place/Carthage+Hannibal/data=!4m7!3m6!1s0x12e2b4b66b3f8ab5:0xa7443cd4d6f69221!8m2!3d36.853423!4d10.3289416!16s%2Fg%2F1tjzmtkt!19sChIJtYo_a7a04hIRIZL21tQ8RKc?authuser=0&hl=fr&rclk=1
ChIJoXTd82k0_RIRwhAjSwFgkDs,Tunis Marine,,False,22,,Tunis Marine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNospeS0Q6Wfnr_lX8XzPhr0C2_n608xqUwtDOa=w408-h543-k-no,Station de transit,Station de transit,4.2,,,,"Tunis Marine, Tunis",,https://www.google.com/maps/place/Tunis+Marine/data=!4m7!3m6!1s0x12fd3469f3dd74a1:0x3b9060014b2310c2!8m2!3d36.8007146!4d10.191654!16s%2Fm%2F0134d2hg!19sChIJoXTd82k0_RIRwhAjSwFgkDs?authuser=0&hl=fr&rclk=1
ChIJUUrSBHE0_RIRpcAHL5Wf32Y,Jardin Habib Thameur Bus Station,,False,21,,Jardin Habib Thameur Bus Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOzp7Ot2RXCHgxdlR_-Dv_vr5ehTcSwfpglMx6M=w408-h306-k-no,Gare routiere,Gare routiere,2.9,,,,"Jardin Habib Thameur Bus Station, Rue d'Antioche, Tunis",,https://www.google.com/maps/place/Jardin+Habib+Thameur+Bus+Station/data=!4m7!3m6!1s0x12fd347104d24a51:0x66df9f952f07c0a5!8m2!3d36.8036173!4d10.1782047!16s%2Fg%2F1tfhwhqt!19sChIJUUrSBHE0_RIRpcAHL5Wf32Y?authuser=0&hl=fr&rclk=1
ChIJoY-C8xQ0_RIRA2Py3CuZx3s,SNCFT -Fret,,False,20,,SNCFT -Fret (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNB7kIRexE_tI7oRyQb3kn_gWVtPhTknagq4HPy=w426-h240-k-no,Gare,Gare,3,,,,"SNCFT -Fret, Rue de Italie, Tunis",,https://www.google.com/maps/place/SNCFT+-Fret/data=!4m7!3m6!1s0x12fd3414f3828fa1:0x7bc7992bdcf26303!8m2!3d36.7923951!4d10.1887894!16s%2Fg%2F11r8s1lsn!19sChIJoY-C8xQ0_RIRA2Py3CuZx3s?authuser=0&hl=fr&rclk=1
ChIJ-UbBn_5K_RIRsSQwe4o7uM0,Gare Maritime La Goulette,,False,19,,Gare Maritime La Goulette (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPMsIPrXUwc7oRxCRx2VhacUnZAZua1NJYgFO1a=w408-h306-k-no,Terminal de ferry,Terminal de ferry,4.2,,,,"Gare Maritime La Goulette, La Goulette",,https://www.google.com/maps/place/Gare+Maritime+La+Goulette/data=!4m7!3m6!1s0x12fd4afe9fc146f9:0xcdb83b8a7b3024b1!8m2!3d36.8144557!4d10.2971749!16s%2Fg%2F1v6k2k0w!19sChIJ-UbBn_5K_RIRsSQwe4o7uM0?authuser=0&hl=fr&rclk=1
