place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJC2TgX3I3_RIRO9uhrRkz97s,AGIL,,False,34,,AGIL (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMuhvbXVUlKLSmRTQlCXGcJp6jr9SnZ2WE7TVjH=w408-h306-k-no,Station-service,Station-service,4.1,Ouvert 24h/24,,,"P644+75F AGIL, El Mourouj",lavage,https://www.google.com/maps/place/AGIL/data=!4m7!3m6!1s0x12fd37725fe0640b:0xbbf73319ada1db3b!8m2!3d36.7056826!4d10.2054355!16s%2Fg%2F11bztz4y3j!19sChIJC2TgX3I3_RIRO9uhrRkz97s?authuser=0&hl=fr&rclk=1
ChIJoXTd82k0_RIRwhAjSwFgkDs,Tunis Marine,,False,22,,Tunis Marine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNospeS0Q6Wfnr_lX8XzPhr0C2_n608xqUwtDOa=w408-h543-k-no,Station de transit,Station de transit,4.2,,,,"Tunis Marine, Tunis",,https://www.google.com/maps/place/Tunis+Marine/data=!4m7!3m6!1s0x12fd3469f3dd74a1:0x3b9060014b2310c2!8m2!3d36.8007146!4d10.191654!16s%2Fm%2F0134d2hg!19sChIJoXTd82k0_RIRwhAjSwFgkDs?authuser=0&hl=fr&rclk=1
ChIJc6HjKqow_RIRV5KljL1Yev4,AGIL GPL Fouchana,,False,20,,AGIL GPL Fouchana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOy39bKQV2hhJboIfSyyj3w3z4spoUr4d_Fsony=w426-h240-k-no,Station-service,Station-service,3.7,Ouvert 24h/24,,71 403 738,"M5V7+7X6 AGIL GPL Fouchana, GP3, Fouchana",,https://www.google.com/maps/place/AGIL+GPL+Fouchana/data=!4m7!3m6!1s0x12fd30aa2ae3a173:0xfe7a58bd8ca59257!8m2!3d36.693154!4d10.1648828!16s%2Fg%2F11b6_vxvyb!19sChIJc6HjKqow_RIRV5KljL1Yev4?authuser=0&hl=fr&rclk=1
ChIJWeT3M2sy_RIROPEyebFm_XQ,Station de Metro Slimane Kehia,,False,17,,Station de Metro Slimane Kehia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN1PTJqJhYwA1cDCzACHnWszz-_ZqDJlGjQA6g3=w426-h240-k-no,Station de metro,Station de metro,4.3,,,,"Station de Metro Slimane Kehia, Manouba 2010",bus,https://www.google.com/maps/place/Station+de+M%C3%A9tro+Slimane+Kehia/data=!4m7!3m6!1s0x12fd326b33f7e459:0x74fd66b17932f138!8m2!3d36.8032156!4d10.0990925!16s%2Fg%2F1tp6lq62!19sChIJWeT3M2sy_RIROPEyebFm_XQ?authuser=0&hl=fr&rclk=1
ChIJv5-FNRA6_RIRniIvLSLbfP4,Shell,,False,12,https://find.shell.com/tn/fuel/TN_10044687-mohamedia,Shell (proprietaire),https://www.google.com/maps/contrib/115036219517092306651,https://lh5.googleusercontent.com/p/AF1QipPwnyThtOMtvqrktW8ggGmAEOr302S-nEnJeO9f=w408-h725-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",3.4,Ouvert 24h/24,,71 249 149,"Shell, P3 Rte De, Mohammedia 1145",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd3a1035859fbf:0xfe7cdb222d2f229e!8m2!3d36.6793259!4d10.1565706!16s%2Fg%2F11c5h22gcx!19sChIJv5-FNRA6_RIRniIvLSLbfP4?authuser=0&hl=fr&rclk=1
ChIJBV8_5gE3_RIR-8uYIxP-PlE,El Mourouj 3,,False,10,,El Mourouj 3 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMB7JtWVQERJNMrgC2YLGetj3FlfnD_nXGcXBPO=w408-h272-k-no,Station de metro,Station de metro,4.8,,,,"El Mourouj 3, El Mourouj 2074",,https://www.google.com/maps/place/El+Mourouj+3/data=!4m7!3m6!1s0x12fd3701e63f5f05:0x513efe132398cbfb!8m2!3d36.7287141!4d10.2107801!16s%2Fg%2F1tf04wrl!19sChIJBV8_5gE3_RIR-8uYIxP-PlE?authuser=0&hl=fr&rclk=1
ChIJ19NUvkk3_RIRr6rxjA_AC2c,Cite El Hidhab,,False,8,,Cite El Hidhab (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9QVzovL1wDb5B3gp9pe4rw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.75484&pitch=0&thumbfov=100,Arret de transports en commun,Arret de transports en commun,3.3,,,,"Cite El Hidhab, GP3, Fouchana",,https://www.google.com/maps/place/Cit%C3%A9+El+Hidhab/data=!4m7!3m6!1s0x12fd3749be54d3d7:0x670bc00f8cf1aaaf!8m2!3d36.7093593!4d10.1774954!16s%2Fg%2F12vsmzvp5!19sChIJ19NUvkk3_RIRr6rxjA_AC2c?authuser=0&hl=fr&rclk=1
ChIJ2QR8lzc3_RIRDhnakxczAOI,Shell (El Mghira),,False,7,https://find.shell.com/tn/fuel/TN_1400000-mghira,Shell (El Mghira) (proprietaire),https://www.google.com/maps/contrib/115025352110532954064,https://lh5.googleusercontent.com/p/AF1QipPGPnDZlnjyGmyVwqHsT6HWTVE-Q2t5XtbJKQ-m=w426-h240-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",5,Ouvert 24h/24,,71 249 149,"Shell (El Mghira), N3 Station Service El Mghira 2Sm 46 Lot El Wifak C Elhdhab Fouchana Mghira, 2082",,https://www.google.com/maps/place/Shell+%28El+Mghira%29/data=!4m7!3m6!1s0x12fd3737977c04d9:0xe200331793da190e!8m2!3d36.7127198!4d10.1804285!16s%2Fg%2F11g6rlv2s7!19sChIJ2QR8lzc3_RIRDhnakxczAOI?authuser=0&hl=fr&rclk=1
ChIJ7bBJ_687_RIRh1BkAY45Cns,Depot oudhna,,False,1,,Depot oudhna (proprietaire),,,Depot ferroviaire,Depot ferroviaire,3,,,,"J4F7+6R2 Depot oudhna, Unnamed Road, Mohammedia",,https://www.google.com/maps/place/D%C3%A9p%C3%B4t+oudhna/data=!4m7!3m6!1s0x12fd3bafff49b0ed:0x7b0a398e01645087!8m2!3d36.6230183!4d10.1145277!16s%2Fg%2F11kcm3xkh0!19sChIJ7bBJ_687_RIRh1BkAY45Cns?authuser=0&hl=fr&rclk=1
