place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJs3gUxZ9I_RIRnSHae9fRxGs,Peage Mornag,,False,175,,Peage Mornag (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOAmIwcYvfxR8o_Gi24MILt9QnB_ccAcGaWCy-Z=w408-h544-k-no,Poste de peage,Poste de peage,3.4,Ouvert 24h/24,,70 555 780,"Peage Mornag, Autoroute A1, Gare de Peage du Mornag, A1","embouteillage, week-ends, prix",https://www.google.com/maps/place/P%C3%A9age+Mornag/data=!4m7!3m6!1s0x12fd489fc51478b3:0x6bc4d1d77bda219d!8m2!3d36.6774769!4d10.3253322!16s%2Fg%2F11bz_zb7m1!19sChIJs3gUxZ9I_RIRnSHae9fRxGs?authuser=0&hl=fr&rclk=1
ChIJGQGiCRQ0_RIRnfDrcbeAkDQ,"Station Louage Moncef Bey, Tunis",,False,71,,"Station Louage Moncef Bey, Tunis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipP8zCOzis99rbCXBMI02K2L49Dj7GqBW6Sin3-q=w408-h306-k-no,Gare routiere,Gare routiere,3.2,,,,"Station Louage Moncef Bey, Tunis, Av. Hammouda Pacha, Tunis","prix, hygiene, voyage","https://www.google.com/maps/place/Station+Louage+Moncef+Bey,+Tunis/data=!4m7!3m6!1s0x12fd341409a20119:0x349080b771ebf09d!8m2!3d36.7911746!4d10.1873102!16s%2Fg%2F1q62jyn4j!19sChIJGQGiCRQ0_RIRnfDrcbeAkDQ?authuser=0&hl=fr&rclk=1"
ChIJnTcOhoA1_RIR9wsPhGCvoFM,Gare Barcelone mHTW@ brshlwn@,,False,64,,Gare Barcelone mHTW@ brshlwn@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMgnvRxmON0P8wAb0bjeyJdk5cV08H7oXw56kEE=w408-h544-k-no,Guichet de gare,Guichet de gare,3.3,,,,"Q5WJ+466 Gare Barcelone mHTW@ brshlwn@, Gare de Tunis, Rue Ali Darghouth, Tunis",,https://www.google.com/maps/place/Gare+Barcelone+%D9%85%D8%AD%D8%B7%D9%91%D8%A9+%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd3580860e379d:0x53a0af60840f0bf7!8m2!3d36.7952755!4d10.1805121!16s%2Fg%2F11rd29phg_!19sChIJnTcOhoA1_RIR9wsPhGCvoFM?authuser=0&hl=fr&rclk=1
ChIJtx5DsQ80_RIRTpdxQy4sDOc,Gare Routiere Sud,,False,51,,Gare Routiere Sud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMUzyQ0ECiP3lQiq9JJbJJ73zTYAoZYSFptbJFB=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Gare Routiere Sud, P1, Tunis",,https://www.google.com/maps/place/Gare+Routiere+Sud/data=!4m7!3m6!1s0x12fd340fb1431eb7:0xe70c2c2e4371974e!8m2!3d36.7875077!4d10.1796055!16s%2Fg%2F1trzscbd!19sChIJtx5DsQ80_RIRTpdxQy4sDOc?authuser=0&hl=fr&rclk=1
ChIJJe6n-Ck0_RIRQlJXc7YJ2WU,Djebal Jelloud,,False,30,http://sncft.com.tn/fr/serv_en_ligne/horaire_live/,Djebal Jelloud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOY5fPHuGOCGF8SSyDaWMogDyPgvuFatRIyPwsa=w408-h544-k-no,Gare,Gare,4,,,,"Djebal Jelloud, Tunis",,https://www.google.com/maps/place/Djebal+Jelloud/data=!4m7!3m6!1s0x12fd3429f8a7ee25:0x65d909b673575242!8m2!3d36.7724963!4d10.2094419!16s%2Fg%2F1x6n4d4t!19sChIJJe6n-Ck0_RIRQlJXc7YJ2WU?authuser=0&hl=fr&rclk=1
ChIJ4bo-W3RI_RIRiBu_1kjEln0,Shell Mornag,,False,22,https://find.shell.com/tn/fuel/TN_10044689-mornag,Shell Mornag (proprietaire),https://www.google.com/maps/contrib/101197696782777311762,https://lh5.googleusercontent.com/p/AF1QipN_UV-bnASYj_e-JH_h9N0J9x4qY0_RdJdTLexo=w408-h306-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",4.2,Ouvert 24h/24,,71 249 149,"Shell Mornag, C35 Mc 34, Mornag 2090",,https://www.google.com/maps/place/Shell+Mornag/data=!4m7!3m6!1s0x12fd48745b3ebae1:0x7d96c448d6bf1b88!8m2!3d36.6836591!4d10.2859469!16s%2Fg%2F1tlngjnt!19sChIJ4bo-W3RI_RIRiBu_1kjEln0?authuser=0&hl=fr&rclk=1
ChIJu-cwlhgx_RIRhG2Tvn7g_00,Station RFR Bougatfa - Sidi Hassine,,False,17,http://rfr.tn/,Station RFR Bougatfa - Sidi Hassine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM4ldEdpna3iDeKMEVJhjgFaok3L-xSwzAfDRmf=w408-h543-k-no,Service de transport,Service de transport,4.5,Ouvert 24h/24,,,"Q4J3+42C Station RFR Bougatfa - Sidi Hassine, Rue Soliman Ben Jeljel, Tunis",,https://www.google.com/maps/place/Station+RFR+Bougatfa+-+Sidi+Hassine/data=!4m7!3m6!1s0x12fd31189630e7bb:0x4dffe07ebe936d84!8m2!3d36.7803021!4d10.1025043!16s%2Fg%2F11j10p9z29!19sChIJu-cwlhgx_RIRhG2Tvn7g_00?authuser=0&hl=fr&rclk=1
ChIJOSsoZ3c0_RIRj30JiDO359U,Station Bus Ali Balhouene,,False,17,,Station Bus Ali Balhouene (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFCA6Eare0U9s7ehifb4MsRxBDBPL0NgZi9tOs=w408-h306-k-no,Gare routiere,Gare routiere,2.8,,,,"Station Bus Ali Balhouene, Rue Bab El Khadra, Tunis",,https://www.google.com/maps/place/Station+Bus+Ali+Balhouene/data=!4m7!3m6!1s0x12fd347767282b39:0xd5e7b73388097d8f!8m2!3d36.8066135!4d10.1743527!16s%2Fg%2F1hc1l8dlf!19sChIJOSsoZ3c0_RIRj30JiDO359U?authuser=0&hl=fr&rclk=1
ChIJ13hroGcy_RIRdLX3cra5hlw,Gare sncft La Manouba,,False,16,,Gare sncft La Manouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMw4QGjqW1F2_ixgJ-35ObK99E8ljkuYrm3EHHG=w408-h306-k-no,Gare,Gare,3.9,,,,"Gare sncft La Manouba, Tunis 2010",,https://www.google.com/maps/place/Gare+sncft+La+Manouba/data=!4m7!3m6!1s0x12fd3267a06b78d7:0x5c86b9b672f7b574!8m2!3d36.8159636!4d10.1015162!16s%2Fg%2F1ttxf03s!19sChIJ13hroGcy_RIRdLX3cra5hlw?authuser=0&hl=fr&rclk=1
ChIJUyOuHUU2_RIRW1ia811Hyv8,Bir Kassaa,,False,11,,Bir Kassaa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPOrzSicnWx6eazfMHLfTfQxGcuZcXYceEyGs1Q=w408-h544-k-no,Gare,Gare,3.6,,,,"Bir Kassaa, Ben Arous",,https://www.google.com/maps/place/Bir+Kassaa/data=!4m7!3m6!1s0x12fd36451dae2353:0xffca475df39a585b!8m2!3d36.7410163!4d10.2282554!16s%2Fg%2F1xtdzs_l!19sChIJUyOuHUU2_RIRW1ia811Hyv8?authuser=0&hl=fr&rclk=1
ChIJ-7MZVd9H_RIR-stth8X4Ov0,Station-service TotalEnergies MORNAG,,False,10,https://services.totalenergies.tn/,Station-service TotalEnergies MORNAG (proprietaire),https://www.google.com/maps/contrib/103091096226176633381,https://lh5.googleusercontent.com/p/AF1QipM37CZqLqf0Zd6_ehJNeLvNMiaGGZ1yEEktyrs=w408-h342-k-no,Station-service,Station-service,4,Ouvert 24h/24,,71 360 331,"Station-service TotalEnergies MORNAG, C35 Cebalet, Mornag 2090",,https://www.google.com/maps/place/Station-service+TotalEnergies+MORNAG/data=!4m7!3m6!1s0x12fd47df5519b3fb:0xfd3af8c5876dcbfa!8m2!3d36.6798644!4d10.2879422!16s%2Fg%2F11c600tlcr!19sChIJ-7MZVd9H_RIR-stth8X4Ov0?authuser=0&hl=fr&rclk=1
