place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJq8LY_SvWVBIR0YMPvgNKvm4,SRT MEDENINE,,False,20,https://srtm.tn/,SRT MEDENINE (proprietaire),https://www.google.com/maps/contrib/108764431275514356032,https://lh5.googleusercontent.com/p/AF1QipMBgstiCT4WnTwYlIydf_cOgMzXgAq-I04JwxRg=w555-h240-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.9,,,75 640 070,"SRT MEDENINE, Avenue 18 janvier 1952, Medenine 4100",,https://www.google.com/maps/place/SRT+MEDENINE/data=!4m7!3m6!1s0x1254d62bfdd8c2ab:0x6ebe4a03be0f83d1!8m2!3d33.3463449!4d10.4900434!16s%2Fg%2F11bzt3_qr7!19sChIJq8LY_SvWVBIR0YMPvgNKvm4?authuser=0&hl=fr&rclk=1
ChIJj76LWSnWVBIRW2B5d4S-ixA,Gare des louages de Medenine,,False,12,,Gare des louages de Medenine (proprietaire),,,Arret de bus,Arret de bus,3.3,,,,"Gare des louages de Medenine, Medenine",,https://www.google.com/maps/place/Gare+des+louages+de+Medenine/data=!4m7!3m6!1s0x1254d629598bbe8f:0x108bbe847779605b!8m2!3d33.3464316!4d10.4908903!16s%2Fg%2F11rrz584d!19sChIJj76LWSnWVBIRW2B5d4S-ixA?authuser=0&hl=fr&rclk=1
ChIJ8TXSWCQoVRIRAeLZygTdzNo,Gare routiere de Medenine,,False,10,,Gare routiere de Medenine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO4mD4dquEPiK-g3zNUp70aM5-rsCYzzaqru7vM=w426-h240-k-no,Arret de bus,Arret de bus,2.5,,,,Gare routiere de Medenine,,https://www.google.com/maps/place/Gare+routiere+de+M%C3%A9denine/data=!4m7!3m6!1s0x1255282458d235f1:0xdaccdd04cad9e201!8m2!3d33.3614399!4d10.4695308!16s%2Fg%2F11r8wxjh4!19sChIJ8TXSWCQoVRIRAeLZygTdzNo?authuser=0&hl=fr&rclk=1
ChIJ-RtiLizWVBIRYZF4lRP_Cw8,Louaj Mednine Tataouine Station,,False,7,,Louaj Mednine Tataouine Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMgJtIhAk9sZx3iuFlE2QJqW_2OVvpjAhonLKcq=w408-h306-k-no,Service de transport,Service de transport,3,,,,"8FVP+6X8 Louaj Mednine Tataouine Station, Medenine",,https://www.google.com/maps/place/Louaj+Mednine+Tataouine+Station/data=!4m7!3m6!1s0x1254d62c2e621bf9:0xf0bff1395789161!8m2!3d33.3430404!4d10.4874393!16s%2Fg%2F11c2qvw_xx!19sChIJ-RtiLizWVBIRYZF4lRP_Cw8?authuser=0&hl=fr&rclk=1
ChIJgzIMeh4pVRIR6OlOLz9Pqlo,Station de louage et bus,,False,6,,Station de louage et bus (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YNnw9CeL7bXIA3O5je9klQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=31.431213&pitch=0&thumbfov=100,Guichet de gare,Guichet de gare,2.3,,,,"9F69+9PV Station de louage et bus, Medenine",,https://www.google.com/maps/place/Station+de+louage+et+bus/data=!4m7!3m6!1s0x1255291e7a0c3283:0x5aaa4f3f2f4ee9e8!8m2!3d33.3605999!4d10.4687594!16s%2Fg%2F11rzq00g_r!19sChIJgzIMeh4pVRIR6OlOLz9Pqlo?authuser=0&hl=fr&rclk=1
ChIJuWdklCjWVBIRz6t52JZvlec,mHT@ lnql lryfy,,False,5,https://djerba--hotel.blogspot.com/p/taxi-rank.html,mHT@ lnql lryfy (proprietaire),,,Station de taxis,Station de taxis,4.2,,,,"8FWV+WV3 mHT@ lnql lryfy, Medenine",,https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%86%D9%82%D9%84+%D8%A7%D9%84%D8%B1%D9%8A%D9%81%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1254d628946467b9:0xe7956f96d879abcf!8m2!3d33.3472506!4d10.4946648!16s%2Fg%2F11f3x6009z!19sChIJuWdklCjWVBIRz6t52JZvlec?authuser=0&hl=fr&rclk=1
ChIJ16AWqi3WVBIRIS1mAkmPuf8,Central Louage Station,,False,3,,Central Louage Station (proprietaire),,,Service de transport,Service de transport,5,,,,"8FVQ+722 Central Louage Station, Medenine",,https://www.google.com/maps/place/Central+Louage+Station/data=!4m7!3m6!1s0x1254d62daa16a0d7:0xffb98f4902662d21!8m2!3d33.3431253!4d10.487504!16s%2Fg%2F11hbntz8l3!19sChIJ16AWqi3WVBIRIS1mAkmPuf8?authuser=0&hl=fr&rclk=1
ChIJG5eW_yvWVBIRsb6cScAUiW4,Medenine Centre,,False,2,,Medenine Centre (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdekdp1UB2GMxFxKELCDF2NKYbjDA5-u-7knIk=w408-h458-k-no,Arret de bus,Arret de bus,4,,,,"Medenine Centre, Medenine",,https://www.google.com/maps/place/Medenine+Centre/data=!4m7!3m6!1s0x1254d62bff96971b:0x6e8914c0499cbeb1!8m2!3d33.34603!4d10.490132!16s%2Fg%2F11jg82j5yt!19sChIJG5eW_yvWVBIRsb6cScAUiW4?authuser=0&hl=fr&rclk=1
ChIJMSOc_ivWVBIRXm7L-dSqpdo,Gare Des Bus,,False,2,,Gare Des Bus (proprietaire),,,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.5,,,,"8FWR+G2C Gare Des Bus, Medenine",,https://www.google.com/maps/place/Gare+Des+Bus/data=!4m7!3m6!1s0x1254d62bfe9c2331:0xdaa5aad4f9cb6e5e!8m2!3d33.3463008!4d10.4900061!16s%2Fg%2F11c1nxv5yy!19sChIJMSOc_ivWVBIRXm7L-dSqpdo?authuser=0&hl=fr&rclk=1
ChIJ91um8CrWVBIRBdW4P2bS31E,Station du Transport Rural Medenine Nord,,False,2,,Station du Transport Rural Medenine Nord (proprietaire),,,Station-service,Station-service,3,,,,"8FXP+VRJ Station du Transport Rural Medenine Nord, Medenine",,https://www.google.com/maps/place/Station+du+Transport+Rural+Medenine+Nord/data=!4m7!3m6!1s0x1254d62af0a65bf7:0x51dfd2663fb8d505!8m2!3d33.3497051!4d10.4870292!16s%2Fg%2F11cs0s0dy2!19sChIJ91um8CrWVBIRBdW4P2bS31E?authuser=0&hl=fr&rclk=1
