place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJX-JDfkF1AhMRseeVfnL-2SU,mHT@ llwjt,,False,190,,mHT@ llwjt (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNY2pHjdA3qsnmv352LhjjtA2w5xbRxA0bLBrFN=w408-h544-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.4,,,,"mHT@ llwjt, 1 Rue El Masjed El Aksa, Sousse 4000","prix, ticket, minibus, van, train, systeme, driver",https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%84%D9%88%D8%A7%D8%AC%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x130275417e43e25f:0x25d9fe727e95e7b1!8m2!3d35.8093704!4d10.6366586!16s%2Fg%2F11dylq5vh_!19sChIJX-JDfkF1AhMRseeVfnL-2SU?authuser=0&hl=fr&rclk=1
ChIJ7TrB3md1AhMRjJtcuir3Z3s,Station de Transport Terrestre,,False,14,,Station de Transport Terrestre (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh56apuRNVZPBGTns4jS8mRQDW2wQF4924Tr2K=w408-h306-k-no,Gare routiere,Gare routiere,3.6,,,,"Station de Transport Terrestre, Sousse",,https://www.google.com/maps/place/Station+de+Transport+Terrestre/data=!4m7!3m6!1s0x13027567dec13aed:0x7b67f72aba5c9b8c!8m2!3d35.8143774!4d10.630389!16s%2Fg%2F1tml7lq8!19sChIJ7TrB3md1AhMRjJtcuir3Z3s?authuser=0&hl=fr&rclk=1
ChIJYwsfKuv1_RIRK9Ykx-LzMQw,M'Saken,,False,12,,M'Saken (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMGBKwzo15XUq8dl1P2wK-X4L5fp3Fea9_FSIr9=w408-h306-k-no,Gare,Gare,4.3,,,,"M'Saken, Masakin",,https://www.google.com/maps/place/M%27Saken/data=!4m7!3m6!1s0x12fdf5eb2a1f0b63:0xc31f3e2c724d62b!8m2!3d35.7288265!4d10.5998262!16s%2Fg%2F1hd_kj701!19sChIJYwsfKuv1_RIRK9Ykx-LzMQw?authuser=0&hl=fr&rclk=1
ChIJ_RAlZs71_RIRyucgfNi9M0Y,Bus 22 Jenan Houas,,False,4,,Bus 22 Jenan Houas (proprietaire),,,Arret de bus,Arret de bus,3.8,,,,"Bus 22 Jenan Houas, M'saken",,https://www.google.com/maps/place/Bus+22+Jenan+Houas/data=!4m7!3m6!1s0x12fdf5ce662510fd:0x4633bdd87c20e7ca!8m2!3d35.7221315!4d10.5814299!16s%2Fg%2F1hhk5qp0_!19sChIJ_RAlZs71_RIRyucgfNi9M0Y?authuser=0&hl=fr&rclk=1
ChIJ2YMcgcX1_RIR6uGxuvPTBts,Gare de bus STS,,False,3,,Gare de bus STS (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcZlDQzRFWfZQCrcAez_xXYgimgniWyIqO5xhw=w408-h725-k-no,Arret de bus,Arret de bus,4,,,,"Gare de bus STS, M'saken",,https://www.google.com/maps/place/Gare+de+bus+STS/data=!4m7!3m6!1s0x12fdf5c5811c83d9:0xdb06d3f3bab1e1ea!8m2!3d35.7334059!4d10.5746862!16s%2Fg%2F1hf06016l!19sChIJ2YMcgcX1_RIR6uGxuvPTBts?authuser=0&hl=fr&rclk=1
ChIJ7f-hljL0_RIR2xQpgque6u0,BUS 22 El Foundok,,False,3,,BUS 22 El Foundok (proprietaire),,,Arret de bus,Arret de bus,4,,,,"BUS 22 El Foundok, P1, M'saken",,https://www.google.com/maps/place/BUS+22+El+Foundok/data=!4m7!3m6!1s0x12fdf43296a1ffed:0xedea9eab822914db!8m2!3d35.7218136!4d10.5729514!16s%2Fg%2F11rr_9bbv!19sChIJ7f-hljL0_RIR2xQpgque6u0?authuser=0&hl=fr&rclk=1
ChIJq8kdJsn1_RIR1621a3e8VSU,Bus 22 Essouk,,False,3,,Bus 22 Essouk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYXaO7U09A8iaCsEK5Z3Civo9ULxg3hISCfz3l=w408-h839-k-no,Arret de bus,Arret de bus,3.3,,,,"Bus 22 Essouk, Rue Farhat Hached, M'saken",,https://www.google.com/maps/place/Bus+22+Essouk/data=!4m7!3m6!1s0x12fdf5c9261dc9ab:0x2555bc776bb5add7!8m2!3d35.7260358!4d10.5827737!16s%2Fg%2F1hhhh9bcd!19sChIJq8kdJsn1_RIR1621a3e8VSU?authuser=0&hl=fr&rclk=1
ChIJ-c4gezT0_RIRyMLLdPTvVfI,BUS 22 EL MARKEZ,,False,3,,BUS 22 EL MARKEZ (proprietaire),,,Arret de bus,Arret de bus,3,,,,"BUS 22 EL MARKEZ, P1, M'saken",,https://www.google.com/maps/place/BUS+22+EL+MARKEZ/data=!4m7!3m6!1s0x12fdf4347b20cef9:0xf255eff474cbc2c8!8m2!3d35.7269787!4d10.5712885!16s%2Fg%2F1hdztw2h9!19sChIJ-c4gezT0_RIRyMLLdPTvVfI?authuser=0&hl=fr&rclk=1
ChIJX1SiUi30_RIRxUz5QS5JlCQ,Arret de BUS 22,,False,3,,Arret de BUS 22 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOAENk_9TAk6VELdHugM4_RQ6BzCLncQnl9ry6s=w426-h240-k-no,Arret de bus,Arret de bus,2.7,,,,"Arret de BUS 22, P1, M'saken",,https://www.google.com/maps/place/Arret+de+BUS+22/data=!4m7!3m6!1s0x12fdf42d52a2545f:0x2494492e41f94cc5!8m2!3d35.7200367!4d10.5745447!16s%2Fg%2F1hf2_n_xg!19sChIJX1SiUi30_RIRxUz5QS5JlCQ?authuser=0&hl=fr&rclk=1
ChIJOXQvOQULAhMRpJY2Rt_lt-w,Station autobus,,False,2,,Station autobus (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kOon9jDhVl4P5lHvj-ArZw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.327198&pitch=0&thumbfov=100,Compagnie d'autobus,Compagnie d'autobus,5,,,,"QP35+V2G Station autobus, Sahline",,https://www.google.com/maps/place/Station+autobus/data=!4m7!3m6!1s0x13020b05392f7439:0xecb7e5df463696a4!8m2!3d35.7546956!4d10.7075665!16s%2Fg%2F11jmx7nx__!19sChIJOXQvOQULAhMRpJY2Rt_lt-w?authuser=0&hl=fr&rclk=1
