place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJzV8nJbmYAhMRlIGxWMDt_-w,Societe Regionale de Transport du Gouvernorat de Nabeul,,False,45,,Societe Regionale de Transport du Gouvernorat de Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNwVraAcekaile9gXDnY9cdKCCwCH0Hm7qw0gG3=w408-h306-k-no,Societe de transport en bus et autocar,"Societe de transport en bus et autocar, Service de transport",3.6,,,72 287 000,"FP3G+358 Societe Regionale de Transport du Gouvernorat de Nabeul, Nabeul",confort,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+R%C3%A9gionale+de+Transport+du+Gouvernorat+de+Nabeul/data=!4m7!3m6!1s0x130298b925275fcd:0xecffedc058b18194!8m2!3d36.4526533!4d10.725463!16s%2Fg%2F1tdtylrm!19sChIJzV8nJbmYAhMRlIGxWMDt_-w?authuser=0&hl=fr&rclk=1
ChIJ6T_64Qdh_RIRBGg6ow7oo74,Gare de Bir Bouregba,,False,42,,Gare de Bir Bouregba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNV5dkXzvKqsIxbokJlIR2CbSsYRYJnIvCE8CtL=w408-h544-k-no,Gare,Gare,3.8,,,,"Gare de Bir Bouregba, Bir Bou Rekba",,https://www.google.com/maps/place/Gare+de+Bir+Bouregba/data=!4m7!3m6!1s0x12fd6107e1fa3fe9:0xbea3e80ea33a6804!8m2!3d36.4304892!4d10.5736622!16s%2Fg%2F1tcw0jc8!19sChIJ6T_64Qdh_RIRBGg6ow7oo74?authuser=0&hl=fr&rclk=1
ChIJjTY-rAeiAhMR8EWs-F08_Tk,TotalEnergies - NABEUL,,False,30,https://services.totalenergies.tn/,TotalEnergies - NABEUL (proprietaire),https://www.google.com/maps/contrib/108125090607641723985,https://lh5.googleusercontent.com/p/AF1QipPdfkQFmTXuF-BBto87_TGCuf41LUKDXcKEnycU=w408-h305-k-no,Station-service,Station-service,4.3,Ouvert 24h/24,,,"TotalEnergies - NABEUL, Rte Periph. Nabeul - Hammamet, Nabeul 8000",,https://www.google.com/maps/place/TotalEnergies+-+NABEUL/data=!4m7!3m6!1s0x1302a207ac3e368d:0x39fd3c5df8ac45f0!8m2!3d36.4733697!4d10.7187745!16s%2Fg%2F11ddy0fv0d!19sChIJjTY-rAeiAhMR8EWs-F08_Tk?authuser=0&hl=fr&rclk=1
ChIJFcufK7-YAhMRpQccV-bvaUQ,Station Louage Nabeul,,False,26,,Station Louage Nabeul (proprietaire),,,Service de transport,Service de transport,3.8,,,,"FP2H+GXC Station Louage Nabeul, Av. Habib Thameur, Nabeul",,https://www.google.com/maps/place/Station+Louage+Nabeul/data=!4m7!3m6!1s0x130298bf2b9fcb15:0x4469efe6571c07a5!8m2!3d36.4513108!4d10.7298939!16s%2Fg%2F11g6_6q6d8!19sChIJFcufK7-YAhMRpQccV-bvaUQ?authuser=0&hl=fr&rclk=1
ChIJ2ejHrJWYAhMRWRFPi5pA6BA,Nabeul Voyageurs,,False,22,,Nabeul Voyageurs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCd8cl6HBqhsN_gXTvAcOFfXInsYFjr_TlpjhL=w408-h271-k-no,Gare,Gare,4,,,,"Nabeul Voyageurs, Nabeul",,https://www.google.com/maps/place/Nabeul+Voyageurs/data=!4m7!3m6!1s0x13029895acc7e8d9:0x10e8409a8b4f1159!8m2!3d36.450946!4d10.7353029!16s%2Fg%2F1tnkhzk0!19sChIJ2ejHrJWYAhMRWRFPi5pA6BA?authuser=0&hl=fr&rclk=1
ChIJv2TyFL2YAhMRCSTMwTuq63A,Kiosque Agil Nabeul,,False,18,,Kiosque Agil Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNSWZLnltLgZBQkswH6lEPwXZpDSrwo97OujTkh=w507-h240-k-no,Station-service,Station-service,4,Ouvert 24h/24,,50 107 955,"FP4J+X8F Kiosque Agil Nabeul, C27, Nabeul",,https://www.google.com/maps/place/Kiosque+Agil+Nabeul/data=!4m7!3m6!1s0x130298bd14f264bf:0x70ebaa3bc1cc2409!8m2!3d36.4574472!4d10.7307887!16s%2Fg%2F1thjq2h_!19sChIJv2TyFL2YAhMRCSTMwTuq63A?authuser=0&hl=fr&rclk=1
ChIJn8EaU76YAhMR6YehVEnlPQI,Bus Station,,False,18,,Bus Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPYkb9sAYDtFydfC9pNjnCWfUTFo5NWZ-O--1L_=w408-h306-k-no,Gare routiere,Gare routiere,4.1,,,,"Bus Station, Nabeul",,https://www.google.com/maps/place/Bus+Station/data=!4m7!3m6!1s0x130298be531ac19f:0x23de54954a187e9!8m2!3d36.4515643!4d10.7296467!16s%2Fg%2F1tc_ypqj!19sChIJn8EaU76YAhMR6YehVEnlPQI?authuser=0&hl=fr&rclk=1
ChIJ6QKv8l2ZAhMReax6gGiLhQ0,Gare de Nabeul,,False,15,,Gare de Nabeul (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOOdvZR-5Dw43nr49QnxuGS11NZngr8vp_kVHKI=w408-h272-k-no,Services ferroviaires,Services ferroviaires,3.6,,,,"FP2P+95V Gare de Nabeul, Unnamed Road, Av. Habib Bourguiba, Nabeul",,https://www.google.com/maps/place/Gare+de+Nabeul/data=!4m7!3m6!1s0x1302995df2af02e9:0xd858b68807aac79!8m2!3d36.4509826!4d10.7354205!16s%2Fg%2F11h2mwrn1q!19sChIJ6QKv8l2ZAhMReax6gGiLhQ0?authuser=0&hl=fr&rclk=1
ChIJg0vIsO4zHRMRPIy4VqkZBU4,SRTGN (station Kelibia),,False,14,,SRTGN (station Kelibia) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh8JqdogZf669jaTy_5WJfAxuzmfh4nmBeD2N3=w408-h544-k-no,Gare routiere,Gare routiere,3.4,,,,"SRTGN (station Kelibia), C27, Kelibia",,https://www.google.com/maps/place/SRTGN+%28station+K%C3%A9libia%29/data=!4m7!3m6!1s0x131d33eeb0c84b83:0x4e0519a956b88c3c!8m2!3d36.8482343!4d11.0875747!16s%2Fg%2F1ydpk1bkr!19sChIJg0vIsO4zHRMRPIy4VqkZBU4?authuser=0&hl=fr&rclk=1
ChIJJ8L00OOeAhMRfeDnZw0V0xE,Mrezka,,False,13,,Mrezka (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNv8IrDddnB3mtButVtnDA_38vw-5a0UXWm5pV8=w408-h544-k-no,Gare,Gare,3.8,,,,"Mrezka, Route Touristique, Nabeul",,https://www.google.com/maps/place/Mrezka/data=!4m7!3m6!1s0x13029ee3d0f4c227:0x11d3150d67e7e07d!8m2!3d36.428165!4d10.6810981!16s%2Fg%2F1thknxtc!19sChIJJ8L00OOeAhMRfeDnZw0V0xE?authuser=0&hl=fr&rclk=1
ChIJR2kucr2YAhMRIoQwWs-G_qY,OLA,,False,12,,OLA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOnYNadRhvUdKWrQZyHSNyKGqNxU5BQgD1nB-sH=w426-h240-k-no,Station-service,Station-service,3.5,,,22 830 000,"FP4J+PF5 OLA, Nabeul",,https://www.google.com/maps/place/OLA/data=!4m7!3m6!1s0x130298bd722e6947:0xa6fe86cf5a308422!8m2!3d36.4567684!4d10.7312321!16s%2Fg%2F1hdzmxbxs!19sChIJR2kucr2YAhMRIoQwWs-G_qY?authuser=0&hl=fr&rclk=1
ChIJd0T_i1OZAhMR26g9HlSGjYo,OLA ENERGY NABEUL 2,,False,12,,OLA ENERGY NABEUL 2 (proprietaire),https://www.google.com/maps/contrib/115054688633314256507,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GAyQTb7sO5uEVHFJibq6Ug&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.46484&pitch=0&thumbfov=100,Station-service,"Station-service, Station de lavage automobile, Service de vidange d'huile, Magasin de pneus",4.8,Ouvert 24h/24,,72 286 801,"OLA ENERGY NABEUL 2, Nabeul",,https://www.google.com/maps/place/OLA+ENERGY+NABEUL+2/data=!4m7!3m6!1s0x130299538bff4477:0x8a8d86541e3da8db!8m2!3d36.4589696!4d10.7274344!16s%2Fg%2F11gjb3f4pv!19sChIJd0T_i1OZAhMR26g9HlSGjYo?authuser=0&hl=fr&rclk=1
ChIJ2SSn_b6hAhMRFqFP33KQ-F8,Station Shell Hadidane,,False,9,https://find.shell.com/tn/fuel/TN_1400004-nabeul-mc-27,Station Shell Hadidane (proprietaire),https://www.google.com/maps/contrib/118080462454465279661,https://lh5.googleusercontent.com/p/AF1QipPIL3mMWvXEBsLxnpfxk5S2l05gAwBaUp5YlJ2J=w408-h270-k-no,Station-service,"Station-service, Station essence de carburants alternatifs, Superette",4.6,Ouvert 24h/24,,71 249 149,"Station Shell Hadidane, R27 Avenue Habib Bourguiba, Nabeul 8000",,https://www.google.com/maps/place/Station+Shell+Hadidane/data=!4m7!3m6!1s0x1302a1befda724d9:0x5ff89072df4fa116!8m2!3d36.48175!4d10.7024167!16s%2Fg%2F11h6qjz8z5!19sChIJ2SSn_b6hAhMRFqFP33KQ-F8?authuser=0&hl=fr&rclk=1
ChIJhxtIY_BQ_RIRJM3GPwdEcM0,Station Bus SRTGN,,False,7,,Station Bus SRTGN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwD7fmz7uz4ZlNAgXrTUpKxqf_bmHGTPX5O86g=w408-h306-k-no,Gare routiere,Gare routiere,3.3,,,,"Station Bus SRTGN, Avenue de la Republique, C26, Sulayman",,https://www.google.com/maps/place/Station+Bus+SRTGN/data=!4m7!3m6!1s0x12fd50f063481b87:0xcd7044073fc6cd24!8m2!3d36.6932053!4d10.4933088!16s%2Fg%2F1hhwc8trl!19sChIJhxtIY_BQ_RIRJM3GPwdEcM0?authuser=0&hl=fr&rclk=1
