place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7TrB3md1AhMRjJtcuir3Z3s,Station de Transport Terrestre,,False,14,,Station de Transport Terrestre (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh56apuRNVZPBGTns4jS8mRQDW2wQF4924Tr2K=w408-h306-k-no,Gare routiere,Gare routiere,3.6,,,,"Station de Transport Terrestre, Sousse",,https://www.google.com/maps/place/Station+de+Transport+Terrestre/data=!4m7!3m6!1s0x13027567dec13aed:0x7b67f72aba5c9b8c!8m2!3d35.8143774!4d10.630389!16s%2Fg%2F1tml7lq8!19sChIJ7TrB3md1AhMRjJtcuir3Z3s?authuser=0&hl=fr&rclk=1
ChIJr0YxhzP0_RIR-SC55awPSwQ,Station OLA,,False,12,,Station OLA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipODyjvew-a6Cns8p1b38Q6Qlk81p6-5nck9X3sC=w408-h544-k-no,Station-service,Station-service,4.1,Ouvert 24h/24,,,"PHGC+FHV Station OLA, P1, M'saken",,https://www.google.com/maps/place/Station+OLA/data=!4m7!3m6!1s0x12fdf433873146af:0x44b0face5b920f9!8m2!3d35.726247!4d10.5714306!16s%2Fg%2F11bbrgnplt!19sChIJr0YxhzP0_RIR-SC55awPSwQ?authuser=0&hl=fr&rclk=1
ChIJJeJaVcwLAhMRPVaOY5cdkC4,Station service Agil OUERDANINE,,False,6,,Station service Agil OUERDANINE (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ye3SENYOhI7XU-Cygb4uOQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.362354&pitch=0&thumbfov=100,Station-service,Station-service,4.8,Ouvert 24h/24,,,"PM89+328 Station service Agil OUERDANINE, C100e, Ouardanine",,https://www.google.com/maps/place/Station+service+Agil+OUERDANINE/data=!4m7!3m6!1s0x13020bcc555ae225:0x2e901d97638e563d!8m2!3d35.7151652!4d10.6675637!16s%2Fg%2F11b77ll4b7!19sChIJJeJaVcwLAhMRPVaOY5cdkC4?authuser=0&hl=fr&rclk=1
ChIJRSGcIcILAhMR8poPmYS-eBU,Oilibya,,False,3,,Oilibya (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jo7vjoOmsjHLx4xYOXk1Pg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.32086&pitch=0&thumbfov=100,Station-service,Station-service,3.7,Ouvert 24h/24,,,"PM8P+977 Oilibya, Ouardanine",,https://www.google.com/maps/place/Oilibya/data=!4m7!3m6!1s0x13020bc2219c2145:0x1578be84990f9af2!8m2!3d35.7159187!4d10.6856763!16s%2Fg%2F11c56chb1f!19sChIJRSGcIcILAhMR8poPmYS-eBU?authuser=0&hl=fr&rclk=1
ChIJ45LwwgALAhMRmp6JvrNwswY,Station lavage Wawa,,False,3,,Station lavage Wawa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNXk1jw4NU1H7elM4hlHfGHy8ZYxlzrpozRbzQ=w408-h543-k-no,Station-service,Station-service,4.7,09:30-05:30,,99 760 228,"PM77+WXR Station lavage Wawa, Ouardanine",,https://www.google.com/maps/place/Station+lavage+Wawa/data=!4m7!3m6!1s0x13020b00c2f092e3:0x6b370b3be899e9a!8m2!3d35.7149681!4d10.6649562!16s%2Fg%2F11vc4n6xd5!19sChIJ45LwwgALAhMRmp6JvrNwswY?authuser=0&hl=fr&rclk=1
ChIJZaNsK-MLAhMRMDNj6CzAehE,Station OLA ENERGY,,False,3,,Station OLA ENERGY (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMf3GI_W13VpVqe44JagI74KSCOv_V0gfHH426U=w408-h544-k-no,Station-service,Station-service,5,Ouvert 24h/24,,,"QP54+QC9 Station OLA ENERGY, Sahline",,https://www.google.com/maps/place/Station+OLA+ENERGY/data=!4m7!3m6!1s0x13020be32b6ca365:0x117ac02ce8633330!8m2!3d35.759401!4d10.7061043!16s%2Fg%2F11p0wbzj8d!19sChIJZaNsK-MLAhMRMDNj6CzAehE?authuser=0&hl=fr&rclk=1
ChIJOXQvOQULAhMRpJY2Rt_lt-w,Station autobus,,False,2,,Station autobus (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kOon9jDhVl4P5lHvj-ArZw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.327198&pitch=0&thumbfov=100,Compagnie d'autobus,Compagnie d'autobus,5,,,,"QP35+V2G Station autobus, Sahline",,https://www.google.com/maps/place/Station+autobus/data=!4m7!3m6!1s0x13020b05392f7439:0xecb7e5df463696a4!8m2!3d35.7546956!4d10.7075665!16s%2Fg%2F11jmx7nx__!19sChIJOXQvOQULAhMRpJY2Rt_lt-w?authuser=0&hl=fr&rclk=1
ChIJ8a9Hx2wNAhMRodVAQqvs2kc,Station autobus,,False,2,,Station autobus (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ddYFOxSm6P5Ua3PdM7M6UA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=162.66492&pitch=0&thumbfov=100,Compagnie d'autobus,Compagnie d'autobus,3,,,,"QQ62+RWM Station autobus, Monastir",,https://www.google.com/maps/place/Station+autobus/data=!4m7!3m6!1s0x13020d6cc747aff1:0x47daecab4240d5a1!8m2!3d35.7620786!4d10.7523007!16s%2Fg%2F11jnktty59!19sChIJ8a9Hx2wNAhMRodVAQqvs2kc?authuser=0&hl=fr&rclk=1
ChIJzX1vec8LAhMRRThQj_BPs4I,Station autobus,,False,2,,Station autobus (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iH0bVI2lwR9ocv7IXb8iGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.30228&pitch=0&thumbfov=100,Compagnie d'autobus,Compagnie d'autobus,4.5,,,,"QMFQ+7MP Station autobus, Monastir",,https://www.google.com/maps/place/Station+autobus/data=!4m7!3m6!1s0x13020bcf796f7dcd:0x82b34ff08f503845!8m2!3d35.7732239!4d10.6891907!16s%2Fg%2F11jnlq0m5s!19sChIJzX1vec8LAhMRRThQj_BPs4I?authuser=0&hl=fr&rclk=1
ChIJZzDJkL8NAhMRm5NhUnKjSFE,Station louage Sahline-Monastir,,False,1,,Station louage Sahline-Monastir (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l5C-F6XJG4rtpcgu6C5K1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.9772&pitch=0&thumbfov=100,Station de taxis,Station de taxis,4,,,,"QP26+JPX Station louage Sahline-Monastir, Sahline",,https://www.google.com/maps/place/Station+louage+Sahline-Monastir/data=!4m7!3m6!1s0x13020dbf90c93067:0x5148a3725261939b!8m2!3d35.7516248!4d10.7118553!16s%2Fg%2F11jmwrs6jy!19sChIJZzDJkL8NAhMRm5NhUnKjSFE?authuser=0&hl=fr&rclk=1
