place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJGQGiCRQ0_RIRnfDrcbeAkDQ,"Station Louage Moncef Bey, Tunis",,False,71,,"Station Louage Moncef Bey, Tunis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipP8zCOzis99rbCXBMI02K2L49Dj7GqBW6Sin3-q=w408-h306-k-no,Gare routiere,Gare routiere,3.2,,,,"Station Louage Moncef Bey, Tunis, Av. Hammouda Pacha, Tunis","prix, hygiene, voyage","https://www.google.com/maps/place/Station+Louage+Moncef+Bey,+Tunis/data=!4m7!3m6!1s0x12fd341409a20119:0x349080b771ebf09d!8m2!3d36.7911746!4d10.1873102!16s%2Fg%2F1q62jyn4j!19sChIJGQGiCRQ0_RIRnfDrcbeAkDQ?authuser=0&hl=fr&rclk=1"
ChIJtx5DsQ80_RIRTpdxQy4sDOc,Gare Routiere Sud,,False,51,,Gare Routiere Sud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMUzyQ0ECiP3lQiq9JJbJJ73zTYAoZYSFptbJFB=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Gare Routiere Sud, P1, Tunis",,https://www.google.com/maps/place/Gare+Routiere+Sud/data=!4m7!3m6!1s0x12fd340fb1431eb7:0xe70c2c2e4371974e!8m2!3d36.7875077!4d10.1796055!16s%2Fg%2F1trzscbd!19sChIJtx5DsQ80_RIRTpdxQy4sDOc?authuser=0&hl=fr&rclk=1
ChIJLTQWgt-04hIRcXPECs51JTw,Station-service Shell,,False,41,https://find.shell.com/tn/fuel/TN_10044673-gp-9,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/109129315253498262958,https://lh5.googleusercontent.com/p/AF1QipOF5APKBSqwJv9-SgFtjLlRJfFgkvPSzFybyl7r=w493-h240-k-no,Station-service,"Station-service, Distributeur de billets, Station de lavage automobile, Superette, Borne de recharge de vehicules electriques, Sandwicherie",3.6,Ouvert 24h/24,,71 249 149,"Station-service Shell, P9 Gp 9 Km 10 Rte De, Marsa 2078",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12e2b4df8216342d:0x3c2575ce0ac47371!8m2!3d36.8677628!4d10.3053441!16s%2Fg%2F12qhbxv2c!19sChIJLTQWgt-04hIRcXPECs51JTw?authuser=0&hl=fr&rclk=1
ChIJq_Ix9oY0_RIRjcgAZ-gJDK8,Station-service Shell,,False,18,https://find.shell.com/tn/fuel/TN_10044658-place-pasteur,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/106561466532355476899,https://lh5.googleusercontent.com/p/AF1QipPBRLMzAxA2Ib4gZYieef5vCgzWylLXFx5gr_bV=w408-h544-k-no,Station-service,"Station-service, Superette, Borne de recharge de vehicules electriques",3.6,Ouvert 24h/24,,71 249 149,"Station-service Shell, Place Pasteur 2045, Tunis 2045",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12fd3486f631f2ab:0xaf0c09e86700c88d!8m2!3d36.24745!4d10.1786306!16s%2Fg%2F11c2kv46d4!19sChIJq_Ix9oY0_RIRjcgAZ-gJDK8?authuser=0&hl=fr&rclk=1
ChIJOSsoZ3c0_RIRj30JiDO359U,Station Bus Ali Balhouene,,False,17,,Station Bus Ali Balhouene (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFCA6Eare0U9s7ehifb4MsRxBDBPL0NgZi9tOs=w408-h306-k-no,Gare routiere,Gare routiere,2.8,,,,"Station Bus Ali Balhouene, Rue Bab El Khadra, Tunis",,https://www.google.com/maps/place/Station+Bus+Ali+Balhouene/data=!4m7!3m6!1s0x12fd347767282b39:0xd5e7b73388097d8f!8m2!3d36.8066135!4d10.1743527!16s%2Fg%2F1hc1l8dlf!19sChIJOSsoZ3c0_RIRj30JiDO359U?authuser=0&hl=fr&rclk=1
ChIJu-cwlhgx_RIRhG2Tvn7g_00,Station RFR Bougatfa - Sidi Hassine,,False,17,http://rfr.tn/,Station RFR Bougatfa - Sidi Hassine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM4ldEdpna3iDeKMEVJhjgFaok3L-xSwzAfDRmf=w408-h543-k-no,Service de transport,Service de transport,4.5,Ouvert 24h/24,,,"Q4J3+42C Station RFR Bougatfa - Sidi Hassine, Rue Soliman Ben Jeljel, Tunis",,https://www.google.com/maps/place/Station+RFR+Bougatfa+-+Sidi+Hassine/data=!4m7!3m6!1s0x12fd31189630e7bb:0x4dffe07ebe936d84!8m2!3d36.7803021!4d10.1025043!16s%2Fg%2F11j10p9z29!19sChIJu-cwlhgx_RIRhG2Tvn7g_00?authuser=0&hl=fr&rclk=1
ChIJWeT3M2sy_RIROPEyebFm_XQ,Station de Metro Slimane Kehia,,False,17,,Station de Metro Slimane Kehia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN1PTJqJhYwA1cDCzACHnWszz-_ZqDJlGjQA6g3=w426-h240-k-no,Station de metro,Station de metro,4.3,,,,"Station de Metro Slimane Kehia, Manouba 2010",bus,https://www.google.com/maps/place/Station+de+M%C3%A9tro+Slimane+Kehia/data=!4m7!3m6!1s0x12fd326b33f7e459:0x74fd66b17932f138!8m2!3d36.8032156!4d10.0990925!16s%2Fg%2F1tp6lq62!19sChIJWeT3M2sy_RIROPEyebFm_XQ?authuser=0&hl=fr&rclk=1
ChIJ13hroGcy_RIRdLX3cra5hlw,Gare sncft La Manouba,,False,16,,Gare sncft La Manouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMw4QGjqW1F2_ixgJ-35ObK99E8ljkuYrm3EHHG=w408-h306-k-no,Gare,Gare,3.9,,,,"Gare sncft La Manouba, Tunis 2010",,https://www.google.com/maps/place/Gare+sncft+La+Manouba/data=!4m7!3m6!1s0x12fd3267a06b78d7:0x5c86b9b672f7b574!8m2!3d36.8159636!4d10.1015162!16s%2Fg%2F1ttxf03s!19sChIJ13hroGcy_RIRdLX3cra5hlw?authuser=0&hl=fr&rclk=1
ChIJA2XVgh1L_RIRyj7D_-3r5rM,Goulette Neuve,,False,12,,Goulette Neuve (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOiDZCoFmNnQfUEEkNryAzgnW8yYMR4QFgdVbki=w408-h544-k-no,Gare,Gare,4.3,,,,"Goulette Neuve, La Goulette",,https://www.google.com/maps/place/Goulette+Neuve/data=!4m7!3m6!1s0x12fd4b1d82d56503:0xb3e6ebedffc33eca!8m2!3d36.8199141!4d10.3056292!16s%2Fg%2F1tg97wwm!19sChIJA2XVgh1L_RIRyj7D_-3r5rM?authuser=0&hl=fr&rclk=1
ChIJwwj1I38t_RIRQADD_6pGLhM,Cite khaled ibn alwalid manouba tunis,,False,10,,Cite khaled ibn alwalid manouba tunis (proprietaire),,,Arret de bus,Arret de bus,2.9,,,,Cite khaled ibn alwalid manouba tunis,,https://www.google.com/maps/place/Cit%C3%A9+khaled+ibn+alwalid+manouba+tunis/data=!4m7!3m6!1s0x12fd2d7f23f508c3:0x132e46aaffc30040!8m2!3d36.8284076!4d10.0761526!16s%2Fg%2F12vszvwwz!19sChIJwwj1I38t_RIRQADD_6pGLhM?authuser=0&hl=fr&rclk=1
ChIJbRnuLCw2_RIRGH2GalOMSTI,Shell,,False,9,https://find.shell.com/tn/fuel/TN_10090437-ezzahra-ii,Shell (proprietaire),https://www.google.com/maps/contrib/109305157895514922137,https://lh5.googleusercontent.com/p/AF1QipOD4ncrrWc2Mgk6r74pV44tjmUXfG1hOd-mJ55E=w408-h306-k-no,Station-service,"Station-service, Superette, Borne de recharge de vehicules electriques",3.9,Ouvert 24h/24,,71 249 149,"Shell, C35 A 22 Route Nationale Mc 39, Ben A Arous, 2034",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd362c2cee196d:0x32498c536a867d18!8m2!3d36.7305652!4d10.251152!16s%2Fg%2F1pp2vb8hz!19sChIJbRnuLCw2_RIRGH2GalOMSTI?authuser=0&hl=fr&rclk=1
ChIJk5x1aN8z_RIReGJjWAe6Q40,Station Meftah Saadallah,,False,9,https://www.transtu.tn/ar/,Station Meftah Saadallah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO-dk6stO7mnAJROv34vluMAMU4v25BgIckjHzE=w408-h306-k-no,Service de transport,Service de transport,2.3,,,,"R574+6FG Station Meftah Saadallah, Rue Meftah Saadallah, Tunis",,https://www.google.com/maps/place/Station+Meftah+Saadallah/data=!4m7!3m6!1s0x12fd33df68759c93:0x8d43ba0758636278!8m2!3d36.8130622!4d10.1562147!16s%2Fg%2F11ffmn0xsw!19sChIJk5x1aN8z_RIReGJjWAe6Q40?authuser=0&hl=fr&rclk=1
ChIJrd8PrrQt_RIRnMrt-mcxoRs,Station Campus Manouba,,False,8,,Station Campus Manouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkenUABjHFZHWzO-LKou7Yazxkw2s8D7GEOVNS=w426-h240-k-no,Service de transport,Service de transport,3,,,,"R375+X2M Station Campus Manouba, Manouba",,https://www.google.com/maps/place/Station+Campus+Manouba/data=!4m7!3m6!1s0x12fd2db4ae0fdfad:0x1ba13167faedca9c!8m2!3d36.8149632!4d10.0575368!16s%2Fg%2F11mhv2xhc4!19sChIJrd8PrrQt_RIRnMrt-mcxoRs?authuser=0&hl=fr&rclk=1
ChIJFdueH4Mt_RIRBH44VofhFk4,Station-service TotalEnergies OUED ELLIL,,False,8,https://services.totalenergies.tn/,Station-service TotalEnergies OUED ELLIL (proprietaire),https://www.google.com/maps/contrib/110026927420822675943,https://lh5.googleusercontent.com/p/AF1QipNP2UCqE2soNPpTS0OyVccy7huXga22FUWS08Q=w408-h306-k-no,Station-service,Station-service,3.6,Ouvert 24h/24,,71 621 394,"Station-service TotalEnergies OUED ELLIL, RN 7, Oued Ellil 2021",,https://www.google.com/maps/place/Station-service+TotalEnergies+OUED+ELLIL/data=!4m7!3m6!1s0x12fd2d831f9edb15:0x4e16e18756387e04!8m2!3d36.8238317!4d10.0708811!16s%2Fg%2F11c602xkty!19sChIJFdueH4Mt_RIRBH44VofhFk4?authuser=0&hl=fr&rclk=1
ChIJcaVU9eYy_RIR41C4nZO5_TQ,mHT@ ltrbT blnTlq@,,False,8,,mHT@ ltrbT blnTlq@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPDft_EXWBVttgX7K_I_47t1TY5NpUwTOPLFx05=w408-h544-k-no,Gare routiere,Gare routiere,3.6,,,,"mHT@ ltrbT blnTlq@, Tunis",,https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%A8%D8%B7+%D8%A8%D8%A7%D9%84%D8%A5%D9%86%D8%B7%D9%84%D8%A7%D9%82%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd32e6f554a571:0x34fdb9939db850e3!8m2!3d36.8399084!4d10.1172046!16s%2Fg%2F1tq1l16v!19sChIJcaVU9eYy_RIR41C4nZO5_TQ?authuser=0&hl=fr&rclk=1
ChIJg21LPVAy_RIRVfQsq6e42eg,Station-service Shell,,False,7,https://find.shell.com/tn/fuel/TN_10044677-ksar-said,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/106584400108787096598,https://lh5.googleusercontent.com/p/AF1QipP1bJxFv51pyHnUkuKwK7lwSX1m9mKSuiqBLznU=w408-h544-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",3.7,Ouvert 24h/24,,71 249 149,"Station-service Shell, Route Nationale 7 Ksar Said Rte Oued Ellil Gp7 Pk2 Manouba 2080 Ksar Said, 2037",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12fd32503d4b6d83:0xe8d9b8a7ab2cf455!8m2!3d36.812807!4d10.1156881!16s%2Fg%2F1tydq4p1!19sChIJg21LPVAy_RIRVfQsq6e42eg?authuser=0&hl=fr&rclk=1
ChIJu5rfrXMt_RIRZTVsAr9RA1A,Station Campus Universitaire,,False,6,https://www.transtu.tn/ar/,Station Campus Universitaire (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfFLzxsUre51u_TLI8w03c1pMNvjNtbYC_6f2m=w408-h724-k-no,Service de transport,Service de transport,3.3,,,,"R376+4Q9 Station Campus Universitaire, Manouba",,https://www.google.com/maps/place/Station+Campus+Universitaire/data=!4m7!3m6!1s0x12fd2d73addf9abb:0x500351bf026c3565!8m2!3d36.812778!4d10.0619759!16s%2Fg%2F11mpcj7xkn!19sChIJu5rfrXMt_RIRZTVsAr9RA1A?authuser=0&hl=fr&rclk=1
ChIJmRwMOWsy_RIRnlOFxedQ-vM,Station Transport en Commun La Manouba,,False,5,,Station Transport en Commun La Manouba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNhohJYkg-EVbj-xv4oIYRQYb8NTMGdMVWc0TwU=w408-h726-k-no,Gare routiere,Gare routiere,4,,,,"Station Transport en Commun La Manouba, Manouba 2010",,https://www.google.com/maps/place/Station+Transport+en+Commun+La+Manouba/data=!4m7!3m6!1s0x12fd326b390c1c99:0xf3fa50e7c585539e!8m2!3d36.8037112!4d10.0994464!16s%2Fg%2F1tf4h3kw!19sChIJmRwMOWsy_RIRnlOFxedQ-vM?authuser=0&hl=fr&rclk=1
ChIJ6z3kPS4z_RIRP2PlTPFMWBE,Station RFR Ezzouhour 2,,False,5,http://rfr.tn/,Station RFR Ezzouhour 2 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrL2FP7skQGIbRul_Gn6WgK8lsfPAwZ5-_tEs1=w408-h599-k-no,Service de transport,Service de transport,4.8,Ouvert 24h/24,,,"Station RFR Ezzouhour 2, Station Train, 2",,https://www.google.com/maps/place/Station+RFR+Ezzouhour+2/data=!4m7!3m6!1s0x12fd332e3de43deb:0x11584cf14ce5633f!8m2!3d36.7879481!4d10.1276235!16s%2Fg%2F11txfyk0c9!19sChIJ6z3kPS4z_RIRP2PlTPFMWBE?authuser=0&hl=fr&rclk=1
ChIJ5c-I3oQz_RIRnXU2iev7OMI,Depot S.N.T,,False,5,,Depot S.N.T (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F_qMKg8eSym_IEt4a6vVbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.591&pitch=0&thumbfov=100,Gare routiere,Gare routiere,2.4,,,,"Depot S.N.T, Rue Rajah Ibrahim, Tunis",,https://www.google.com/maps/place/Depot+S.N.T/data=!4m7!3m6!1s0x12fd3384de88cfe5:0xc238fbeb8936759d!8m2!3d36.8099983!4d10.1601716!16s%2Fg%2F1v560p1w!19sChIJ5c-I3oQz_RIRnXU2iev7OMI?authuser=0&hl=fr&rclk=1
ChIJSTCXulgz_RIRbiSQsMyvC44,Station RFR Ettayaran - Ezzouhour 1,,False,4,http://rfr.tn/,Station RFR Ettayaran - Ezzouhour 1 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPIRF--0OyVfmdySqD4h_aPPchRRGv7zkxBQpKq=w408-h544-k-no,Service de transport,Service de transport,4.5,Ouvert 24h/24,,,"Q4RQ+HR Station RFR Ettayaran - Ezzouhour 1, Tunis",train,https://www.google.com/maps/place/Station+RFR+Ettayaran+-+Ezzouhour+1/data=!4m7!3m6!1s0x12fd3358ba973049:0x8e0bafccb090246e!8m2!3d36.7921744!4d10.1382545!16s%2Fg%2F11kj06_3k0!19sChIJSTCXulgz_RIRbiSQsMyvC44?authuser=0&hl=fr&rclk=1
ChIJ____b5gr_RIRs7n3Dv2HJ0o,Societe Soueyah Transport,,False,4,,Societe Soueyah Transport (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNTzFXC5IOKlZlql9ejBzOjrEhY4t6jlM1lvrca=w408-h725-k-no,Station-service,Station-service,3.8,,,46 571 923,"RXFF+V45 Societe Soueyah Transport, Essaida",,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+Soueyah+Transport/data=!4m7!3m6!1s0x12fd2b986fffffff:0x4a2787fd0ef7b9b3!8m2!3d36.8246269!4d9.9728471!16s%2Fg%2F11c6cqh4rl!19sChIJ____b5gr_RIRs7n3Dv2HJ0o?authuser=0&hl=fr&rclk=1
ChIJ6XhDwnE1_RIRAlwWvbRsUys,Station Nelson-Mandela direction Place de la Republique,,False,4,https://www.transtu.tn/fr/,Station Nelson-Mandela direction Place de la Republique (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xbpuTDUngtjbY14NA2bNXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=210.06757&pitch=0&thumbfov=100,Service de transport,Service de transport,4.3,,,,"Station Nelson-Mandela direction Place de la Republique, 44 Rue Nelson Mandela, Tunis 1002",,https://www.google.com/maps/place/Station+Nelson-Mandela+direction+Place+de+la+R%C3%A9publique/data=!4m7!3m6!1s0x12fd3571c24378e9:0x2b536cb4bd165c02!8m2!3d36.811233!4d10.1825466!16s%2Fg%2F11pz_wdmnf!19sChIJ6XhDwnE1_RIRAlwWvbRsUys?authuser=0&hl=fr&rclk=1
ChIJq_GQJgEt_RIRPeBRQzkBpcs,Shell,,False,3,https://find.shell.com/tn/fuel/TN_10044675-oued-ellil,Shell (proprietaire),https://www.google.com/maps/contrib/114883345772083525987,https://lh5.googleusercontent.com/p/AF1QipM63Dz5FoP9eGY5JAi7MSKCpg1KO9LjryopvXOT=w408-h544-k-no,Station-service,"Station-service, Superette",2.7,Ouvert 24h/24,,71 249 149,"Shell, Route Nationale 7 7 Route De Mateur, Oued Ellil 2121",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x12fd2d012690f1ab:0xcba501394351e03d!8m2!3d36.8320909!4d10.0408809!16s%2Fg%2F11c311wwh6!19sChIJq_GQJgEt_RIRPeBRQzkBpcs?authuser=0&hl=fr&rclk=1
ChIJuWuXbryd_RIRuwPgeooQzqQ,Station de louage,,False,3,,Station de louage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqTgI2asTc0_2mzT_MgxYDsRIPhwr14WTEYaU8=w408-h544-k-no,Service de transport,Service de transport,3.7,,,,"49JH+QVM Station de louage, Enfidha",,https://www.google.com/maps/place/Station+de+louage/data=!4m7!3m6!1s0x12fd9dbc6e976bb9:0xa4ce108a7ae003bb!8m2!3d36.1319723!4d10.3796664!16s%2Fg%2F11g691nf2f!19sChIJuWuXbryd_RIRuwPgeooQzqQ?authuser=0&hl=fr&rclk=1
ChIJcXV7oyQy_RIRcaCNlTqVAW0,Station Bus,,False,3,,Station Bus (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1m0QVTj8qnCAifxW5fkurA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.87386&pitch=0&thumbfov=100,Arret de transports en commun,Arret de transports en commun,4.3,,,,"Station Bus, Tunis",,https://www.google.com/maps/place/Station+Bus/data=!4m7!3m6!1s0x12fd3224a37b7571:0x6d01953a958da071!8m2!3d36.7903524!4d10.1092766!16s%2Fg%2F1tf7ztt_!19sChIJcXV7oyQy_RIRcaCNlTqVAW0?authuser=0&hl=fr&rclk=1
ChIJtwdCHrwt_RIRIucX4fwmz2o,Kheireddine Station,,False,2,https://www.transtu.tn/ar/,Kheireddine Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMngdbDPSBOIQ2yOIQF3jbGE6trL-4zR8vuM4to=w408-h306-k-no,Service de transport,Service de transport,4,,,,"R384+5PF Kheireddine Station, Oued Ellil",,https://www.google.com/maps/place/Kheireddine+Station/data=!4m7!3m6!1s0x12fd2dbc1e4207b7:0x6acf26fce117e722!8m2!3d36.8154312!4d10.0567906!16s%2Fg%2F11v5dlzmrd!19sChIJtwdCHrwt_RIRIucX4fwmz2o?authuser=0&hl=fr&rclk=1
ChIJTf2SOyefAhMRDMfN0fd0coc,Les Deux Oueds,,False,2,,Les Deux Oueds (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPE-_mdeHliZCgaoORmCcoQ1GtXnWrY1RmW8wAG=w408-h541-k-no,Arret de transports en commun,Arret de transports en commun,4.5,,,,"Les Deux Oueds, Bd de l'Environnment, Nabeul",,https://www.google.com/maps/place/Les+Deux+Oueds/data=!4m7!3m6!1s0x13029f273b92fd4d:0x877274f7d1cdc70c!8m2!3d36.4321034!4d10.6938493!16s%2Fg%2F1vqyzhmx!19sChIJTf2SOyefAhMRDMfN0fd0coc?authuser=0&hl=fr&rclk=1
ChIJY3ZU4wwt_RIRaw2-tE8epoU,Station El Gobaa,,False,2,,Station El Gobaa (proprietaire),,,Service de transport,Service de transport,4.5,,,,"R3CF+2V7 Station El Gobaa, Rue Des Oranges, Manouba",,https://www.google.com/maps/place/Station+El+Gobaa/data=!4m7!3m6!1s0x12fd2d0ce3547663:0x85a61e4fb4be0d6b!8m2!3d36.8200495!4d10.0746594!16s%2Fg%2F11qyq1m52y!19sChIJY3ZU4wwt_RIRaw2-tE8epoU?authuser=0&hl=fr&rclk=1
ChIJ1-aONxsz_RIRBgKotxcbOPw,Manouba Station,,False,2,https://www.transtu.tn/ar/,Manouba Station (proprietaire),,,Service de transport,Service de transport,3,,,,"R423+R2Q Manouba Station, Manouba",,https://www.google.com/maps/place/Manouba+Station/data=!4m7!3m6!1s0x12fd331b378ee6d7:0xfc381b17b7a80206!8m2!3d36.8020767!4d10.1026241!16s%2Fg%2F11p65w_841!19sChIJ1-aONxsz_RIRBgKotxcbOPw?authuser=0&hl=fr&rclk=1
ChIJH4bFiEQz_RIRBp4jUNBJ8ug,Station RFR Ennajah,,False,2,http://rfr.tn/,Station RFR Ennajah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNzMRhrAsyYVukqZjwrwN4BIiwM1HEu-J6AGHZf=w408-h544-k-no,Service de transport,Service de transport,4.5,06:00-18:00,,,"Q5V3+9W2 Station RFR Ennajah, Sortie Ouest, Tunis",,https://www.google.com/maps/place/Station+RFR+Ennajah/data=!4m7!3m6!1s0x12fd334488c5861f:0xe8f249d050239e06!8m2!3d36.793378!4d10.1547573!16s%2Fg%2F11fpq9vxdr!19sChIJH4bFiEQz_RIRBp4jUNBJ8ug?authuser=0&hl=fr&rclk=1
ChIJI7b2sd41_RIRd0QIcfGev40,Station habib Thameur,,False,2,,Station habib Thameur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPt2gAwtaAlIPzP6fxquNFefUU-4EomvoYO8e4h=w408-h544-k-no,Service de transport,Service de transport,2,,,,"R53G+MW5 Station habib Thameur, Rue D'Antioche, Tunis",,https://www.google.com/maps/place/Station+habib+Thameur/data=!4m7!3m6!1s0x12fd35deb1f6b623:0x8dbf9ef171084477!8m2!3d36.8040843!4d10.1775696!16s%2Fg%2F11k5889897!19sChIJI7b2sd41_RIRd0QIcfGev40?authuser=0&hl=fr&rclk=1
ChIJvbgQb29qVhIRYJJCuIY0-YY,Station Transport Urbaine,,False,1,,Station Transport Urbaine (proprietaire),,,Station-service,Station-service,4,,,,"QVH2+G9H Station Transport Urbaine, Souk Lahad",,https://www.google.com/maps/place/Station+Transport+Urbaine/data=!4m7!3m6!1s0x12566a6f6f10b8bd:0x86f93486b8429260!8m2!3d33.7788075!4d8.8509818!16s%2Fg%2F11gf5_6hjt!19sChIJvbgQb29qVhIRYJJCuIY0-YY?authuser=0&hl=fr&rclk=1
ChIJl4foNqc1_RIRaXqtEetQNZo,Gare routiere tunis sud,,False,1,,Gare routiere tunis sud (proprietaire),,,Service de transport,Service de transport,3,,,,"Q5QF+MG8 Gare routiere tunis sud, Tunis",,https://www.google.com/maps/place/Gare+routi%C3%A8re+tunis+sud/data=!4m7!3m6!1s0x12fd35a736e88797:0x9a3550eb11ad7a69!8m2!3d36.7891711!4d10.1738274!16s%2Fg%2F11vd5chch9!19sChIJl4foNqc1_RIRaXqtEetQNZo?authuser=0&hl=fr&rclk=1
ChIJT2pTHFW7qhMRUnsezfXk4M8,mHT@ jm` llyl,,False,1,,mHT@ jm` llyl (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTiFThLNccA0ZenqfJAQmj0mrh7d_L9YfxofDG=w408-h305-k-no,Compagnie d'autobus,Compagnie d'autobus,5,,,,"QRMR+GVG mHT@ jm` llyl, C209, Oued Zbib",,https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%AC%D8%A7%D9%85%D8%B9+%D8%A7%D9%84%D9%84%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x13aabb551c536a4f:0xcfe0e4f5cd1e7b52!8m2!3d33.7838159!4d10.8422154!16s%2Fg%2F11smb4hxqm!19sChIJT2pTHFW7qhMRUnsezfXk4M8?authuser=0&hl=fr&rclk=1
