place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-5QWU8oSAhMRgnA_jR8bf5I,Monastir,,False,70,,Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOEk7QEXgZjujarW7dL8HTiFV83ztwKGovVNDZs=w408-h306-k-no,Gare,Gare,3.9,,,,Monastir,touristes,https://www.google.com/maps/place/Monastir/data=!4m7!3m6!1s0x130212ca531694fb:0x927f1b1f8d3f7082!8m2!3d35.7706263!4d10.8252907!16s%2Fm%2F0131k7w1!19sChIJ-5QWU8oSAhMRgnA_jR8bf5I?authuser=0&hl=fr&rclk=1
ChIJ2eJ1oMsSAhMR3aZksxdmEkE,Gare Ferroviaire Habib-Bourguiba de Monastir - SNCFT,,False,63,https://www.sncft.com.tn/,Gare Ferroviaire Habib-Bourguiba de Monastir - SNCFT (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNe3XrKvVBpZlc02asbTPftol_myc-_BgoWVGmY=w408-h271-k-no,Guichet de gare,Guichet de gare,3.6,05:00-22:00,,73 460 755,"QRCG+9J7 Gare Ferroviaire Habib-Bourguiba de Monastir - SNCFT, Monastir",,https://www.google.com/maps/place/Gare+Ferroviaire+Habib-Bourguiba+de+Monastir+-+SNCFT/data=!4m7!3m6!1s0x130212cba075e2d9:0x41126617b364a6dd!8m2!3d35.770921!4d10.8265489!16s%2Fg%2F11fx7t7lv4!19sChIJ2eJ1oMsSAhMR3aZksxdmEkE?authuser=0&hl=fr&rclk=1
ChIJt-2sr8sSAhMR9AVdPVbgzF8,Station Louage Monastir-Jammel-Ksar Hellal,,False,31,,Station Louage Monastir-Jammel-Ksar Hellal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNbSX-Qr6DSSJQ2n_Y8-633HuHD_7OS4tps5woz=w408-h342-k-no,Station de taxis,Station de taxis,3.3,,,,"QRCG+59V Station Louage Monastir-Jammel-Ksar Hellal, Monastir",,https://www.google.com/maps/place/Station+Louage+Monastir-Jammel-Ksar+Hellal/data=!4m7!3m6!1s0x130212cbafacedb7:0x5fcce0563d5d05f4!8m2!3d35.7704824!4d10.8259314!16s%2Fg%2F1tfdh53f!19sChIJt-2sr8sSAhMR9AVdPVbgzF8?authuser=0&hl=fr&rclk=1
ChIJEzxN4ZUMAhMRCb0tR1gMbP8,Station Shell TSA Skanes-Monastir,,False,24,,Station Shell TSA Skanes-Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcgwUTGWHsQlMmTbRRMJ6VQnQ-SsAInSWL1aIc=w408-h544-k-no,Station-service,Station-service,4.2,Ouvert 24h/24,,,"QP5G+XRV Station Shell TSA Skanes-Monastir, Dkhila",,https://www.google.com/maps/place/Station+Shell+TSA+Skanes-Monastir/data=!4m7!3m6!1s0x13020c95e14d3c13:0xff6c0c58472dbd09!8m2!3d35.76!4d10.727044!16s%2Fg%2F11cs011_34!19sChIJEzxN4ZUMAhMRCb0tR1gMbP8?authuser=0&hl=fr&rclk=1
ChIJEczVKMsSAhMRSmcUY_ZiUMk,Station STS Monastir,,False,15,,Station STS Monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO8za9dwFfkgMy1sixpRsaRgaLITAXP7Z_Cg7x_=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,2.9,,,31 384 050,"QRFG+786 Station STS Monastir, Monastir",,https://www.google.com/maps/place/Station+STS+Monastir/data=!4m7!3m6!1s0x130212cb28d5cc11:0xc95062f66314674a!8m2!3d35.7731713!4d10.8257706!16s%2Fg%2F11c75m_2zt!19sChIJEczVKMsSAhMRSmcUY_ZiUMk?authuser=0&hl=fr&rclk=1
ChIJ2SWHJ8sSAhMRqCyq8hgMDK4,Gare Routiere de monastir,,False,14,,Gare Routiere de monastir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPLZm7Hnb3ZHoer2MTbX1oI7N3pN26GM_Rj7cEF=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.6,,,,"QRFG+865 Gare Routiere de monastir, Monastir",,https://www.google.com/maps/place/Gare+Routi%C3%A8re+de+monastir/data=!4m7!3m6!1s0x130212cb278725d9:0xae0c0c18f2aa2ca8!8m2!3d35.7732706!4d10.825621!16s%2Fg%2F11cr_7t30k!19sChIJ2SWHJ8sSAhMRqCyq8hgMDK4?authuser=0&hl=fr&rclk=1
ChIJ7TrB3md1AhMRjJtcuir3Z3s,Station de Transport Terrestre,,False,14,,Station de Transport Terrestre (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMh56apuRNVZPBGTns4jS8mRQDW2wQF4924Tr2K=w408-h306-k-no,Gare routiere,Gare routiere,3.6,,,,"Station de Transport Terrestre, Sousse",,https://www.google.com/maps/place/Station+de+Transport+Terrestre/data=!4m7!3m6!1s0x13027567dec13aed:0x7b67f72aba5c9b8c!8m2!3d35.8143774!4d10.630389!16s%2Fg%2F1tml7lq8!19sChIJ7TrB3md1AhMRjJtcuir3Z3s?authuser=0&hl=fr&rclk=1
ChIJUzdkIWcSAhMRxCdJU55AcxM,Frina Station D'autobus,,False,10,,Frina Station D'autobus (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4nq2VaUVn4baVaI4pK_tOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.420174&pitch=0&thumbfov=100,Compagnie d'autobus,Compagnie d'autobus,3.4,,,73 227 170,"PRF9+M3G Frina Station D'autobus, Monastir",,https://www.google.com/maps/place/Frina+Station+D%27autobus/data=!4m7!3m6!1s0x1302126721643753:0x1373409e534927c4!8m2!3d35.7241765!4d10.8176946!16s%2Fg%2F11b77351_z!19sChIJUzdkIWcSAhMRxCdJU55AcxM?authuser=0&hl=fr&rclk=1
ChIJK6_UZisRAhMRpUWCCHGUSSw,station louage,,False,10,,station louage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFkHU0SwWTvYaAPNNwRXAp8Fv7Tux938It2nc0=w426-h240-k-no,Gare routiere,Gare routiere,3.6,,,,"station louage, Ksar Hellal",,https://www.google.com/maps/place/station+louage/data=!4m7!3m6!1s0x1302112b66d4af2b:0x2c499471088245a5!8m2!3d35.643526!4d10.8887011!16s%2Fg%2F1thwllrq!19sChIJK6_UZisRAhMRpUWCCHGUSSw?authuser=0&hl=fr&rclk=1
ChIJQZmHXyoSAhMReOQQhphSwHE,Station Taxis MONASTIR,,False,9,,Station Taxis MONASTIR (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPbxGkMYFthAMMIa80_nX5L5YndqXP2SnOn6kAj=w408-h306-k-no,Station de taxis,Station de taxis,3.8,,,26 968 655,"MRPR+VX2 Station Taxis MONASTIR, Ksibet El Mediouni",,https://www.google.com/maps/place/Station+Taxis+MONASTIR/data=!4m7!3m6!1s0x1302122a5f879941:0x71c052988610e478!8m2!3d35.6871346!4d10.8423954!16s%2Fg%2F1td44l3y!19sChIJQZmHXyoSAhMReOQQhphSwHE?authuser=0&hl=fr&rclk=1
