place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJX-JDfkF1AhMRseeVfnL-2SU,mHT@ llwjt,,False,190,,mHT@ llwjt (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNY2pHjdA3qsnmv352LhjjtA2w5xbRxA0bLBrFN=w408-h544-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3.4,,,,"mHT@ llwjt, 1 Rue El Masjed El Aksa, Sousse 4000","prix, ticket, minibus, van, train, systeme, driver",https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%84%D9%88%D8%A7%D8%AC%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x130275417e43e25f:0x25d9fe727e95e7b1!8m2!3d35.8093704!4d10.6366586!16s%2Fg%2F11dylq5vh_!19sChIJX-JDfkF1AhMRseeVfnL-2SU?authuser=0&hl=fr&rclk=1
ChIJJ4Js1E11AhMRNtl8pwME0aE,TotalEnergies Zaouit Sousse,,False,185,https://services.totalenergies.tn/,TotalEnergies Zaouit Sousse (proprietaire),https://www.google.com/maps/contrib/101751785020068719846,https://lh5.googleusercontent.com/p/AF1QipPhm2Xy1XS4iPPiNCP5rW7wAKWPriWtQ9jZYKdO=w408-h268-k-no,Station-service,Station-service,4.9,Ouvert 24h/24,,,"TotalEnergies Zaouit Sousse, P1 Route regionale Ndeg82 Sousse, 4081","service client, equipe, continuation",https://www.google.com/maps/place/TotalEnergies+Zaouit+Sousse/data=!4m7!3m6!1s0x1302754dd46c8227:0xa1d10403a77cd936!8m2!3d35.7959194!4d10.6370166!16s%2Fg%2F11ddy1w1rp!19sChIJJ4Js1E11AhMRNtl8pwME0aE?authuser=0&hl=fr&rclk=1
ChIJ12xtSHR1AhMROV1IrcfI6os,Sousse Voyageurs,,False,91,http://www.sncft.com.tn/,Sousse Voyageurs (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOulolBOYyKOzbISc_6WVTvTuK_galrREM8Ktrl=w408-h306-k-no,Gare,Gare,3.6,,,,"Sousse Voyageurs, Sousse",,https://www.google.com/maps/place/Sousse+Voyageurs/data=!4m7!3m6!1s0x13027574486d6cd7:0x8beac8c7ad485d39!8m2!3d35.8304246!4d10.6380517!16s%2Fg%2F1tdv9tfs!19sChIJ12xtSHR1AhMROV1IrcfI6os?authuser=0&hl=fr&rclk=1
ChIJSzL6DeJ1AhMRRMgiJNEYwV8,Gare de Sousse,,False,82,http://www.sncft.com.tn/,Gare de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNOjS7gRrJFe9TBB1_IojPkFg0hb2D_VLSUl6iq=w408-h306-k-no,,,3.3,,,73 224 955,"RJJQ+87J Gare de Sousse, Sousse","toilettes, informations",https://www.google.com/maps/place/Gare+de+Sousse/data=!4m7!3m6!1s0x130275e20dfa324b:0x5fc118d12422c844!8m2!3d35.8306849!4d10.638342!16s%2Fg%2F11hy9jndgc!19sChIJSzL6DeJ1AhMRRMgiJNEYwV8?authuser=0&hl=fr&rclk=1
ChIJGQRoqHJ1AhMR1-y4DnxX_XQ,Sousse Bab Jdid,,False,57,,Sousse Bab Jdid (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmXFTp-Y-Cy8jvxH4JnHQ640poQQ5rDcpXaYlT=w408-h544-k-no,Gare,Gare,3.9,,,,"Sousse Bab Jdid, ave Mohamed V, Sousse",metro,https://www.google.com/maps/place/Sousse+Bab+Jdid/data=!4m7!3m6!1s0x13027572a8680419:0x74fd577c0eb8ecd7!8m2!3d35.823063!4d10.6415928!16s%2Fg%2F1ttrty5h!19sChIJGQRoqHJ1AhMR1-y4DnxX_XQ?authuser=0&hl=fr&rclk=1
ChIJ63VUhGd1AhMRtyTT7wb4Ca4,Station Agil GPL Souk Lahad,,False,42,,Station Agil GPL Souk Lahad (proprietaire),https://www.google.com/maps/contrib/104709546902040784684,https://lh5.googleusercontent.com/p/AF1QipOD8SGUv2eD7mnIVoMxU2lF_Z60AulpjRW3TvCh=w408-h306-k-no,Station-service,Station-service,3.9,Ouvert 24h/24,,,"Station Agil GPL Souk Lahad, P1, Sousse",,https://www.google.com/maps/place/Station+Agil+GPL+Souk+Lahad/data=!4m7!3m6!1s0x13027567845475eb:0xae09f806efd324b7!8m2!3d35.8135993!4d10.6287173!16s%2Fg%2F1tg5f60d!19sChIJ63VUhGd1AhMRtyTT7wb4Ca4?authuser=0&hl=fr&rclk=1
ChIJ8Y7geEF1AhMRx4Z7p8IVbzo,Station Louage de Sousse,,False,39,,Station Louage de Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN69hrLFl_NBHvUcdUTZbbWx2O2mOrGx9_kdh0F=w408-h306-k-no,Arret de transports en commun,Arret de transports en commun,4.1,,,,"Station Louage de Sousse, 1, Sousse 4000",prix,https://www.google.com/maps/place/Station+Louage+de+Sousse/data=!4m7!3m6!1s0x1302754178e08ef1:0x3a6f15c2a77b86c7!8m2!3d35.8093997!4d10.6370762!16s%2Fg%2F1tfsv_12!19sChIJ8Y7geEF1AhMRx4Z7p8IVbzo?authuser=0&hl=fr&rclk=1
ChIJs4unc991AhMRbC5oTZM3kSw,Station louage,,False,35,,Station louage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMQ3c13vZyPIuW5MeMvBIaOaidFeKbuu1Ds91X3=w426-h240-k-no,Siege social,Siege social,3.6,,,,"Station louage, Station Louage de Sousse, 1, Sousse, 4000",voyage,https://www.google.com/maps/place/Station+louage/data=!4m7!3m6!1s0x130275df73a78bb3:0x2c9137934d682e6c!8m2!3d35.8101297!4d10.6366299!16s%2Fg%2F11jn65st33!19sChIJs4unc991AhMRbC5oTZM3kSw?authuser=0&hl=fr&rclk=1
ChIJDXqo04B1AhMRmff_M4M0V3s,Station Service TotalEnergies SOUSSE 1,,False,34,https://services.totalenergies.tn/,Station Service TotalEnergies SOUSSE 1 (proprietaire),https://www.google.com/maps/contrib/105694759701178210118,https://lh5.googleusercontent.com/p/AF1QipP0KM3H5IvotJANN4XmC9vZgg2sgqoWT1n8iy3y=w408-h306-k-no,Station-service,Station-service,4.2,Ouvert 24h/24,,73 219 533,"Station Service TotalEnergies SOUSSE 1, GP 1 Tunis Rd, Route de la Corniche, Sousse 4000",,https://www.google.com/maps/place/Station+Service+TotalEnergies+SOUSSE+1/data=!4m7!3m6!1s0x13027580d3a87a0d:0x7b57348333fff799!8m2!3d35.8404129!4d10.6221768!16s%2Fg%2F1ptz_2kgk!19sChIJDXqo04B1AhMRmff_M4M0V3s?authuser=0&hl=fr&rclk=1
ChIJ44qrQG91AhMRgk_4toRjLCY,Shell,,False,34,https://find.shell.com/tn/fuel/TN_10044716-sousse-sud,Shell (proprietaire),https://www.google.com/maps/contrib/111684622598348665936,https://lh5.googleusercontent.com/p/AF1QipOZr3jyjyUr_wQ-sGbcAVT7a2toHilGK6rPM-Nu=w408-h308-k-no,Station-service,"Station-service, Station de lavage automobile, Superette",3.9,Ouvert 24h/24,,71 249 149,"Shell, Sud Rte De Sousse, Avenue du 15 Octobre 1963 Sousse, Z4M 4013",,https://www.google.com/maps/place/Shell/data=!4m7!3m6!1s0x1302756f40ab8ae3:0x262c6384b6f84f82!8m2!3d35.8169313!4d10.6307366!16s%2Fg%2F1pp2tlgns!19sChIJ44qrQG91AhMRgk_4toRjLCY?authuser=0&hl=fr&rclk=1
ChIJm0Orz12K_RIRwImUNm8q2JI,Agil,,False,32,,Agil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMYrwfhUpHeqvq1ND9-5Cs4VDsGl1b17E5fu_OI=w408-h544-k-no,Station-service,Station-service,3.6,Ouvert 24h/24,,,"RHVV+FXV Agil, Hammam, Rue Habib Chatti, Sousse",,https://www.google.com/maps/place/Agil/data=!4m7!3m6!1s0x12fd8a5dcfab439b:0x92d82a6f369489c0!8m2!3d35.8437327!4d10.5949372!16s%2Fg%2F1tfy4y20!19sChIJm0Orz12K_RIRwImUNm8q2JI?authuser=0&hl=fr&rclk=1
