place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx4UHcY80_RIR32RDgZnk6nM,Station Bab Alioua,,False,244,,Station Bab Alioua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO645W3TbxOGYQJpIyHTlB7zXuf0s0cgjOHNmGo=w408-h306-k-no,Societe de transport en bus et autocar,Societe de transport en bus et autocar,3,,,95 977 093,"Q5QH+2VC Station Bab Alioua, Tunis",organisation,https://www.google.com/maps/place/Station+Bab+Alioua/data=!4m7!3m6!1s0x12fd348f710785c7:0x73eae499814364df!8m2!3d36.7875741!4d10.1796459!16s%2Fg%2F11c1_vb3bj!19sChIJx4UHcY80_RIR32RDgZnk6nM?authuser=0&hl=fr&rclk=1
ChIJ0ed9RQ00_RIRV5gf6J31_hs,Gare de Tunis,,False,216,http://sncft.com.tn/fr/serv_en_ligne/horaire_live/,Gare de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOlt2AgH3W3wCAndKzcufFLzzS_ushHhEh13uEm=w408-h306-k-no,Gare,Gare,3,,,,"Gare de Tunis, Rue Ali Darghouth, Tunis","voyage, service, sud, confort, catastrophe, securite, pays, nombre, systeme, distance",https://www.google.com/maps/place/Gare+de+Tunis/data=!4m7!3m6!1s0x12fd340d457de7d1:0x1bfef59de81f9857!8m2!3d36.7949275!4d10.180481!16s%2Fm%2F0134cycg!19sChIJ0ed9RQ00_RIRV5gf6J31_hs?authuser=0&hl=fr&rclk=1
ChIJAclYuBQ0_RIRrGaALtNvrE0,mHT@ lnql lbry lmnSf by,,False,214,,mHT@ lnql lbry lmnSf by (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMVRF3BeTtZuRXWIg77lXtWM0b6UVznxaUWE_tb=w408-h429-k-no,Service de transport,Service de transport,3.2,Ouvert 24h/24,,22 011 027,"Q5RP+FWF mHT@ lnql lbry lmnSf by, Tunis","bus, hygiene",https://www.google.com/maps/place/%D9%85%D8%AD%D8%B7%D8%A9+%D8%A7%D9%84%D9%86%D9%82%D9%84+%D8%A7%D9%84%D8%A8%D8%B1%D9%8A+%D8%A7%D9%84%D9%85%D9%86%D8%B5%D9%81+%D8%A8%D8%A7%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fd3414b858c901:0x4dac6fd32e8066ac!8m2!3d36.791181!4d10.1873108!16s%2Fg%2F11c2l6nbb6!19sChIJAclYuBQ0_RIRrGaALtNvrE0?authuser=0&hl=fr&rclk=1
ChIJ6yhJPZoz_RIRr74Y7VUEauk,Station de Louage Bab Saadoun,,False,123,,Station de Louage Bab Saadoun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkFglsDMn-eF_JZw_oCZMmX1206lY7bDehGB5g=w408-h306-k-no,Station de taxis,Station de taxis,3.1,,,55 336 525,"R563+3PR Station de Louage Bab Saadoun, Tunis",bus,https://www.google.com/maps/place/Station+de+Louage+Bab+Saadoun/data=!4m7!3m6!1s0x12fd339a3d4928eb:0xe96a0455ed18beaf!8m2!3d36.8102387!4d10.1542516!16s%2Fg%2F11c1s1vt3p!19sChIJ6yhJPZoz_RIRr74Y7VUEauk?authuser=0&hl=fr&rclk=1
ChIJGQGiCRQ0_RIRnfDrcbeAkDQ,"Station Louage Moncef Bey, Tunis",,False,71,,"Station Louage Moncef Bey, Tunis (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipP8zCOzis99rbCXBMI02K2L49Dj7GqBW6Sin3-q=w408-h306-k-no,Gare routiere,Gare routiere,3.2,,,,"Station Louage Moncef Bey, Tunis, Av. Hammouda Pacha, Tunis","prix, hygiene, voyage","https://www.google.com/maps/place/Station+Louage+Moncef+Bey,+Tunis/data=!4m7!3m6!1s0x12fd341409a20119:0x349080b771ebf09d!8m2!3d36.7911746!4d10.1873102!16s%2Fg%2F1q62jyn4j!19sChIJGQGiCRQ0_RIRnfDrcbeAkDQ?authuser=0&hl=fr&rclk=1"
ChIJtx5DsQ80_RIRTpdxQy4sDOc,Gare Routiere Sud,,False,51,,Gare Routiere Sud (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMUzyQ0ECiP3lQiq9JJbJJ73zTYAoZYSFptbJFB=w426-h240-k-no,Gare routiere,Gare routiere,3,,,,"Gare Routiere Sud, P1, Tunis",,https://www.google.com/maps/place/Gare+Routiere+Sud/data=!4m7!3m6!1s0x12fd340fb1431eb7:0xe70c2c2e4371974e!8m2!3d36.7875077!4d10.1796055!16s%2Fg%2F1trzscbd!19sChIJtx5DsQ80_RIRTpdxQy4sDOc?authuser=0&hl=fr&rclk=1
ChIJLxLndiA1_RIRHBk71WWBAa8,TGM,,False,42,,TGM (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMEdzWe-pfi88ryurTOxRO6ifXEHee1WG-uHul_=w408-h306-k-no,Station-service,Station-service,3.3,,,,"R52R+26R TGM, Terminus Tunis Marine, Rue Christophe Colomb, Colombe","train, prix",https://www.google.com/maps/place/TGM/data=!4m7!3m6!1s0x12fd352076e7122f:0xaf018165d53b191c!8m2!3d36.8001097!4d10.1905152!16s%2Fg%2F11p5s6m1cs!19sChIJLxLndiA1_RIRHBk71WWBAa8?authuser=0&hl=fr&rclk=1
ChIJ8_oqjpkz_RIR7Yk59tQEunw,Gare Routiere Nord,,False,25,,Gare Routiere Nord (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNmiPY-MyAPLw9y-BweOiS7JAF8l_DhyTJw4FoN=w408-h306-k-no,Arret de bus,Arret de bus,3.5,,,,"Gare Routiere Nord, Av. Habib Bougatfa, Tunis",service,https://www.google.com/maps/place/Gare+Routi%C3%A8re+Nord/data=!4m7!3m6!1s0x12fd33998e2afaf3:0x7cba04d4f63989ed!8m2!3d36.8104529!4d10.1537356!16s%2Fg%2F1tdj7jzy!19sChIJ8_oqjpkz_RIR7Yk59tQEunw?authuser=0&hl=fr&rclk=1
ChIJ4zFe4QIu_RIRymqCI8rTE8E,Station-service Shell,,False,24,https://find.shell.com/tn/fuel/TN_10044654-sortie-ouest-ii,Station-service Shell (proprietaire),https://www.google.com/maps/contrib/118166105920007823401,https://lh5.googleusercontent.com/p/AF1QipNwzjihWoZ1lCMl8wDoo2yr_bmhx6p9hln5ytzV=w408-h544-k-no,Station-service,"Station-service, Station de lavage automobile, Superette, Restauration rapide, Pizzas a emporter, Restaurant, Sandwicherie",4.2,Ouvert 24h/24,,71 249 149,"Station-service Shell, sortie Ouest Ii Gp5 Tunis, 2052",,https://www.google.com/maps/place/Station-service+Shell/data=!4m7!3m6!1s0x12fd2e02e15e31e3:0xc113d3ca23826aca!8m2!3d36.7745006!4d10.078173!16s%2Fg%2F11b75hsk60!19sChIJ4zFe4QIu_RIRymqCI8rTE8E?authuser=0&hl=fr&rclk=1
ChIJUUrSBHE0_RIRpcAHL5Wf32Y,Jardin Habib Thameur Bus Station,,False,21,,Jardin Habib Thameur Bus Station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOzp7Ot2RXCHgxdlR_-Dv_vr5ehTcSwfpglMx6M=w408-h306-k-no,Gare routiere,Gare routiere,2.9,,,,"Jardin Habib Thameur Bus Station, Rue d'Antioche, Tunis",,https://www.google.com/maps/place/Jardin+Habib+Thameur+Bus+Station/data=!4m7!3m6!1s0x12fd347104d24a51:0x66df9f952f07c0a5!8m2!3d36.8036173!4d10.1782047!16s%2Fg%2F1tfhwhqt!19sChIJUUrSBHE0_RIRpcAHL5Wf32Y?authuser=0&hl=fr&rclk=1
